DEPARTAMENTO,PROVINCIA,ANIO,MES,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M
AMAZONAS,BAGUA,2021,1,14.94,1.42,13.15,72.32,21.86,30.12,15.28,1.85
AMAZONAS,BAGUA,2021,2,14.92,1.24,13.0,67.0,23.07,34.49,16.68,1.7
AMAZONAS,BAGUA,2021,3,14.31,3.4,13.53,77.16,21.12,30.1,15.44,1.49
AMAZONAS,BAGUA,2021,4,14.97,0.79,13.3,73.75,21.81,30.86,15.5,2.03
AMAZONAS,BAGUA,2021,5,13.93,0.34,12.64,69.26,22.13,31.65,16.25,2.17
AMAZONAS,BAGUA,2021,6,13.07,0.37,12.09,69.13,21.48,30.8,14.9,2.13
AMAZONAS,BAGUA,2021,7,13.92,0.15,11.26,65.78,21.31,31.41,13.34,2.61
AMAZONAS,BAGUA,2021,8,15.29,0.39,11.5,62.15,22.53,34.25,14.93,2.31
AMAZONAS,BAGUA,2021,9,17.03,0.8,12.03,64.72,22.46,32.05,15.45,2.32
AMAZONAS,BAGUA,2021,10,17.01,1.56,13.21,67.91,23.07,33.31,16.44,1.92
AMAZONAS,BAGUA,2021,11,16.64,1.58,12.74,67.76,22.53,32.56,15.2,1.47
AMAZONAS,BAGUA,2021,12,16.09,2.02,13.32,70.0,22.72,33.09,14.89,1.69
AMAZONAS,BAGUA,2022,1,16.94,0.93,11.73,60.92,23.1,33.6,14.6,1.9
AMAZONAS,BAGUA,2022,2,13.06,2.24,13.09,70.82,22.23,34.63,14.75,1.68
AMAZONAS,BAGUA,2022,3,15.76,2.76,13.4,75.12,21.46,30.29,15.96,1.37
AMAZONAS,BAGUA,2022,4,13.76,1.57,13.75,77.4,21.4,30.14,15.7,1.9
AMAZONAS,BAGUA,2022,5,13.27,0.6,12.79,71.34,21.79,30.45,15.04,2.15
AMAZONAS,BAGUA,2022,6,14.74,1.01,11.9,71.06,20.7,30.82,13.49,1.95
AMAZONAS,BAGUA,2022,7,13.94,0.94,12.43,71.9,21.26,30.71,15.24,2.22
AMAZONAS,BAGUA,2022,8,15.65,0.48,11.28,63.15,21.93,31.63,12.31,2.46
AMAZONAS,BAGUA,2022,9,17.77,0.69,11.57,59.77,23.32,33.13,16.17,2.11
AMAZONAS,BAGUA,2022,10,18.69,0.52,11.48,58.85,23.58,36.23,15.29,1.78
AMAZONAS,BAGUA,2022,11,18.27,0.41,10.98,54.28,24.09,35.94,14.65,2.04
AMAZONAS,BAGUA,2022,12,17.64,0.69,11.51,60.07,23.04,35.21,13.17,1.82
AMAZONAS,BAGUA,2023,1,15.5,2.5,12.31,67.99,22.0,33.58,15.8,1.56
AMAZONAS,BAGUA,2023,2,11.75,1.49,13.12,71.31,22.07,31.16,16.24,1.79
AMAZONAS,BAGUA,2023,3,14.82,3.63,13.73,75.84,21.71,30.85,15.42,1.41
AMAZONAS,BAGUA,2023,4,13.91,1.93,13.83,76.5,21.67,30.1,15.84,1.56
AMAZONAS,BAGUA,2023,5,13.85,0.49,13.37,69.87,22.84,31.66,15.48,2.09
AMAZONAS,BAGUA,2023,6,13.3,0.15,12.29,67.9,21.99,30.22,14.94,2.45
AMAZONAS,BAGUA,2023,7,14.38,0.07,12.12,63.83,22.8,32.19,16.08,2.47
AMAZONAS,BAGUA,2023,8,16.97,0.16,11.79,59.52,23.56,34.42,15.61,2.29
AMAZONAS,BAGUA,2023,9,17.3,0.24,11.85,56.38,24.65,35.16,17.27,2.4
AMAZONAS,BAGUA,2023,10,17.75,0.68,12.45,58.2,24.75,35.55,17.72,1.9
AMAZONAS,BAGUA,2023,11,16.19,0.82,12.63,60.82,24.37,35.42,16.71,1.97
AMAZONAS,BAGUA,2023,12,13.15,2.61,14.23,71.38,23.39,32.71,17.43,1.91
AMAZONAS,BAGUA,2024,1,12.55,0.94,13.96,69.17,23.74,33.94,17.41,2.09
AMAZONAS,BAGUA,2024,2,15.48,1.64,14.01,68.47,24.0,34.98,17.57,2.18
AMAZONAS,BAGUA,2024,3,14.55,0.59,13.24,63.38,24.44,36.61,15.52,1.98
AMAZONAS,BAGUA,2024,4,14.36,0.64,13.73,67.04,23.91,33.52,17.32,1.91
AMAZONAS,BAGUA,2024,5,14.37,0.53,13.55,66.14,24.02,32.84,16.83,2.25
AMAZONAS,BAGUA,2024,6,14.72,0.82,12.61,67.17,22.63,31.85,16.12,2.06
AMAZONAS,BAGUA,2024,7,13.7,0.28,11.82,64.91,22.16,31.02,15.4,2.6
AMAZONAS,BAGUA,2024,8,16.03,0.32,11.65,59.5,23.39,32.21,16.28,2.35
AMAZONAS,BAGUA,2024,9,15.39,0.53,12.33,59.57,24.3,33.91,17.64,2.43
AMAZONAS,BAGUA,2024,10,17.56,1.21,12.81,62.63,24.11,33.38,16.93,2.03
AMAZONAS,BAGUA,2024,11,17.17,0.4,10.6,51.67,24.27,35.66,14.28,1.59
AMAZONAS,BAGUA,2024,12,15.24,0.99,12.92,63.62,23.91,34.87,16.53,1.79
AMAZONAS,BAGUA,2025,1,14.47,1.6,12.82,67.64,22.66,31.71,16.2,1.66
AMAZONAS,BAGUA,2025,2,14.0,1.81,13.47,69.89,22.9,32.23,17.0,1.56
AMAZONAS,BAGUA,2025,3,13.73,2.21,13.42,70.83,22.57,33.2,16.61,1.4
AMAZONAS,BAGUA,2025,4,15.38,1.44,13.69,73.2,22.37,31.17,16.18,1.74
AMAZONAS,BAGUA,2025,5,13.95,0.39,12.92,70.2,22.21,30.69,16.18,2.23
AMAZONAS,BAGUA,2025,6,13.04,2.36,13.0,76.15,20.91,29.6,15.4,2.06
AMAZONAS,BAGUA,2025,7,14.21,0.11,11.43,66.13,21.42,30.3,13.4,2.7
AMAZONAS,BAGUA,2025,8,15.08,0.09,11.65,62.24,22.65,32.33,15.48,2.45
