DEPARTAMENTO,PROVINCIA,ANIO,MES,fecha_evento,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,departamento,provincia
AMAZONAS,BAGUA,2021,1,2021-01,-0.939268,-0.164969,0.452342,0.005771,0.534199,0.528939,0.46773,0.194035,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,2,2021-02,-0.945871,-0.236663,0.410448,-0.445556,0.717813,1.253505,0.649322,0.06445,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,3,2021-03,-1.147247,0.623674,0.558476,0.416377,0.421906,0.525623,0.488484,-0.11697,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,4,2021-04,-0.929365,-0.4159,0.494237,0.127087,0.526612,0.651634,0.496266,0.349538,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,5,2021-05,-1.272695,-0.595138,0.3099,-0.253827,0.575171,0.78262,0.593548,0.470485,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,6,2021-06,-1.556603,-0.583188,0.156286,-0.264856,0.476535,0.641686,0.418441,0.435928,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,7,2021-07,-1.275996,-0.670815,-0.075531,-0.549056,0.450738,0.742827,0.216096,0.850603,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,8,2021-08,-0.823724,-0.575222,-0.0085,-0.857011,0.63587,1.213711,0.422332,0.591431,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,9,2021-09,-0.249306,-0.411917,0.139528,-0.638982,0.625247,0.848941,0.489781,0.60007,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,10,2021-10,-0.255909,-0.109206,0.4691,-0.368356,0.717813,1.057855,0.618192,0.254508,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,11,2021-11,-0.378055,-0.10124,0.33783,-0.381081,0.63587,0.933502,0.457354,-0.134249,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2021,12,2021-12,-0.559624,0.074014,0.499823,-0.191048,0.664702,1.021378,0.417144,0.05581,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,1,2022-01,-0.279017,-0.360138,0.055739,-0.961359,0.722366,1.105938,0.379528,0.23723,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,2,2022-02,-1.559904,0.161641,0.435584,-0.121483,0.590346,1.276717,0.398985,0.047171,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,3,2022-03,-0.668565,0.368759,0.522167,0.243312,0.4735,0.557126,0.555932,-0.220639,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,4,2022-04,-1.328816,-0.105223,0.619921,0.436738,0.464396,0.532255,0.522208,0.23723,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,5,2022-05,-1.490578,-0.491578,0.351795,-0.077368,0.523577,0.583654,0.4366,0.453207,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,6,2022-06,-1.005293,-0.328273,0.10322,-0.101122,0.358173,0.645002,0.235552,0.280426,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,7,2022-07,-1.269394,-0.356155,0.251248,-0.02986,0.443151,0.626763,0.462542,0.51368,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,8,2022-08,-0.704879,-0.539375,-0.069945,-0.772175,0.544822,0.779304,0.082496,0.721017,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,9,2022-09,-0.005013,-0.455731,0.011051,-1.05892,0.75575,1.02801,0.583171,0.41865,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,10,2022-10,0.298702,-0.523443,-0.014086,-1.136969,0.795204,1.542004,0.469027,0.133562,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,11,2022-11,0.16005,-0.567256,-0.153735,-1.52467,0.872595,1.493921,0.386014,0.358177,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2022,12,2022-12,-0.047929,-0.455731,-0.005707,-1.03347,0.713261,1.372884,0.194045,0.168118,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2023,1,2023-01,-0.754398,0.2652,0.217732,-0.361569,0.555444,1.102622,0.535179,-0.056497,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2023,2,2023-02,-1.992369,-0.137087,0.443963,-0.079913,0.566066,0.701375,0.59225,0.142201,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2023,3,2023-03,-0.978883,0.715284,0.614335,0.304394,0.511437,0.649976,0.485889,-0.186083,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2023,4,2023-04,-1.279298,0.038167,0.642265,0.360386,0.505367,0.525623,0.540367,-0.056497,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2023,5,2023-05,-1.299105,-0.535392,0.513788,-0.202077,0.682911,0.784278,0.493672,0.401372,AMAZONAS,BAGUA
AMAZONAS,BAGUA,2023,6,2023-06,-1.480674,-0.670815,0.212146,-0.369204,0.553926,0.545519,0.423629,0.712378,AMAZONAS,BAGUA
