fecha,titular,cuerpo_completo,fuente,url
2021-01-04,ANA cuenta con sistema de alerta y monitoreo por activación de quebradas,"(Agraria.pe)Con el objetivo de atender de manera oportuna y reducir el impacto por desastres provocados por las lluvias intensas, la Autoridad Nacional del Agua (ANA), cuenta con el Sistema de Monitoreo y Alerta por Activación de Quebradas (SAMAQ). Este sistema brinda información confiable y oportuna de precipitación las 24 horas del día al Centro de Operaciones de Emergencia Nacional (COEN) a fin de salvaguardar a la población y evitar daños a la infraestructura hidráulica ante un posible desastre natural. Tulio Santoyo, gerente general de la ANA, indicó que los profesionales de la institución realizan un monitoreo continuo a las 159 cuencas hidrográficas mediante sus órganos desconcentrados distribuidos a nivel nacional. Precisó que el personal monitorea el aumento del caudal en los ríos e identifica afectaciones a la infraestructura hidráulica, áreas agrícolas y fuentes de captación de agua. “A través del SAMAQ, la Autoridad Nacional del Agua genera información oportuna para la toma de decisiones por parte de las autoridades, las lluvias fuertes son fenómenos de la naturaleza que podrían ocasionar daños a la población, viviendas, terrenos de cultivo e infraestructura de riego.  Por ello, invocamos a los alcaldes distritales y provinciales verificar la correcta descolmatación de los cauces y evitar la invasión de las fajas marginales que son zonas intangibles cercanas a las quebradas, ríos y lagos”. La ANA identificó 1171 puntos críticos, con riesgo a inundación, huaicos y erosión en las principales quebradas y ríos, a nivel nacional. Ica, Puno, Loreto, Arequipa, Cusco, Lima, Moquegua y La Libertad son los departamentos que concentran la mayor cantidad de puntos críticos. Estos se identificaron en el presente año, en coordinación con los gobiernos locales y las organizaciones de usuarios de agua. En la región Lima, se identificaron 68 puntos críticos con riesgo a inundación, huaicos y erosión en las principales quebradas y ríos. Alrededor de 79 mil 812 habitantes y más de 15 mil 057 viviendas se encuentran en zonas vulnerables, las cuales están ubicadas en los distritos de Barranca, Pativilca, Supe, Paramonga (Barranca), Huaura (Huaura), Mala, Calango, San Vicente, Nuevo Imperial, Lunahuaná, Zuñiga, Coayllo (Cañete), Catahuasi (Yauyos), Huaral, Chancay-Aucallama (Huaral), Lurigancho Chosica (Lima).",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/ana-cuenta-con-sistema-de-alerta-y-monitoreo-por-activacion--23353
2021-03-16,Cerca de 15.000 agricultores son capacitados en buenas prácticas en cosecha,"(Agraria.pe) Alrededor de 15.000 productores de la Agricultura Familiar son capacitados en temas de buenas prácticas en la cosecha, manejo y el almacenamiento de sus cultivos que permitan reducir pérdidas económicas por descarte de alimentos y mejorar la articulación al mercado local, informó el Ministerio de Desarrollo Agrario y Riego (Midagri). Esta acción forma parte de la implementación de las 7.700 Escuelas de Campo de Agricultores que realiza el Servicio Nacional de Sanidad Agraria (Senasa) en todo el país. En los talleres se comparten con las familias rurales recomendaciones sobre el momento oportuno para la cosecha, las herramientas adecuadas y la higiene; así como las condiciones necesarias para el almacenamiento y el transporte de productos agrícolas, orientaciones que contribuirán a una producción responsable. Este tema forma parte de las 12 sesiones de aprendizaje que se desarrollan durante seis meses, asociados a 20 cadenas productivas de cultivo y cinco de crianzas. De acuerdo con la Ley N°30988 y su reglamento respectivo, el Ministerio de Desarrollo Agrario y Riego (Midagri) asume el liderazgo de conducir acciones de promoción y de coordinación intersectorial para reducir y prevenir las pérdidas y desperdicios de alimentos, en todas las etapas de la cadena alimentaria, desde la producción primaria hasta el consumo humano. Con ello, como parte de la política relacionada a seguridad alimentaria y a la estrategia de Hambre Cero, el 12 de marzo fue declarado como el Día de la Concientización para la reducción y prevención de Pérdidas y el Desperdicio de Alimentos, fecha que además enfatiza la contribución del Perú con la meta 3 del Objetivo de Desarrollo Sostenible (ODS) 12, en la promoción de iniciativas y medidas colectivas ciudadanas a fin de lograr una producción y consumo responsable. El Midagri, con la asistencia técnica de la Organización de las Naciones Unidas para la Alimentación y Agricultura (FAO-Perú), ha proyectado capacitar a los funcionarios de las direcciones regionales de Agricultura y a promotores municipales de desarrollo productivo en reducción de pérdidas y desperdicios en las etapas de producción, poscosecha y comercialización, a fin de que lideren y faciliten la transferencia del conocimiento a los productores y productoras de la Agricultura Familiar.",agraria.pe/salud-y-sanidad,https://agraria.pe/noticias/cerca-de-15-000-agricultores-son-capacitados-en-buenas-pract-23914
2021-03-24,Midagri duplica inversión y ejecutará obras por más de S/ 4 millones en siembra y cosecha de agua en Arequipa,"(Agraria.pe)El Ministerio de Desarrollo Agrario y Riego (Midagri) invertirá hasta el próximo julio más de S/ 4.035.985, casi dos millones de soles más que lo invertido en todo el año pasado (S/ 2.461.100), en el desarrollo de actividades de siembra y cosecha de agua en beneficio de crianzas y cultivos de la agricultura familiar que se desarrolla en la región Arequipa. Los más de cuatro millones de soles proyectados para la primera etapa de estas obras, que se inician a fines de marzo, permitirán acumular más de 313 mil metros cúbicos de agua, que servirán para regar casi mil hectáreas de cultivos, las mismas que serán trabajadas por 514 familias de pequeños productores de cinco distritos de tres provincias arequipeñas. Las actividades a desarrollar en la segunda etapa del 2021 se encuentran en formulación. La distribución de las qochas en Arequipa será la siguiente: nueve en el distrito de Tuti; siete en Callali, cuatro en Lari y ocho serán compartidas por los distritos de Salamanca y Orcopampa. En total 28 qochas, nueve más que las construidas durante el 2020. La siembra y cosecha de agua permite desde tiempos ancestrales enfrentar con buenos resultados el impacto del cambio climático y evitar la escasez de agua en beneficio de la economía de la agricultura familiar y la seguridad alimentaria del Perú y del mundo.",agraria.pe/proyectos,https://agraria.pe/noticias/midagri-duplica-inversion-y-ejecutara-obras-por-mas-de-s-4-m-23976
2021-03-25,Perú logrará cifra histórica de captación de agua con 16 millones de metros cúbicos este año,"(Agraria.pe)Este año la ancestral técnica de siembra y cosecha de agua que desarrolla el Ministerio de Desarrollo Agrario y Riego (Midagri) en beneficio de los pequeños productores agrarios a nivel nacional, logrará acumular la cifra récord de 16.694.736 metros cúbicos de agua, cifra que equivale a llenar 27 veces el Estadio Nacional. Esta técnica consiste en captar el agua de lluvia e infiltrarla en los acuíferos desde las partes altas de las cuencas; esta agua llega a las partes bajas a través de puquios, manantes o riachuelos que rebrotan para ser utilizados en la agricultura familiar. De esta manera, se elevará el nivel de cultivos y la crianza de animales, generando un impacto directo en los ingresos y elevando las condiciones de vida de los agricultores del país. Durante el presente año, se logrará acumular 6.863.752 m3 más que el año anterior en que se alcanzaron los 9.830.984 m3. Con el volumen que se alcanzará este 2021, se podrá dar cobertura hídrica a 34.714 hectáreas de cultivos diversos, favoreciendo el trabajo de 13.332 familias de pequeños productores en diez regiones del país (Ayacucho, Arequipa, Apurímac, Lambayeque, Lima, La Libertad, Huancavelica, Puno, Áncash y Cajamarca). Max Sáenz Carrillo, director ejecutivo de la Unidad Ejecutora Fondo Sierra Azul, encargada de los trabajos, explicó que si bien el nivel récord tiene que ver con el mayor número de qochas que se construirán, se debe destacar el interés que muestran las comunidades y autoridades locales, que al conocer la estrategia piden mayores intervenciones para garantizar la seguridad hídrica de sus cultivos. El funcionario dijo que la construcción de diques para optimizar la capacidad de captura de agua en las qochas es la actividad más conocida. Sin embargo, la siembra y cosecha del agua comprende también otra serie de acciones que aportan a la recarga hídrica: zanjas de infiltración, forestación y reforestación con especies nativas, recuperación y protección de praderas, así como la rehabilitación del sistema de amunas, que también son actividades que contribuyen a la infiltración de agua al subsuelo. La participación de las comunidades, junto a su autoridad local, se inicia con el proceso de identificación de las zonas de intervención, luego los mismos pobladores son contratados para que trabajen en la construcción de las obras y después pasan a ser quienes conformarán los comités para el mantenimiento de los diques. Es decir, se fortalece la organización comunal.",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/peru-lograra-cifra-historica-de-captacion-de-agua-con-16-mil-23989
2021-04-26,Midagri descifra ADN de árbol de la quina para producir plantones de élite,"(Agraria.pe)Como parte de la campaña nacional de siembra masiva y revaloración del árbol de la quina, el ministro de Desarrollo Agrario y Riego, Federico Tenorio, anunció que su cartera viene desarrollando un trabajo de investigación científica molecular para descifrar el genoma del árbol medicinal de la quina. El sector Agricultura a través del Instituto Nacional de Innovación Agraria (INIA), busca, en su primera etapa, descifrar el genoma cloroplastidial, el cual brindará información sobre su evolución en el tiempo, su relación poblacional con otras especies forestales y sus niveles de metabolitos de autodefensa. El ministro puntualizó que los trabajos de investigación tienen la finalidad de identificar las capacidades genéticas, que permitan definir métodos de conservación y producción de la quina, un árbol de alto valor en la provisión de servicios ecosistémicos. Además, este proyecto científico se enfocará en determinar el genoma nuclear de la quina para identificar sus características moleculares y su potencialidad genética. Esta información servirá para la producción de plantones de élite con alta calidad y tecnologías para potenciar su adaptabilidad a suelos y climas. Como se conoce, en el marco del “Día de la Tierra”, el Gobierno lanzó en diversas regiones, la campaña ""La Quina del Bicentenario, revaloremos nuestro árbol emblema"", que se inició con la siembra de los primeros 30 mil plantones de ese árbol, con miras a llegar a los 500 mil para poner en valor una especie originaria símbolo de nuestra Independencia. La campaña impulsará el repoblamiento especies nativas, con alto valor económico y ambiental en zonas de montaña, para la provisión de bienes y servicios ambientales que contribuyan a mejorar las condiciones de vida de las poblaciones locales rurales. Este plan se ejecutará en Amazonas, Ayacucho, Cajamarca, Cusco, Huánuco, Lambayeque, Junín, Lima, Pasco, Piura y Puno. Gira de trabajoDe otro lado, como parte de su gira de trabajo en el Cusco, el ministro llegó hasta la localidad de Huayopata para invitar a los gobernadores regionales y alcaldes a sumarse a la campaña nacional de revaloración y siembra de árboles de quina en el país. “Desde la localidad, deseo invitar a los gobernadores y alcaldes a aunarse al plan nacional de reforestación de quina, y de esta manera, el Perú podrá revalorar este árbol, que viene brindando muchos beneficios a los habitantes en materia medicinal, forestal y otros”, sostuvo. El ministro Tenorio encabezó en este distrito el acto de siembra de árboles de quina, como parte de la campaña nacional de revalorización de este árbol emblemático, que crece en zonas ubicadas entre los 800 y 2.500 metros sobre el nivel del mar, y cuya iniciativa se implementa en diez regiones a nivel nacional.",agraria.pe/tecnologia,https://agraria.pe/noticias/midagri-descifra-adn-de-arbol-de-la-quina-para-producir-plan-24222
2021-04-30,República Dominicana suspende importación de banano procedente de Perú y Colombia,"(Agraria.pe)República Dominicana anunció la suspensión de las importaciones de raíces, tubérculos, rizomas y material de siembra del banano procedente de países afectados por una plaga entre ellos Colombia y Perú. En concreto, se suspendió las importaciones de rizomas de jengibre y cúrcuma, tubérculos de papa, artesanías y plantas de musáceas procedentes de estos países, según una resolución del Ministerio de Agricultura de ese país. La entidad también informó que ha intensificado la vigilancia fitosanitaria en puertos, aeropuertos, puestos fronterizos y fincas, así como de todo material vegetativo procedentes de Sudamérica. Perú y Colombia han sido afectados por la plaga Fusarium Raza 4 Tropical (Foc R4T), un hongo muy agresivo contra la planta de banano. Fuente: Gestión",agraria.pe/salud-y-sanidad,https://agraria.pe/noticias/republica-dominicana-suspende-importacion-de-banano-proceden-24264
2021-05-05,Científicos de San Marcos fabricarán vidrios solubles fertilizantes para reducir sequedad,"(Agraria.pe)Un equipo de investigadores de la Universidad Nacional Mayor de San Marcos (UNMSM), acreedor de un financiamiento por parte del Vicerrectorado de Investigación y Posgrado, tiene como objetivo fabricar vidrios solubles que retengan agua, lo que hará más fácil la agricultura y el riego en las zonas más desérticas del país, como la costa. Esta iniciativa intenta mejorar las condiciones del suelo de las zonas desérticas del país, aportándole nutrientes por medio de vidrios solubles. Estos cristales dosificarían los nutrientes durante los riegos dejando un residuo poroso capaz de absorber y retener agua (como una esponja) para mantener por más tiempo la humedad del suelo y favoreciendo el crecimiento de las plantas. En la costa peruana, las condiciones medioambientales se caracterizan por tener pocas precipitaciones o lluvias, por lo que esta innovadora propuesta podría ser la solución a la escasa o nula retención de humedad. ""Los vidrios fertilizantes son una nueva alternativa a los fertilizantes minerales convencionales que provocan, a largo plazo, problemas de salinización de los suelos"", señala el Dr. Cecilio Garrido Schaeffer, ingeniero químico, docente e investigador de la UNMSM. El proyecto será probado para el cultivo en suelos con bajos niveles de nutrientes y humedad. Además, se espera obtener una serie de composiciones químicas adecuadas para cada tipo de suelo y para los tipos de plantas que van a sembrarse en dichos terrenos. Una posible solución para las zonas desérticas Los beneficios, sostiene el Dr. Garrido Schaeffer, podrían ser múltiples. Uno de ellos es que mejoraría la economía de los riegos, haciéndolos más viables. También brindaría una composición adecuada de nutrientes para cada tipo de cultivo y la disolución del vidrio evitaría, además, la contaminación salina de la capa freática (que es el agua subterránea que se acumula y brinda humedad en tiempos de sequía). El químico también afirma que es necesario monitorear la calidad de los productos que sean cosechados; es decir, que las hojas, granos o plantas mantengan su calidad nutricional (o incluso mejoren), además de la apariencia (calidad comercial), calidad nutricional y lo más importante, que se pueda evidenciar un mejor rendimiento si se compara con las prácticas convencionales. ""La ampliación de la frontera agrícola al mejorar los suelos o incluso el cultivo en macetas con suelos pobres o arenosos son otros de los beneficios que podría aportar el proyecto"", precisa el Dr. Garrido Schaeffer, quien refiere que la comprobación de la viabilidad y mejora que podría aportar el proyecto se hará con los análisis del proceso de floración, crecimiento y cosecha del cultivo. El grupo DEINPRO, orientado a generar innovaciones que resuelvan problemas tecnológicos relacionados a los procesos agroindustriales e integrado por químicos, ingenieros químicos, agrónomos y biólogos de la UNMSM, está a cargo de la investigación. En la investigación también participan la química Dra. Thais Linares, la bióloga Mag. Miriam Memenza, la ingeniera agrónoma Patricia Díaz, además de alumnos tesistas que se incorporarán al estudio. La exploración cuenta con el apoyo del Instituto de Cerámica y Vidrio del Consejo Superior de Investigaciones Científicas de España. ""El Dr. Juan Rubio y sus colaboradores nos ayudan en la síntesis y en el análisis de los vidrios y en la transferencia de la tecnología"", añade el investigador sanmarquino. A la fecha, la investigación está en una etapa inicial que durará, aproximadamente, seis meses. En un estudio preliminar, se pudo verificar la utilidad de los vidrios solubles en la dosificación de fertilizantes. Al liberarlos paulatinamente conforme se disuelve la parte soluble del vidrio, éstos no se infiltran con el riego para contaminar la capa freática. En Lima, se trabajó con cultivos del frijol canario con buenos resultados, asegura Garrido Schaeffer. Los científicos evalúan si la porosidad de los vidrios restantes permite retener la humedad reduciendo la demanda de agua y evitando la sequedad total del suelo. Si los resultados son buenos, proyecta, se abre un abanico grande de innovaciones agrícolas. Fuente: Andina",agraria.pe/tecnologia,https://agraria.pe/noticias/cientificos-de-san-marcos-fabricaran-vidrios-solubles-fertil-24300
2021-06-10,Realizarán seminario virtual sobre siembra y cosecha del agua en Junín,"(Agraria.pe)Agro Junín y Planeamiento y Gestión (PG) realizarán mañana (11 de junio), desde las 4:30 pm, el seminario virtual “Siembra y cosecha del agua”, cuya exposición estará a cargo del alcalde provincial de Jauja, César Víctor Dávila Veliz. Dávila Veliz es ingeniero de profesión, promotor de la siembra y cosecha de agua a nivel nacional. También es gerente del “Fundo la cosecha del agua”. Durante el seminario virtual, que es gratuito, se abordarán temas como: captura y uso de agua; cortinas forestales; suelos y cultivos orgánicos; negocios y sostenibilidad ambiental; proyecto de transformación. Datos .El seminario virtual “Siembra y cosecha del agua” se transmitirá en vivo vía zoom y través de la página de Facebook de Agro Junínhttps://www.facebook.com/agrojuninperu .Si desea inscribirse al evento siga el siguiente enlace:https://forms.gle/bDMTQ57YQG55FzU69",agraria.pe/eventos,https://agraria.pe/noticias/realizaran-seminario-virtual-sobre-siembra-y-cosecha-del-agu-24597
2021-08-17,Ejecutivo pone en marcha proyectos de siembra y cosecha de agua para impulsar Agricultura Familiar,"(Agraria.pe)El premier Guido Bellido -junto al ministro de Desarrollo Agrario y Riego Víctor Maita- ratificó el compromiso del Gobierno Nacional de potenciar el desarrollo rural con la puesta en marcha de cuatro qochas (siembra y cosecha de agua) en la localidad de Pomacanchi, ejecutadas por la Unidad Ejecutora “Fondo Sierra Azul”, adscrita al sector Agricultura. Los funcionarios llegaron al Cusco para cumplir una intensa jornada de trabajo, vinculada principalmente, a implementar los proyectos de desarrollo, a fin mejorar la producción de alimentos de las zonas altoandinas. Las qochas o siembra y cosecha de agua involucra la construcción de minirrepresas, reservorios o lagunas artificiales, que se construyen en depresiones naturales de terreno de una cabecera de cuenca para almacenar y acopiar el agua de las lluvias. Se trata de tecnología utilizada de manera ancestral por las poblaciones de las zonas altoandinas. Para ello, la comitiva de funcionarios del Ejecutivo llegó al distrito de Pomacanchi para poner en marcha los proyectos de siembra y cosecha de agua denominadas Qoncayllo, Sañopaki, Juchuy Occoruru y Occoruro, que se encuentran ubicadas a una altitud promedio de 4.455 m.s.n.m. provincia de Acomayo de la región Cusco. En su discurso, el ministro Víctor Maita, expresó que los proyectos de qochas son parte de las acciones del sector para llevar adelante la autodenominada segunda reforma agraria, vinculados con la tecnificación y capacitación de los productores, que podrán obtener mayores rentas por sus productos. Las qochas permitirán almacenar un volumen de agua de 50.395 metros cúbicos en beneficio de cientos de familias e irrigar alrededor de 107 hectáreas de cultivos de terrenos dedicados a la Agricultura Familiar, a fin de beneficiar a los pobladores de las comunidades de Santa Rosa de Mancura, Chosecani, Mancura, Pomacanchi, Sayhua y San Juan. Las obras ejecutadas por el Ministerio de Desarrollo Agrario y Riego a través del fondo “Sierra Azul”, contribuirán a contar con recurso hídrico para mejorar el rendimiento de los cultivos de papa, haba, cebada, trigo, logrando una mayor producción y mayores ingresos reduciendo el impacto de la pobreza y pobreza extrema. El ministro Víctor Maita añadió que los proyectos inaugurados en esta región demandaron una inversión superior a los S/ 828.705, y cuyos trabajos han facilitado la generación de 2.070 jornales como empleo temporal con participación directa de las comunidades beneficiarias.",agraria.pe/proyectos,https://agraria.pe/noticias/ejecutivo-pone-en-marcha-proyectos-de-siembra-y-cosecha-de-a-25171
2021-08-19,Midagri apoyará a agricultores con guano de isla y urea importada desde Bolivia,"(Agraria.pe)El titular del Ministerio de Desarrollo Agrario y Riego (Midagri), Víctor Maita, indicó que, a raíz del incremento de los precios de los fertilizantes, su cartera apoyará a los agricultores con guano de isla y urea importada desde Bolivia. Señaló que en el Midagri hay preocupación puesto que el precio de los fertilizantes prácticamente se ha duplicado, por varios motivos como el tipo de cambio del dólar; el incremento del precio del petróleo y gas (la urea es un derivado de estos productos). A ello se suma la menor oferta de fertilizantes debido a que China prácticamente no está vendiéndola porque está priorizando su producción nacional; además se podría estar especulando con el precio ya que no coinciden los precios internacionales con el precio local. En ese sentido, el titular del Midagri hizo un llamado a las empresas agroindustriales para no especular con los precios de estos productos. Maita dijo que el Midagri ha coordinado con el Programa de Desarrollo Productivo Agrario Rural (Agro Rural) -encargado de administrar el guano de isla- para apoyar a los productores de 12 regiones otorgándoles un subsidio. Se empezará con un lanzamiento en las regiones de Huancavelica y Junín. El objetivo de la medida es beneficiar aproximadamente a 1.2 millones de productores agrícolas para su acceso a fertilizantes especiales de mejor calidad y de alto rendimiento. Otra de las acciones inmediatas es importar urea desde Bolivia. “Sabemos que Bolivia produce fertilizantes y ya hemos coordinado con el Embajador de ese país que nos apoye con urea”. Sobre el volumen a importar de este fertilizante, indicó que está siendo evaluado por los técnicos del Midagri, sin embargo, en este momento ya empezó la campaña agrícola 2021/2022 en nuestro país, por lo que se tiene que dar un apoyo inmediato. “La comunicación que tenemos con la Embajada de Bolivia es que sea un apoyo inmediato, podríamos decir simbólico, vía donación, mientras avanza el proceso de compra ya que los procesos de importación-exportación toman su tiempo”, comentó. En forma paralela, señaló que Agro Rural iniciará la ejecución de un plan de capacitación y asistencia técnica para el uso más eficiente de una amplia gama de fertilizantes incluyendo guano de la isla, gallinaza, fosfatos, urea, dolomita entre otros, que necesitan los productores.",agraria.pe/politica,https://agraria.pe/noticias/midagri-apoyara-a-agricultores-con-guano-de-isla-y-urea-impo-25191
