fecha_evento,departamento,provincia,num_emergencias,total_afectados,hectareas_cultivo_perdidas
2021-01,AMAZONAS,BAGUA,2,93.0,0.0
2021-01,AMAZONAS,BONGARA,1,9.0,0.0
2021-01,AMAZONAS,CHACHAPOYAS,2,8.0,0.0
2021-01,AMAZONAS,CONDORCANQUI,2,5.0,0.0
2021-01,AMAZONAS,LUYA,3,2.0,0.0
2021-01,AMAZONAS,RODRIGUEZDEMENDOZA,1,2.0,0.0
2021-01,AMAZONAS,UTCUBAMBA,5,44.0,0.0
2021-01,ANCASH,AIJA,2,0.0,0.0
2021-01,ANCASH,ANTONIORAYMONDI,1,0.0,0.0
2021-01,ANCASH,ASUNCION,2,4.0,0.0
2021-01,ANCASH,BOLOGNESI,4,0.0,0.0
2021-01,ANCASH,CARHUAZ,5,14.0,0.0
2021-01,ANCASH,CARLOSFERMINFITZCARRALD,1,6.0,0.0
2021-01,ANCASH,CORONGO,1,6.0,0.0
2021-01,ANCASH,HUARAZ,21,59.0,0.0
2021-01,ANCASH,HUARI,9,35.0,0.11
2021-01,ANCASH,HUAYLAS,2,0.0,0.0
2021-01,ANCASH,MARISCALLUZURIAGA,1,2.0,0.0
2021-01,ANCASH,PALLASCA,1,0.0,0.0
2021-01,ANCASH,POMABAMBA,3,1.0,0.0
2021-01,ANCASH,RECUAY,2,1.0,0.0
2021-01,ANCASH,YUNGAY,7,44.0,0.0
2021-01,APURAMAC,ABANCAY,15,71.0,0.0
2021-01,APURAMAC,ANDAHUAYLAS,14,184.0,0.0
2021-01,APURAMAC,ANTABAMBA,12,313.0,16.07
2021-01,APURAMAC,AYMARAES,11,119.0,0.0
2021-01,APURAMAC,CHINCHEROS,12,158.0,0.0
2021-01,APURAMAC,COTABAMBAS,15,4109.0,0.49
2021-01,APURAMAC,GRAU,13,829.0,40.32
2021-01,AREQUIPA,AREQUIPA,14,340.0,0.15
2021-01,AREQUIPA,CAMANA,3,32.0,10.9
2021-01,AREQUIPA,CARAVELI,1,0.0,0.0
2021-01,AREQUIPA,CASTILLA,7,189.0,0.0
2021-01,AREQUIPA,CAYLLOMA,21,828.0,53.26
2021-01,AREQUIPA,CONDESUYOS,4,47.0,0.0
2021-01,AREQUIPA,ISLAY,1,0.0,0.0
2021-01,AREQUIPA,LAUNIAN,5,107.0,2.98
2021-01,AYACUCHO,CANGALLO,8,33.0,16.25
2021-01,AYACUCHO,HUAMANGA,9,15.0,0.0
2021-01,AYACUCHO,HUANCASANCOS,1,0.0,0.0
2021-01,AYACUCHO,HUANTA,35,868.0,68.79
2021-01,AYACUCHO,LAMAR,53,97.0,369.07
2021-01,AYACUCHO,LUCANAS,20,134.0,0.48
2021-01,AYACUCHO,PARINACOCHAS,4,36.0,24.32
2021-01,AYACUCHO,PAUCARDELSARASARA,21,434.0,1.35
2021-01,AYACUCHO,SUCRE,2,0.0,0.0
2021-01,AYACUCHO,VICTORFAJARDO,5,63.0,0.39
2021-01,AYACUCHO,VILCASHUAMAN,5,173.0,0.0
2021-01,CAJAMARCA,CAJABAMBA,2,5.0,0.0
2021-01,CAJAMARCA,CAJAMARCA,13,43.0,0.0
2021-01,CAJAMARCA,CELENDIN,8,23.0,0.0
2021-01,CAJAMARCA,CHOTA,2,2.0,0.0
2021-01,CAJAMARCA,HUALGAYOC,1,123.0,0.0
2021-01,CAJAMARCA,JAEN,3,1.0,0.0
2021-01,CAJAMARCA,SANIGNACIO,19,167.0,1.6
2021-01,CAJAMARCA,SANMARCOS,1,0.0,0.0
2021-01,CUSCO,ANTA,4,7.0,0.0
