fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg
2021-01,AMAZONAS,BAGUA,25.7,1.96
2021-01,AMAZONAS,CHACHAPOYAS,23.16,1.5
2021-01,AMAZONAS,LUYA,29.98,1.34
2021-01,AMAZONAS,UTCUBAMBA,429.8,0.99
2021-01,ANCASH,CARHUAZ,7.0,2.4
2021-01,ANCASH,CASMA,49.0,2.15
2021-01,ANCASH,HUARMEY,10.0,1.8
2021-01,ANCASH,HUAYLAS,20.0,1.8
2021-01,ANCASH,SANTA,17.0,1.64
2021-01,ANCASH,YUNGAY,8.0,1.56
2021-01,APURIMAC,ABANCAY,26.0,0.95
2021-01,APURIMAC,ANDAHUAYLAS,8.55,1.65
2021-01,APURIMAC,AYMARAES,1.1,0.8
2021-01,APURIMAC,CHINCHEROS,4.0,1.75
2021-01,APURIMAC,GRAU,2.0,0.9
2021-01,AYACUCHO,HUAMANGA,4.0,1.75
2021-01,AYACUCHO,LA MAR,5.0,2.1
2021-01,CAJAMARCA,CAJABAMBA,5.02,1.35
2021-01,CAJAMARCA,CHOTA,14.0,0.9
2021-01,CAJAMARCA,JAEN,21.53,1.0
2021-01,CAJAMARCA,SAN MARCOS,1.85,1.9
2021-01,CUSCO,LA CONVENCION,383.6,1.11
2021-01,HUANCAVELICA,CASTROVIRREYNA,0.2,2.0
2021-01,HUANUCO,HUACAYBAMBA,9.8,3.17
2021-01,HUANUCO,HUAMALIES,5.2,1.2
2021-01,HUANUCO,LEONCIO PRADO,33.3,1.19
2021-01,HUANUCO,MARAÑON,2.5,0.97
2021-01,HUANUCO,PUERTO INCA,3.0,3.35
2021-01,ICA,PISCO,20.0,1.5
2021-01,JUNIN,CHANCHAMAYO,128.35,0.69
2021-01,JUNIN,HUANCAYO,11.9,0.5
2021-01,JUNIN,SATIPO,204.31,0.66
2021-01,LA LIBERTAD,ASCOPE,2.5,0.9
2021-01,LA LIBERTAD,BOLIVAR,6.68,0.9
2021-01,LA LIBERTAD,CHEPEN,15.7,0.9
2021-01,LA LIBERTAD,GRAN CHIMU,0.54,0.89
2021-01,LA LIBERTAD,OTUZCO,1.5,0.9
2021-01,LA LIBERTAD,PATAZ,3.71,0.94
2021-01,LA LIBERTAD,SANCHEZ CARRION,5.32,0.95
2021-01,LA LIBERTAD,VIRU,0.98,0.9
2021-01,LAMBAYEQUE,LAMBAYEQUE,6453.0,0.46
2021-01,LIMA,HUAURA,8.0,2.0
2021-01,LORETO,ALTO AMAZONAS,331.0,0.8
2021-01,LORETO,DATEM DEL MARAÑON,31.0,0.89
2021-01,LORETO,LORETO,66.0,0.94
