fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,lat,lon,num_emergencias,total_afectados,hectareas_cultivo_perdidas,sentiment_score,month_sin,month_cos,day_sin,day_cos
2021-01,AMAZONAS,BAGUA,25.7,1.96,14.94,1.42,13.15,72.32,21.86,30.12,15.28,1.85,-5.63888888888889,-78.5311111111111,2.0,93.0,0.0,0.5,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945
2021-02,AMAZONAS,BAGUA,38.5,1.32,14.92,1.24,13.0,67.0,23.07,34.49,16.68,1.7,-5.63888888888889,-78.5311111111111,2.0,39.0,0.0,0.5,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945
2021-03,AMAZONAS,BAGUA,37.8,1.4,14.31,3.4,13.53,77.16,21.12,30.1,15.44,1.49,-5.63888888888889,-78.5311111111111,13.0,2.0,0.0,0.5,1.0,6.123233995736766e-17,0.20129852008866006,0.9795299412524945
2021-04,AMAZONAS,BAGUA,32.7,1.25,14.97,0.79,13.3,73.75,21.81,30.86,15.5,2.03,-5.63888888888889,-78.5311111111111,1.0,7.0,0.0,0.5,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945
2021-05,AMAZONAS,BAGUA,34.25,1.42,13.93,0.34,12.64,69.26,22.13,31.65,16.25,2.17,-5.63888888888889,-78.5311111111111,6.0,44.0,0.0,0.5,0.49999999999999994,-0.8660254037844387,0.20129852008866006,0.9795299412524945
2021-06,AMAZONAS,BAGUA,34.8,1.5,13.07,0.37,12.09,69.13,21.48,30.8,14.9,2.13,-5.63888888888889,-78.5311111111111,10.0,16.0,5.0,0.5,1.2246467991473532e-16,-1.0,0.20129852008866006,0.9795299412524945
2021-07,AMAZONAS,BAGUA,34.1,1.47,13.92,0.15,11.26,65.78,21.31,31.41,13.34,2.61,-5.63888888888889,-78.5311111111111,7.0,41.0,0.0,0.5,-0.4999999999999997,-0.8660254037844388,0.20129852008866006,0.9795299412524945
2021-08,AMAZONAS,BAGUA,31.9,1.98,15.29,0.39,11.5,62.15,22.53,34.25,14.93,2.31,-5.63888888888889,-78.5311111111111,3.0,8.0,0.0,0.5,-0.8660254037844385,-0.5000000000000004,0.20129852008866006,0.9795299412524945
2021-09,AMAZONAS,BAGUA,30.9,2.12,17.03,0.8,12.03,64.72,22.46,32.05,15.45,2.32,-5.63888888888889,-78.5311111111111,3.0,98.0,0.0,0.5,-1.0,-1.8369701987210297e-16,0.20129852008866006,0.9795299412524945
2021-10,AMAZONAS,BAGUA,32.8,2.13,17.01,1.56,13.21,67.91,23.07,33.31,16.44,1.92,-5.63888888888889,-78.5311111111111,6.0,42.0,0.0,0.5,-0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945
2021-11,AMAZONAS,BAGUA,30.3,2.25,16.64,1.58,12.74,67.76,22.53,32.56,15.2,1.47,-5.63888888888889,-78.5311111111111,2.0,25.0,0.0,0.5,-0.5000000000000004,0.8660254037844384,0.20129852008866006,0.9795299412524945
2021-12,AMAZONAS,BAGUA,34.6,2.15,16.09,2.02,13.32,70.0,22.72,33.09,14.89,1.69,-5.63888888888889,-78.5311111111111,0.0,0.0,0.0,0.5,-2.4492935982947064e-16,1.0,0.20129852008866006,0.9795299412524945
2022-01,AMAZONAS,BAGUA,31.700000000000003,1.87,16.94,0.93,11.73,60.92,23.1,33.6,14.6,1.9,-5.63888888888889,-78.5311111111111,1.0,61.0,0.0,0.5,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945
