fecha,titular,cuerpo_completo,fuente,url
2023-05-11,Huancavelica: 1.800 familias pierden sus cosechas a causa de granizada en Angaraes,"(Agraria.pe)Cerca de 1.800 familias dedicadas a la agricultura familiar perdieron sus cosechas a causa de una fuerte granizada que afectó el fin de semana a cuatro distritos de la provincia de Angaraes, región Huancavelica. Los agricultores de los distritos de Huanca Huanca, Huallay Grande, Callanmarca y Anchonga han perdido sus sementeras que tenían como destino el sostén alimenticio de sus familias, el abastecimiento del mercado local y la producción de semillas para la campaña agrícola del próximo año. Los cultivos afectados se encontraban en la etapa de floración y los frutos en desarrollo que no podrán recuperar, han sido destruidos por la singular granizada que cayó. Los pobladores que se encontraban en el campo durante el fenómeno manifestaron que el tamaño de las bolas de hielo superaba el de una canica de cristal, que incluso causó la muerte de animales silvestres que quedaron regados entre los cultivos, suceso que experimentaron por primera vez. Los distritos afectados cuentan con diversos pisos ecológicos que oscilan entre los 2.400 a 3.600 metros sobre el nivel, propicios para el cultivo de frutales como manzana, naranja, limón, membrillo, palta, lúcuma y tunas; mientras que en la zona alta se produce cereales: maíz, trigo, avena y cebada; legumbres: arveja, habas, lenteja, fejoles, tarwi y linaza; y  verduras: zapallo y calabaza. La producción de estas variedades este año ha quedado destruida. El alcalde del distrito de Huanca Huanca, Juvencio Taípe Rojas, al igual que sus homólogos de los distritos afectados apenas han cumplido cuatro meses de asumir la gestión pública y su primer reto es sacar adelante a sus conciudadanos para que puedan superar esta adversidad. Entre las primeras acciones estuvo realizar la verificación de los daños. El alcalde del distrito de Huallay Grande, William Chocce Unocc, manifestó que solicitarán que se declare en emergencia a la agricultura. “Nosotros pedimos a las autoridades nacionales y regionales que nos puedan escuchar y activar los bonos que han apoyado por el tema de la sequía, y ahora por la granizada”. A lo lejos aún se puede ver las chacras  con cultivos aparentemente verdes y otros como cereales amarillándose como si no hubiera pasado nada. Sin embargo, al llegar a la parcela están erguidas las plantas sin un solo grano de cebada o trigo. La arveja ha quedo golpeada en el piso. Una pobladora narra “Hemos sembrado de dos a tres hectáreas para vender en el mercado de Lircay, y con eso mantener a mi hija que esta estudiando en colegio. No hay nada. ¿con que haré estudiar ahora? soy madre soltera”. No sólo sus cultivos se han afectado, al igual que ella, las casas de varios vecinos han visto sus techos colapsados. Julio Cesar Suycaray Ayaipoma dijo: ""Nos ha afectado a los productores de palta, criadores de apicultura, para ello pedimos apoyo a nuestras autoridades nacionales. Los alimentos han sido afectados por la granizada, nuestra palta se ha caído al suelo sin madurar, de eso vivimos. La palta que fue golpeada por el granizo ya no sirve, porque aún no estaba lista para cosechar"", refirió. A nivel del gobierno regional, la Dirección Regional Agraria de Huancavelica, inició el empadronamiento de los afectados para disponer la atención. Mientras tanto, el área de Defensa Civil atiende las emergencias en las viviendas, en las que han colapsado sus techos por la granizada. Asimismo, el subprefecto de la provincia de Angaraes, Nerio Rua Oré, se encuentra realizando el seguimiento de las acciones que se vienen desarrollando para la atención. Fuente: Andina",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/huancavelica-1-800-familias-pierden-sus-cosechas-a-causa-de--31766
2023-05-02,FAO advierte de posibles sequías en norte de Sudamérica ante la llegada de El Niño,"(Agraria.pe)Ante la inminente llegada del evento meteorológico de “El Niño”, que afecta a varias partes del mundo, la Organización de las Naciones Unidas para la Agricultura y la Alimentación (FAO) advirtió este jueves de que puede provocar importantes sequías en América Central y el norte de Sudamérica. Aunque este fenómeno podría ser un alivio para algunas áreas afectadas por la sequía, como el Cuerno de África, sin embargo “puede significar un problema para otras partes de África, América Central y el Lejano Oriente asiático”, informó la FAO en un informe publicado recientemente. “África Meridional, América Central y el Caribe y partes de Asia son motivo de especial preocupación, ya que varios países de estas regiones ya se enfrentan a altos niveles de inseguridad alimentaria aguda y las temporadas agrícolas clave caen bajo los patrones climáticos típicos de El Niño de condiciones más secas”, se indica. “Las áreas del norte de América del Sur también están en riesgo de sequía potencial, mientras que Australia normalmente experimenta precipitaciones suprimidas”. Por ello, el jefe de la Oficina de Emergencias y Resiliencia de la FAO, Rein Paulsen, señaló en una nota la necesidad de “tomar medidas tempranas y anticipadas”, y anunció que se “apoyará a los Estados miembros en estos esfuerzos, en la medida en que los recursos lo permitan”. Dados los pronósticos más recientes que han aumentado la probabilidad de que ocurra un evento de El Niño a partir de junio, la FAO ya está poniendo en marcha los preparativos iniciales para apoyar a los países afectados. “Los pronósticos en este momento son claros, pero inevitablemente solo se pueden presentar con poca confianza debido a su baja potencia durante el período mayo-junio-julio”, explicó Oscar Rojas, agrometeorólogo de la FAO. Los eventos de El Niño generalmente ocurren cada dos a siete años, con episodios de La Niña y condiciones neutrales llenando los años intermedios. El Niño tiene una gran influencia en los patrones de temperatura y precipitación en muchas partes del mundo, provocando fenómenos meteorológicos extremos, como sequías, inundaciones y tormentas, explica el organismo. Si bien la lluvia será un alivio bienvenido para los agricultores de Argentina y el Cercano Oriente asiático, El Niño también puede causar inundaciones severas, que pueden dañar la agricultura y aumentar las enfermedades: “Ese es un riesgo particular que la FAO ha examinado en relación con África Oriental, que se ha enfrentado a cuatro años de déficit extremos de precipitaciones y donde la recuperación llevará mucho tiempo, incluso si las lluvias finalmente regresan”. Por otra parte, “Australia, Brasil y Sudáfrica, todos los principales productores y exportadores de cereales, se encuentran entre los países en riesgo de condiciones secas, al igual que muchos otros países de África central y occidental, el sudeste asiático y el Caribe”. “El riesgo inverso de precipitaciones excesivas es válido para exportadores como Argentina, Turquía y los Estados Unidos de América, así como para países de Asia Central”, añade la FAO. Además, El Niño generalmente eleva la temperatura promedio global y se asoció con el récord registrado en 2016, cuando ocurrieron varias calamidades que liberaron carbono, incluidos incendios forestales y de turberas en Indonesia y miles de millones de árboles diezmados por la sequía en el Amazonas. Fuente: EFE Agro",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/fao-advierte-de-posibles-sequias-en-norte-de-sudamerica-ante-31643
2023-04-04,Fuertes lluvias en el norte amenazan próxima campaña en uva de mesa y mangos a nivel sanitario,"(Agraria.pe)Si bien las cosechas de uva de mesa y mango culminaron antes de la intensificación de las lluvias en el norte del país, productores y asesores consultados advierten que hongos y plagas pueden generar consecuencias graves a lo largo de la campaña 2023-2024, en especial, en la productividad y calidad de la fruta. José Luis Juárez, asesor fitosanitario en uva de mesa, comenta que el clima tan inestable en Piura y en parte del norte del país está originando una gran presencia de Mildiu en los parrones, lo que traerá problemas a lo largo de la campaña. Debido a que existe gran preocupación por ello, los productores vienen haciendo las aplicaciones con los productos químicos que contrarresten esta situación. Sin embargo, menciona su inquietud que por apagar este incendio se pueda estar dejando otro para el futuro. «Toda la máquina de control está enfocada en atacar a los hongos y, por consiguiente, el chanchito blanco no va a ser controlado eficientemente y va a causar daños más adelante. Es lo que se anticipa», apunta. Normalmente, el programa de prevención de chanchito blanco se realiza en la actualidad, durante la campaña de formación, indica. Más adelante, luego de la etapa de formación, refiere que no se pueden hacer muchas más aplicaciones por un tema de residuos. Si se buscan moléculas alternativas para su uso en etapas más avanzadas no tendrán la eficacia requerida, dice. «Si ingresas con mucha presencia de chanchito a la campaña de producción por no haber hecho un buen trabajo en la etapa de formación, entonces, habrá más infestación de los racimos y menor productividad», advierte. Por su parte, César Morocho, presidente de la Asociación de Peruana de Exportadores de Mango (APEM), también comenta que las lluvias arreciaron cuando Piura -concentra el 75% de la producción del fruto en el país- había terminado sus exportaciones. Por tanto, la zona afectada fue la producción de parte de Casma (Áncash). Sin embargo, considera que la presencia de lluvias tendrá un impacto en la siguiente campaña. Primero, señala que habrá un retraso de las cosechas en dos o tres semanas, debido a que se altera el proceso natural de la planta. Lo segundo es que ante el gran volumen de precipitaciones se ha desarrollado una gran cantidad de esporas de diferentes hongos que se depositan en la planta. «Esto se viene a sumar a que la campaña pasada no ha sido nada buena para los productores frente a la caída de los precios. Eso podría generar que algunos no cuiden su fruto, generando un efecto posterior en la calidad», señala. En particular, menciona que se puede presentar el hongo Antracnosis.  «La fruta sana se coloca en un contenedor y en ese contenedor hay un clima que está a menos de 10 grados, condiciones adecuadas para que este hongo se manifieste. Entonces, uno puede mandar el mango limpio, pero cuando llega a destino está lleno de manchas negras en la piel», menciona. Otro tema adicional que refiere es que con las lluvias muchas vías de transporte han quedado destruidas y si no se reparan a tiempo se va a maltratar la fruta al sacarla de la chacra hasta las plantas de empaque, menciona. Fuente: Redagrícola",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/fuertes-lluvias-en-el-norte-amenazan-proxima-campana-en-uva--31376
2023-03-16,Tumbes reporta pérdidas de 1.273 hectáreas de banano,"(Agraria.pe)Un total de 1,273.88 hectáreas de plátano y banano orgánico se perdieron en la región Tumbes a consecuencia de las lluvias intensas y desborde de ríos que inundaron los terrenos de cultivo, informó la directora de la Agencia Agraria de Corrales, Rosita Dios Espinoza. Si bien las precipitaciones pluviales han disminuido en intensidad, los daños causados por los eventos naturales son cuantiosos y los agricultores solicitan el apoyo del Gobierno Regional y gobiernos locales para evacuar las aguas que afectan sus cultivos. Dios Espinoza indicó que fueron 163 hectáreas de banano orgánico, 603 de convencional y 507.88 de dominico las inundadas en lo que corresponde al sector de la agencia agraria de Corrales de Tumbes y la zona más afectada fue Oidor en San Jacinto, donde el ciclón se trajo abajo las 10 hectáreas de banano, por el fuerte viento. Los hombres y mujeres de campo, piden que los ayuden en reponer sus campos de cultivo, considerando que además se han afectado 5 hectáreas de choclo, 6.5 has de cacao, 0.20 has de papaya, 99.70 has de limón y 203 has de arroz. Rosita Dioses precisó que como agencia agraria vienen orientando a los hombres y mujeres de campo en el tema del seguro agrícola catastrófico, para lo cual es el monitoreo de los sectores estadísticos y evaluación de campos con pérdidas y consecuencias del Yaku. En Zarumilla, el especialista Rigoberto Rojas García informó que la quebrada La Burra afectó 53.25 hectáreas de cultivo, entre limón, plátano de seda y maíz amarillo duro. El director regional de Agricultura, Lalo Rueda, precisó que están interviniendo con maquinaria para aliviar los drenes y si hay futuras amenazas del río o quebradas, puede discurrir y no empozarse el agua que ingrese a los campos agrícolas. Fuente: Andina",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/tumbes-reporta-perdidas-de-1-273-hectareas-de-banano-31163
2023-03-10,La sequía amenaza a la agricultura italiana,"(Agraria.pe)Italia sufrió en el 2022 la peor sequía de los últimos 500 años, conpérdidas valoradas en 6.000 millones de euros. Pero el 2023 podría ser aún peor. En muchas zonas del norte lleva semanas sin llover, y el Po, el gran río que ha hecho fértil ese valle durante milenios, está al límite. En Verona, a 160 kilómetros de Milán, el río Adige es una sombra de sí mismo. En Vicenza, a unos 70 kilómetros de Venecia, los largos pórticos que en su día protegían a los transeúntes de la lluvia ya son inútiles. «Hasta hace poco, les decía a mis amigos españoles que Vicenza era el San Sebastián italiano porque no paraba de llover», explica Giuseppe, un profesional de 40 años, «pero últimamente, en Vicenza, solo caen unas gotas». La sequía está causando serios problemas a la agricultura del norte del país. Para Coldiretti, la principal asociación que representa y asiste al sector, esa zona de Italia ha sufridoun descenso del 40 % en las precipitacionesy 300.000 empresas agrícolas atraviesan un momento difícil. Las exportaciones agroalimentarias — del queso parmesano a los vinos, de la pasta a hortalizas apreciadas como los espárragos — son un pilar de la economía italiana, por lo que es comprensible que haya cierto pesimismo en el país. Giulia, una jubilada de Venecia, se queja: «Está claro: sin lluvia los agricultores no tienen agua, y sin agua no pueden regar los campos, por lo que cada vez llegan menos frutas y verduras a las tiendas... Volveremos a rezar para que llueva, como hacíamos en la época de mis abuelos durante los años de sequía». Lorenzo Bazzana, responsable económico de Coldiretti, advierte de que «la situación es más grave que el año pasado, el déficit hídrico es mayor: se esperan lluvias en los próximos días, pero corremos el riesgo de quedarnos en una situación muy preocupante; se ha calculado que haría falta un mes de lluvias para compensar el déficit creado durante este invierno tan seco. Es una situación muy preocupante». Y es que las lluvias no han desaparecido en Italia. Pero confirman largos períodos de sequía interrumpidos por tormentas que en pocos días, o incluso horas, vierten el agua que antes caía a lo largo de tres meses, y que sería fundamental aprovechar. Los ciudadanos y los expertos están preocupados —muchos residentes confiesan que ahora consultan todos los días las previsiones meteorológicas con la esperanza de que anuncien lluvia —, pero los políticos parecen centrados en otros temas. Ya en el 2017, Coldiretti presentóun plan para construir embalses de diferentes tamaños para almacenar el agua de lluvia en varias regiones italianas. «En algunos casos, las estructuras ya se han inaugurado, pero en la gran mayoría estamos a la espera de que las autoridades responsables den el visto bueno, de que empiece la financiación, de que comiencen las obras», apunta Bazzana. Los científicos también buscan soluciones. Carlotta Balconi, del Centro de Investigación de Cultivos de Cereales y Cultivos Industriales, es la responsable científica para el proyecto Dromaned, en el que participan nueve países, entre ellos España. «El objetivo del proyecto es estudiar las variedades locales de maíz de las colecciones que mantienen los institutos de investigación de los países del área mediterránea para conocer cuáles son las más resistentes en condiciones de sequía y altas temperaturas». Daniele Masseroni, profesor de ingeniería del riego en la Universidad de Milán, explica: «Desde hace años, el grupo de hidráulica agraria lleva a cabo numerosos proyectos destinados a encontrar y transferir soluciones para la gestión sostenible de los recursos hídricos en la agricultura, centrándose en las técnicas tradicionales, como las técnicas de riego superficial y por inundación». El futuro de la agricultura italiana está también en manos de investigadores como Balconi y Masseroni. Fuente: lavozdegalicia.es",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/la-sequia-amenaza-a-la-agricultura-italiana-31111
2023-03-03,Fenómeno El Niño acentuará las lluvias por calentamiento del mar,"(Agraria.pe)Las lluvias intensas se acentuarán en la zona norte del país, especialmente en las regiones Piura y Tumbes, esto debido a diversos factores atmosféricos, siendo el principal el incremento de la temperatura hasta en tres grados, lo que podría abrir, si se dan condiciones más elevadas, la posibilidad de un Fenómeno El Niño. El jefe del Servicio Nacional de Meteorología e Hidrología del Perú (Senamhi) de Piura, Jorge Luis Carranza, dijo que por ello la Comisión Multisectorial encargada del Estudio Nacional del Fenómeno (ENFEN) ha emitido un comunicado donde se anuncia que han pasado de un estado del sistema de alerta “no activo” a “vigilancia de El Niño costero”. Dijo que en estos momentos se está realizando una vigilancia y estudio permanente del comportamiento del mar entre las costas de Lambayeque y Tumbes teniendo en cuenta que en las últimas 3 semanas se ha dado un calentamiento progresivo de las aguas del mar. “A mediados de enero se detectó un incremento de 0.5 pero ahora ha llegado a tres grados por encima de su valor normal a lo que se agrega el ingreso de ondas Kelvin calientes en la zona norte del país, lo que son condiciones favorables para la presencia de lluvias de moderada a fuerte intensidad"", expresó. Explicó que en estos momentos existen los argumentos atmosféricos para la mayor presencia de lluvias donde la carga más fuerte se dará en Piura y Tumbes. Al ser consultado sobre la presencia de un Fenómeno El Niño costero, dijo que las temperaturas del mar no han alcanzado los niveles del año 2017 pero que ya se han tomado las acciones necesarias de vigilancia del ENFEN para evaluar el comportamiento del mar. Informó que el Enfen se reunirá el 16 de marzo para evaluar la situación y ver si con el ingreso de las ondas Kelvin, de la humedad proveniente de la Amazonía, el sistema de bajas presiones y si la zona de convergencia de intertropical sigue bajando hacia la costa, se darán lluvias más intensas en la zona norte del país. ""El Enfen va evaluar el acoplamiento océano atmosférico y emitir su comunicado si se eleva de vigilancia Niño Costero"", puntualizó.",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/fenomeno-el-nino-acentuara-las-lluvias-por-calentamiento-del-31022
2023-02-23,Agro Rural realiza siembra de 13 mil plantones en áreas de cultivo afectadas por incendio en Polobaya,"(Agraria.pe)El programa Agro Rural, a través de la Unidad Zonal de Arequipa, realizó la siembra de 13 mil pinos en el distrito de Polobaya, zona que fue afectada por un incendio forestal, el año pasado. El director ejecutivo, Mirbel Epiquién Rivera, explicó que especialistas de Agro Rural se encuentran realizando la plantación de 13 milPinus radiata, con el fin de reponer las pérdidas ocasionadas por el desastre natural. “El distrito de Polobaya cuenta con arbustos naturales y pastos como el ccapo, el ichu, la yareta, entre otros. Es una zona ganadera criando un alto porcentaje de vacunos, ovinos, porcinos, caprinos, camélidos y aves de corral. Todos estos recursos naturales son afectados cuando ocurren estos siniestros, por ello Agro Rural ejecuta estas tareas de reforestación tan importantes para la rehabilitación del ecosistema y para el beneficio de los productores de la agricultura familiar”, explicó Epiquién Rivera. Durante el evento, estuvieron presentes también la ministra Nelly Paredes; quien refirió que todavía está en evaluación los efectos que produjo el retraso de lluvias, que golpeó de forma especial la sierra sur entre octubre y diciembre. De igual manera, asistieron a la actividad el alcalde distrital, Wenceslao Cabana y las asociaciones conservacionistas agropecuarias beneficiadas.",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/agro-rural-realiza-siembra-de-13-mil-plantones-en-areas-de-c-30931
2023-01-31,El 38% de la Amazonía se habría degradado,"(Agraria.pe)Más de un tercio de la Amazonia se habría degradado por la actividad humana y las sequías, señalaron investigadores, y se requieren acciones para proteger ese ecosistema crucial. En un estudio publicado en la revista Science, los investigadores dicen que el daño causado a ese bosque que se extiende por nueve países es significativamente más grande de lo que se conocía. Para el estudio, los autores examinaron el impacto de los incendios, la explotación forestal, las sequías y los cambios en el hábitat a lo largo de las fronteras del bosque, lo que se conoce en ecología como efectos de borde. La mayoría de los estudios previos sobre el ecosistema de la Amazonia se han enfocado en las consecuencias de la deforestación. ImpactoEste estudio encontró que los incendios, la extracción de madera y los efectos de borde han degradado al menos el 5.5% del bosque amazónico que queda, o unos 364.748 kilómetros cuadrados, entre el 2001 y 2018. Sin embargo, cuando los efectos de la sequía aparecen, el área degradada aumenta a 2.5 millones de kilómetros cuadrados, el 38% del bosque amazónico. “Las sequías extremas se han vuelto cada vez más frecuentes en la Amazonía, mientras el cambio en el uso de la tierra y el progreso del cambio climático inducido por los humanos, afectando la mortalidad de árboles, la incidencia de incendios y las emisiones de carbono a la atmósfera”, indica el estudio. “Los incendios forestales se intensifican durante los años de sequía”, aseguran, y advierten sobre los peligros de “megaincendios mucho mayores” en el futuro. Los investigadores de la Universidad Estadual de Campinas en Brasil y otras instituciones usaron imágenes satelitales y otros datos desde el 2001 hasta 2018 para llegar a sus conclusiones. El presidente Luiz Inácio Lula da Silva ha ratificado su compromiso de acabar con la deforestación de la Amazonía para el 2030. Tras su investidura, el mandatario firmó una serie de decretos para reforzar la protección de la Amazonía. En una de las primeras medidas, Lula revocó un decreto que autorizaba la explotación minera de las tierras indígenas. Impacto en especiesEn un estudio separado publicado también por Science sobre el impacto humano sobre la Amazonia, los investigadores de la Universidad de Luisiana Lafayette hicieron un llamado a actuar. “La Amazonía se encamina a una transición rápida de ser un enorme paisaje natural a ser uno degradado y transformado por la combinación de presiones de la deforestación local y el cambio climático global”, anticiparon. “Los cambios están sucediendo mucho más rápido para las especies amazónicas, pobladores y ecosistemas”, alertaron. “Las políticas para prevenir las peores consecuencias son bien conocidas y deben ponerse en práctica inmediatamente”. MedioambienteEl mandatario Luiz Inácio Lula da Silva habló con su par francés, Emmanuel Macron, sobre “desafíos” con el medioambiente y los “riesgos” de la extrema derecha para la democracia. Fuente: El Peruano",agraria.pe/clima-y-medio-ambiente,https://agraria.pe/noticias/el-38-de-la-amazonia-se-habria-degradado-30695
2023-12-26,"UE produciría 9.9 millones de toneladas de cítricos en la temporada 2023/2024, volumen similar a lo registrado la campaña anterior, pero por debajo del promedio histórico","(Agraria.pe)La combinación de sequía, limitaciones de riego y temperaturas inusualmente altas durante las fases de floración y cuajado de frutos han limitado el potencial de producción de cítricos en los países comunitarios de la Unión Europea (UE) en la temporada 2023/2024, que se proyecta que se mantenga en niveles similares a los de la también limitada cosecha de 2022/2023. El aumento de la producción de limones y pomelos compensa la reducción registrada en la producción de naranjas, mandarinas y clementinas. Las importaciones continúan ganando cuota en un contexto de demanda débil impulsada por la inflación. En la temporada 2023/2024, se prevé que la producción total de cítricos de la UE ascienda a 9.9 millones de toneladas, muy similar a los niveles de la campaña anterior, pero por debajo del promedio histórico. No obstante, esta estabilidad oculta tendencias divergentes entre las diferentes categorías de cítricos. Las naranjas y las mandarinas/clementinas, que juntas representan casi el 85% de la producción de cítricos de la UE, registran respectivamente una disminución de -2% y de -5%. Por el contrario, se anticipa que los pomelos tengan un crecimiento del 6% y, lo más notable, se espera que la cosecha de limones crezca más del 15% en 2023/24. Se espera una reducción de la producción de cítricos en España, Grecia y Portugal, pero una cosecha mayor en Italia en comparación con la escasa producción registrada en 2022/23. En 2023/24, los agricultores de toda la UE continuaron enfrentándose a costos crecientes que van desde los costos de energía (combustible y electricidad) hasta fertilizantes y productos fitosanitarios. No obstante, los precios más altos en campo pueden contribuir a mejorar los márgenes de beneficio de los productores y compensar el impacto negativo de la segunda cosecha corta consecutiva de cítricos en la UE. Sin embargo, se espera que el alza de los precios de las frutas frescas y de los alimentos en general frene el consumo en la UE. Del mismo modo, dada la menor cosecha proyectada para la UE en 2023/24, se anticipa que se destine una menor cantidad de cítricos para fines de procesamiento. Dato .Si desea leer el informe completo, siga el enlace:https://agfstorage.blob.core.windows.net/misc/FP_com/2023/12/19/Awell.pdf Fuente: apps.fas.usda.gov",agraria.pe/produccion,https://agraria.pe/noticias/ue-produciria-9-9-millones-de-toneladas-de-citricos-en-la-te-34261
2023-12-19,Ingemmet estudiará geología del limón peruano el próximo año,"(Agraria.pe)Con el propósito de profundizar el conocimiento de los factores geológicos que inciden en la calidad del limón peruano, insumo fundamental de la gastronomía peruana y del ceviche, incluido recientemente en la Lista de Patrimonio Cultural Inmaterial de la Unesco, se estudiará desde el próximo año la geología del fruto por el Instituto Geológico, Minero y Metalúrgico (Ingemmet). Con la investigación denominada La geología del limón peruano, el Ingemmet busca aportar conocimientos detallados a partir de su medio geográfico, la composición del suelo, los recursos hídricos, el relieve e historia geológica condicionante y posibles riesgos geológicos en las regiones de cultivo del fruto. Para el Ingemmet, esos datos son esenciales para optimizar prácticas agrícolas, garantizar la salud y calidad de los cultivos y fortalecer la reputación del limón peruano a escala global. La calidad del limón es un factor determinante en el sabor distintivo del ceviche peruano, y el conocimiento de las particularidades geológicas permitirá poner en valor su trascendencia natural y contribución al patrimonio peruano. “Este anuncio llega en un momento crucial, ya que el ceviche peruano acaba de ser inscrito como el decimosegundo elemento en la Lista del Patrimonio Inmaterial de la Humanidad de la Unesco. La incorporación de este platillo resalta su papel central en la cultura culinaria peruana, en la que el limón peruano desempeña un papel clave”, destacó el presidente del Ingemmet, Henry Luna. La geología del pisco, el antecedenteCésar Chacaltana, director de Geología Regional del Ingemmet, sostuvo que el antecedente de la nueva investigación es La geología del pisco, que permitió dar mayores argumentos de la peruanidad del pisco. En la publicación se explica, por ejemplo, de qué manera el suelo y el clima son factores condicionantes muy importantes para la producción de la uva pisquera, ingrediente principal de nuestra bebida de bandera. “En el 2024 vamos a iniciar los estudios sobre la geología del limón, a consecuencia de la inclusión del ceviche en la Lista del Patrimonio Inmaterial de la Unesco. Es el ingrediente clave [del ceviche] y que hace único a este plato"", sostuvo en TV Perú al tiempo de agregar que se trata de un fruto ""único, que sólo crece en territorio peruano"". Ingrediente fundamentalEl especialista resaltó que ""nuestro suelo es prodigioso"" y, en esa línea, el limón peruano —no sólo es ingrediente fundamental del ceviche, sino también contribuye a darle un sabor muy especial al pisco sour, la chicha morada—, ""merece atención científica"". Sostuvo que los beneficios del estudio serán múltiples: el sector agrícola será atendido, la población conocerá mejor sus productos, servirá para aplicar tecnologías y la difusión de la investigación atraerá al turismo. El Ingemmet reitera su compromiso con la investigación aplicada y el desarrollo sostenible, y subraya su papel esencial en la preservación del patrimonio geológico del país. Así, el proyecto representa un paso significativo en esta dirección y promete contribuir no sólo a comprender los factores geológicos que afectan la calidad del limón, sino también a preservar y realzar este tesoro nacional.",agraria.pe/produccion,https://agraria.pe/noticias/ingemmet-estudiara-geologia-del-limon-peruano-el-proximo-ano-34195
