departamento,provincia,total_emergencias,personas_afectadas,personas_damnificadas,personas_fallecidas,cultivo_ha_afectadas,cultivo_ha_perdidas,viviendas_afectadas,viviendas_destruidas,emergencias_hidromet,peligro_bajas_temperaturas,peligro_erosion,peligro_huayco,peligro_inundacion,peligro_lluvia_intensa,peligro_marejada,peligro_sequia,peligro_tormenta_electrica,peligro_vientos_fuertes,magnitud_impacto
AMAZONAS,BAGUA,943.0,36508.0,6835.0,14.0,8879.09,3768.99,3510.0,1390.0,570,0,7,6,35,252,0,6,0,264,644.2
AMAZONAS,BONGARA,388.0,3611.0,2188.0,76.0,1465.1499999999999,717.5400000000001,942.0,345.0,204,4,6,18,12,133,0,7,0,24,214.79
AMAZONAS,CHACHAPOYAS,1028.0,24473.0,10298.0,15.0,4766.599999999999,3567.1200000000003,3910.0,1974.0,677,67,9,26,28,464,0,2,0,81,737.14
AMAZONAS,CONDORCANQUI,536.0,20638.0,8169.0,18.0,431.75,1493.35,2375.0,1619.0,308,0,3,2,56,100,0,0,0,147,343.57
AMAZONAS,LUYA,697.0,18874.0,7675.0,5.0,5309.099999999999,1990.7699999999998,3532.0,1342.0,395,33,6,7,15,285,0,5,0,44,433.78
AMAZONAS,RODRIGUEZ DE MENDOZA,423.0,6661.0,1744.0,11.0,7023.8,1173.6200000000001,1420.0,299.0,247,3,1,25,38,129,0,0,0,51,265.4
AMAZONAS,UTCUBAMBA,1039.0,21467.0,10312.0,31.0,16535.85,3792.4800000000005,4430.0,1924.0,649,4,9,13,52,344,0,6,0,221,708.39
ANCASH,AIJA,125.0,5436.0,950.0,0.0,162.13099999999997,122.55000000000001,2089.0,239.0,89,4,1,6,1,69,0,0,0,8,95.66
ANCASH,ANTONIO RAYMONDI,123.0,2941.0,313.0,0.0,193.55500000000004,105.40500000000002,656.0,89.0,91,2,5,2,4,69,0,1,0,8,95.0
ANCASH,ASUNCION,90.0,1010.0,71.0,5.0,244.43999999999997,11.409999999999998,230.0,17.0,61,4,2,0,1,48,0,4,0,2,62.12
ANCASH,BOLOGNESI,214.0,12400.0,1215.0,1.0,325.6160000000001,218.715,2880.0,289.0,163,15,0,13,3,118,0,10,0,4,177.59
ANCASH,CARHUAZ,370.0,10567.0,640.0,9.0,469.2549999999999,238.89000000000001,1467.0,159.0,301,21,3,17,5,230,0,0,2,23,313.96
ANCASH,CARLOS FERMIN FITZCARRALD,159.0,7459.0,635.0,16.0,103.49000000000001,37.77,949.0,179.0,124,7,1,3,4,99,0,3,0,7,131.84
ANCASH,CASMA,100.0,19344.0,4418.0,0.0,2617.5,630.05,5205.0,890.0,35,0,0,1,12,15,0,5,0,2,60.64
ANCASH,CORONGO,92.0,5963.0,712.0,1.0,445.2,91.75,1339.0,59.0,72,3,2,3,3,53,0,1,0,7,78.88
ANCASH,HUARAZ,1228.0,344112.0,9392.0,17.0,6521.822000000001,516.77,6529.0,1210.0,903,46,18,5,28,678,0,12,4,112,1252.28
ANCASH,HUARI,428.0,8565.0,1847.0,7.0,581.5979999999998,250.853,1509.0,457.0,322,16,8,9,6,255,0,1,2,25,333.07
