fecha_evento,avg_sentiment,n_noticias_beto,n_positivas,n_negativas,n_neutrales
2021-01,0.2932,7,2,0,5
2021-02,-0.024,6,0,1,5
2021-03,0.087,5,0,1,4
2021-04,0.0631,5,0,0,5
2021-05,0.1336,3,0,0,3
2021-06,0.2246,1,0,0,1
2021-07,-0.09,4,0,1,3
2021-08,-0.183,2,0,1,1
2021-09,-0.008,6,0,1,5
2021-10,0.0587,10,4,3,3
2021-11,-0.0307,14,1,2,11
2021-12,-0.0662,10,0,1,9
2022-01,0.0891,8,1,0,7
2022-02,0.07,7,1,2,4
2022-03,-0.0574,8,2,1,5
2022-04,-0.4377,16,0,8,8
2022-05,-0.1903,28,2,7,19
2022-06,-0.1853,27,1,9,17
2022-07,-0.1065,9,1,2,6
2022-08,0.2306,5,0,0,5
2022-09,0.022,7,1,1,5
2022-10,-0.2277,10,1,3,6
2022-11,-0.1876,11,2,4,5
2022-12,-0.2859,12,1,5,6
2023-01,-0.1696,9,0,3,6
2023-02,0.0894,10,3,1,6
2023-03,-0.315,18,0,8,10
2023-04,0.1477,7,3,1,3
2023-05,-0.2014,17,2,6,9
2023-06,-0.0956,13,3,4,6
2023-07,-0.0814,6,0,2,4
2023-08,-0.2337,16,1,6,9
2023-09,-0.2328,20,1,10,9
2023-10,-0.4386,10,0,5,5
2023-11,0.0139,12,1,3,8
2023-12,0.0412,7,1,0,6
2024-01,0.012,10,2,2,6
2024-02,0.0018,16,3,3,10
2024-03,-0.2624,8,1,4,3
2024-04,0.1894,13,1,0,12
2024-05,0.0302,9,0,1,8
2024-06,0.1569,18,6,2,10
2024-07,0.0992,8,1,0,7
2024-08,-0.578,6,0,5,1
2024-09,0.1637,10,1,1,8
2024-10,-0.4801,13,0,8,5
2024-11,-0.2004,13,2,6,5
2024-12,-0.174,11,1,4,6
2025-01,-0.25,19,1,8,10
2025-02,-0.2148,13,1,5,7
2025-03,0.0867,22,6,3,13
2025-04,-0.0146,8,2,2,4
2025-05,0.0521,13,2,1,10
2025-06,0.0886,16,2,0,14
2025-07,0.1176,11,3,2,6
2025-08,0.0482,14,1,0,13
2025-09,0.2608,15,5,1,9
2025-10,0.0853,6,1,1,4
2025-11,0.1903,11,4,2,5
2025-12,-0.0927,10,0,3,7
