Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
"TABLA 1 : CONSOLIDADO DE EMERGENCIAS, DAÑOS PERSONALES Y  MATERIALES SEGÚN DEPARTAMENTOS, PERIODO 2003-2024",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DEPARTAMENTO,EMERGENCIA,DAÑOS PERSONALES (PERSONA),,,,,DAÑOS MATERIALES,,,,,,,,,
,,,,,,, VIVIENDAS   (UNIDAD),,CENTROS DE SALUD (UNIDAD),,CULTIVO (HAS),,PUENTES (UNIDAD),,CARRETERAS (KILÓMETRO),
,,AFECT,DAMNIF,DESAP,LESION,FALLEC,AFECT,DESTR,AFECT,DESTR,AFECT,PERD,AFECT,PERD,AFECT,PERD
TOTAL,125738,20307990,2257575,430,51467,3426,2053785,377064,5372,454,3004226.353,1055491.577,8158,4046,59960.17881,14721.66464
AMAZONAS,5054,132232,47221,52,135,170,20119,8893,96,23,44411.34000000001,16503.870000000003,139,99,838.7642999999987,459.1682999999999
ANCASH,4952,552705,53580,14,1199,138,55849,9978,284,14,25257.775999999983,8514.323000000011,623,305,2217.47521,661.3980499999991
APURIMAC,13007,2721098,68050,9,254,161,35121,6053,182,6,144248.2319999998,39790.596999999994,244,232,2159.934900000002,355.0069999999995
AREQUIPA,3960,968711,48304,10,545,81,155056,7723,273,39,168955.30000000002,15869.695,400,262,6268.78764000001,1435.0479099999984
AYACUCHO,9450,731741,62442,12,2821,121,58816,13527,335,45,339587.36699999974,95510.44299999998,585,305,5211.7134300000025,1163.3822299999947
CAJAMARCA,7833,309073,50993,23,856,147,39383,11737,237,55,126974.23300000001,52201.49399999997,429,366,4892.475780000007,1226.9391499999983
CALLAO,1099,7331,7221,0,109,35,1891,1531,0,0,0,0,0,0,2.45,0
CUSCO,9530,1924990,95260,62,466,266,50236,13083,125,14,213089.9450000001,92015.14900000016,927,312,4898.728680000023,875.5791899999979
HUANCAVELICA,10624,1727550,110089,5,21779,85,144310,13679,365,15,202545.0760000005,108534.12100000016,466,199,3884.5774100000067,1095.0624499999983
HUANUCO,6249,1047600,41716,66,583,139,39259,10037,46,5,157885.63239999986,62758.10959999999,242,150,2081.144939999995,240.86530000000005
ICA,1580,467864,398332,7,2824,566,153236,79754,82,10,21352.198000000004,9277.390999999998,47,16,768.1796499999995,209.53600000000003
JUNIN,4440,544098,46294,38,486,94,27819,9583,67,13,72903.13800000002,20620.60899999998,230,101,1561.7937199999992,277.76109999999983
LA LIBERTAD,2013,421042,115140,31,544,77,95390,23130,257,9,45768.76600000001,23555.895,203,117,1442.41619,470.49577999999997
LAMBAYEQUE,1392,599756,105420,4,741,58,106984,27484,299,29,64698.02099999999,31645.066,165,92,1743.3056500000007,670.13769
LIMA METROPOLITANA,5510,48514,36796,4,687,389,10079,7053,26,0,13.610999999999999,91.861,34,12,127.99994999999998,13.229999999999999
LIMA PROVINCIAS,3254,250370,84443,2,6285,91,37618,17297,149,21,32353.076200000007,12630.405000000004,386,252,3077.2469200000046,1270.3433099999995
LORETO,4649,1259911,343822,16,439,106,279066,19752,252,13,52088.528,94896.065,41,103,168.14999999999998,32.160000000000004
MADRE DE DIOS,1059,106529,14551,2,78,61,16841,2806,49,4,8148.65,10240.31,66,44,601.6725399999999,169.67446999999999
MOQUEGUA,1569,372278,27316,2,803,24,47017,3825,220,2,71861.67200000005,2833.2070000000012,222,46,4429.988239999999,390.7231799999999
PASCO,5165,493200,12144,9,6202,63,13181,2711,40,8,68807.62000000001,32759.615999999984,186,144,975.7630399999962,216.30808000000013
PIURA,5412,1642188,225113,17,2810,151,334949,43881,1175,77,189858.38100000002,65639.54500000001,508,286,6411.937480000004,2093.2949799999997
PUNO,5796,2519431,111119,6,232,153,89256,15197,231,12,591405.8829999998,172663.681,504,231,1825.5290099999988,521.8219399999998
SAN MARTIN,5201,344200,74903,14,206,95,70989,16124,175,29,88725.54000000001,23616.720000000005,201,147,1648.251409999999,304.0586699999999
TACNA,1114,321746,11299,2,85,15,37055,2096,89,1,193474.47700000007,14364.722000000002,1152,140,1002.6295,217.52636000000007
TUMBES,1833,609076,19736,1,131,30,96132,1427,180,0,51251.270000000004,8106.777000000002,6,2,1145.6139299999995,336.50550000000004
UCAYALI,3993,184756,46271,22,167,110,38133,8703,138,10,28560.62,40851.904999999984,152,83,573.64929,15.638
Fuente : SINPAD - COEN - INDECI,,,,,,,,,,,,,,,,
Elaboración :  Sub Dirección de Aplicaciones Estadísticas - DIPPE - INDECI,,,,,,,,,,,,,,,,
