fecha_evento,departamento,provincia,produccion_t,cosecha_ha,precio_chacra_kg
2021-01,AMAZONAS,BAGUA,25.7,0.0,1.9600000000000002
2021-01,AMAZONAS,CHACHAPOYAS,23.16,0.0,1.5
2021-01,AMAZONAS,LUYA,29.98,0.0,1.3391666666666666
2021-01,AMAZONAS,UTCUBAMBA,50.8,0.0,0.8999999999999999
2021-01,ANCASH,CARHUAZ,7.0,0.0,2.4
2021-01,ANCASH,CASMA,49.0,0.0,2.1500000000000004
2021-01,ANCASH,HUARMEY,10.0,0.0,1.8
2021-01,ANCASH,HUAYLAS,20.0,0.0,1.8
2021-01,ANCASH,SANTA,17.0,0.0,1.6400000000000001
2021-01,ANCASH,YUNGAY,8.0,0.0,1.56
2021-01,APURIMAC,ABANCAY,26.0,0.0,0.95
2021-01,APURIMAC,ANDAHUAYLAS,8.55,0.0,1.65
2021-01,APURIMAC,AYMARAES,1.1,0.0,0.7999999999999999
2021-01,APURIMAC,CHINCHEROS,4.0,0.0,1.75
2021-01,APURIMAC,GRAU,2.0,0.0,0.9
2021-01,AYACUCHO,HUAMANGA,4.0,0.0,1.75
2021-01,AYACUCHO,LA MAR,4.0,0.0,1.65
2021-01,CAJAMARCA,CAJABAMBA,5.02,0.0,1.3475
2021-01,CAJAMARCA,CHOTA,14.0,0.0,0.9
2021-01,CAJAMARCA,JAEN,21.53,0.0,1.0020000000000002
2021-01,CAJAMARCA,SAN MARCOS,1.85,0.0,1.9
2021-01,CUSCO,LA CONVENCION,130.6,0.0,1.06
2021-01,HUANCAVELICA,CASTROVIRREYNA,0.2,0.0,2.0
2021-01,HUANUCO,HUAMALIES,5.2,0.0,1.2
2021-01,HUANUCO,LEONCIO PRADO,33.3,0.0,1.19
2021-01,HUANUCO,MARAÑON,2.5,0.0,0.9666666666666667
2021-01,ICA,PISCO,20.0,0.0,1.5
2021-01,JUNIN,CHANCHAMAYO,128.35,0.0,0.69
2021-01,JUNIN,HUANCAYO,11.9,0.0,0.5
2021-01,JUNIN,SATIPO,160.31,0.0,0.6470588235294118
2021-01,LA LIBERTAD,ASCOPE,2.5,0.0,0.9
2021-01,LA LIBERTAD,BOLIVAR,6.68,0.0,0.9
2021-01,LA LIBERTAD,CHEPEN,15.7,0.0,0.9
2021-01,LA LIBERTAD,GRAN CHIMU,0.54,0.0,0.89
2021-01,LA LIBERTAD,OTUZCO,1.5,0.0,0.9
2021-01,LA LIBERTAD,PATAZ,3.71,0.0,0.944
