fecha_evento,departamento,provincia,produccion_t,cosecha_ha,precio_chacra_kg,num_emergencias,total_afectados,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,n_noticias
2021-01,AMAZONAS,BAGUA,25.7,0.0,1.96,2.0,93.0,14.94,44.02,13.15,72.32,21.86,30.12,15.28,1.85,1.0
2021-02,AMAZONAS,BAGUA,38.5,0.0,1.3166666666666669,2.0,5.0,14.92,34.72,13.0,67.0,23.07,34.49,16.68,1.7,0.0
2021-03,AMAZONAS,BAGUA,37.8,0.0,1.4,13.0,2.0,14.31,105.4,13.53,77.16,21.12,30.1,15.44,1.49,3.0
2021-04,AMAZONAS,BAGUA,32.7,0.0,1.25,1.0,7.0,14.97,23.700000000000003,13.3,73.75,21.81,30.86,15.5,2.03,2.0
2021-05,AMAZONAS,BAGUA,34.25,0.0,1.4166666666666667,6.0,21.0,13.93,10.54,12.64,69.26,22.13,31.65,16.25,2.17,1.0
2021-06,AMAZONAS,BAGUA,34.8,0.0,1.5,10.0,8.0,13.07,11.1,12.09,69.13,21.48,30.8,14.9,2.13,1.0
2021-07,AMAZONAS,BAGUA,34.1,0.0,1.4666666666666668,7.0,5.0,13.92,4.65,11.26,65.78,21.31,31.41,13.34,2.61,0.0
2021-08,AMAZONAS,BAGUA,31.9,0.0,1.9833333333333332,3.0,0.0,15.29,12.09,11.5,62.15,22.53,34.25,14.93,2.31,2.0
2021-09,AMAZONAS,BAGUA,26.2,0.0,1.3,3.0,70.0,17.03,24.0,12.03,64.72,22.46,32.05,15.45,2.32,6.0
2021-10,AMAZONAS,BAGUA,29.8,0.0,1.96,6.0,37.0,17.01,48.36,13.21,67.91,23.07,33.31,16.44,1.92,6.0
2021-11,AMAZONAS,BAGUA,28.4,0.0,1.875,2.0,25.0,16.64,47.400000000000006,12.74,67.76,22.53,32.56,15.2,1.47,14.0
2021-12,AMAZONAS,BAGUA,31.8,0.0,1.98,0.0,0.0,16.09,62.62,13.32,70.0,22.72,33.09,14.89,1.69,8.0
2022-01,AMAZONAS,BAGUA,31.700000000000003,0.0,1.8666666666666665,1.0,58.0,16.94,28.83,11.73,60.92,23.1,33.6,14.6,1.9,7.0
2022-02,AMAZONAS,BAGUA,37.7,0.0,1.45,1.0,0.0,13.06,62.720000000000006,13.09,70.82,22.23,34.63,14.75,1.68,3.0
2022-03,AMAZONAS,BAGUA,38.9,0.0,1.5333333333333332,3.0,98.0,15.76,85.55999999999999,13.4,75.12,21.46,30.29,15.96,1.37,7.0
2022-04,AMAZONAS,BAGUA,36.6,0.0,1.4333333333333331,5.0,60.0,13.76,47.1,13.75,77.4,21.4,30.14,15.7,1.9,16.0
2022-05,AMAZONAS,BAGUA,34.7,0.0,1.4666666666666668,3.0,81.0,13.27,18.6,12.79,71.34,21.79,30.45,15.04,2.15,26.0
2022-06,AMAZONAS,BAGUA,34.9,0.0,2.316666666666667,2.0,13.0,14.74,30.3,11.9,71.06,20.7,30.82,13.49,1.95,22.0
2022-07,AMAZONAS,BAGUA,35.0,0.0,2.5,1.0,0.0,13.94,29.14,12.43,71.9,21.26,30.71,15.24,2.22,9.0
2022-08,AMAZONAS,BAGUA,6.5,0.0,2.5,0.0,0.0,15.65,14.88,11.28,63.15,21.93,31.63,12.31,2.46,5.0
2022-09,AMAZONAS,BAGUA,6.0,0.0,2.5,0.0,0.0,17.77,20.7,11.57,59.77,23.32,33.13,16.17,2.11,7.0
2022-10,AMAZONAS,BAGUA,6.0,0.0,2.5,1.0,0.0,18.69,16.12,11.48,58.85,23.58,36.23,15.29,1.78,8.0
2022-11,AMAZONAS,BAGUA,22.7,0.0,2.5,2.0,83.0,18.27,12.3,10.98,54.28,24.09,35.94,14.65,2.04,11.0
2022-12,AMAZONAS,BAGUA,39.2,0.0,2.5,0.0,0.0,17.64,21.39,11.51,60.07,23.04,35.21,13.17,1.82,12.0
2023-01,AMAZONAS,BAGUA,18.5,0.0,2.5,1.0,0.0,15.5,77.5,12.31,67.99,22.0,33.58,15.8,1.56,8.0
2023-02,AMAZONAS,BAGUA,38.2,0.0,2.0,0.0,0.0,11.75,41.72,13.12,71.31,22.07,31.16,16.24,1.79,4.0
2023-03,AMAZONAS,BAGUA,34.3,0.0,2.5,0.0,0.0,14.82,112.53,13.73,75.84,21.71,30.85,15.42,1.41,17.0
2023-04,AMAZONAS,BAGUA,8.0,0.0,2.5,0.0,0.0,13.91,57.9,13.83,76.5,21.67,30.1,15.84,1.56,5.0
2023-05,AMAZONAS,BAGUA,28.3,0.0,2.333333333333333,0.0,0.0,13.85,15.19,13.37,69.87,22.84,31.66,15.48,2.09,15.0
2023-06,AMAZONAS,BAGUA,21.5,0.0,2.5,0.0,0.0,13.3,4.5,12.29,67.9,21.99,30.22,14.94,2.45,9.0
2023-07,AMAZONAS,BAGUA,7.0,0.0,2.5,0.0,0.0,14.38,2.1700000000000004,12.12,63.83,22.8,32.19,16.08,2.47,5.0
