fecha,titular,cuerpo_completo,fuente,url
2025-12-17,Exportación de chía sudamericana se fortalece pese a retos climáticos: Perú es protagonista,"(Agraria.pe)Las condiciones meteorológicas han sido determinantes en el desempeño de la chía sudamericana durante 2025, según destaca Federico Montoro López, gestor comercial. En Paraguay, eventos climáticos adversos pusieron en jaque los campos antes de la cosecha, mientras que Bolivia disfrutó de un clima favorable que impulsó la productividad. Por su parte, Perú mantuvo un ritmo exportador sólido gracias a envíos constantes y la creciente diversificación de sus mercados de destino. A pesar de estos contrastes climáticos, la región logró sostener un desempeño exportador robusto, apoyada en la expansión de las áreas de cultivo, mejoras en los rendimientos y la apertura a nuevos mercados, señala el especialista. Paraguay: resiliencia y liderazgo mundialParaguay reafirmó su posición como principal exportador global de chía, abasteciendo cerca del 50% de la demanda mundial, estimada en 150.000 toneladas. Aunque las condiciones meteorológicas previas a la cosecha 2025 (junio-julio) fueron desfavorables, la expansión de la superficie cultivada permitió mantener el crecimiento de las exportaciones. Entre enero y septiembre de 2025, los despachos alcanzaron 24.277,3 toneladas, valoradas en 61,4 millones de dólares, lo que representa incrementos del 11,8% en volumen y del 34,6% en valor respecto al mismo periodo del año anterior, según datos aportados por Montoro López. Bolivia: salto en productividad y apertura a ChinaLa campaña boliviana 2025–2026 se vio favorecida por un clima benigno y notables mejoras en los rendimientos, que pasaron de 0,5 t/ha a 0,7 t/ha. La superficie cultivada se amplió de 8.000 a 13.000 hectáreas. Entre enero y septiembre, Bolivia exportó 6.355,7 toneladas de chía por un valor de 15,2 millones de dólares, lo que supone un incremento del 140% en volumen y 166,7% en valor frente al mismo lapso de 2024. Además, la apertura del mercado chino ha reconfigurado el destino de la chía boliviana, situando a China como principal comprador, destaca el vocero. Perú: consolidación y diversificación en mercadosEn el periodo enero-octubre de 2025, las exportaciones peruanas de chía sumaron 7,4 millones de dólares (FOB), un 10,6% más que en igual intervalo de 2024. Estados Unidos continuó como principal destino, aunque con una caída del 10,4% y una cuota del 12,8% (1,0 millón de dólares). Le siguieron Tailandia (10,7%, 852.100 dólares, -16%) y Francia (8%, 642.800 dólares, +44,2%). Montoro López resalta también el crecimiento en mercados como Hong Kong (+88,1%), Venezuela (+47,3%), Arabia Saudí (+183%), España (+83,8%) y Vietnam (+68,2%), reflejo de una estrategia de diversificación que fortalece el posicionamiento internacional de la chía peruana.",agraria.pe/negocios,https://agraria.pe/noticias/exportacion-de-chia-sudamericana-se-fortalece-pese-a-retos-c-41330
2025-12-04,Perú exportó 40.378 toneladas de limón fresco por US$ 36 millones,"(Agraria.pe)Entre enero y octubre de 2025, las exportaciones peruanas de limón fresco (sutil y tahití) alcanzaron las 40.378 tonelada, por lo que están cerca de romper el récord registrado en todo el 2024 cuando se despacharon 41.602 toneladas, según cifras de la Superintendencia Nacional de Aduanas y de Administración Tributaria (Sunat). En lo que va del año, según el informe público, la exportación del limón fresco ya sumó los US$ 36 millones, una cifra alentadora si consideramos que, en todo el 2024, la exportación del limón alcanzó los US$ 41 millones. DestinosLos principales destinos del limón peruano fueron: Estados Unidos, que concentró el 38.6% del total y Chile, con el 25.7%. Otros mercados importantes son Panamá con el 8.9% del total, Países Bajos 8.9%, República Dominicana 5.9%, otros 11.9%. Entre las empresas que lideran las exportaciones del limón destacan Rapel (US$ 4.2 millones), Prolan (US$ 4.1millones), Agroexportadora Sol de Olmos (US$ 3.5 millones), Agro Piura (US$ 3 millones) y Limones Piuranos (US$ 2.8 millones). También se mencionó que las principales regiones productoras de limón en nuestro país fueron: Piura, que participó con el 81.2%, Lambayeque con el 16.2%, Ica 1.8%, otros (Áncash, Lima, La Libertad y Junín) 0.8%.",agraria.pe/negocios,https://agraria.pe/noticias/peru-exporto-40-378-toneladas-de-limon-fresco-por-us-36-mill-41257
2025-12-03,Productores de Tumbes inician envíos de limón Sutil al mercado mayorista de Santa Anita,"(Agraria.pe)La agricultura familiar de Tumbes avanza hacia un modelo comercial más competitivo. La Asociación Productores de Limón Distrital de San Jacinto - Tumbes, conformada por 40 pequeños agricultores que manejan 50 hectáreas de limón Sutil, inició un esquema de provisión continua al Gran Mercado Mayorista de Santa Anita, en Lima, con envíos proyectados de hasta 8 toneladas por semana. La operación responde a una demanda creciente de limón Sutil de calidad en Lima y forma parte de un proceso de articulación comercial impulsado por el Ministerio de Desarrollo Agrario y Riego (Midagri), a través Agromercado. Los primeros despachos de 4 y de 8 toneladas cumplieron los estándares exigidos por los mayoristas: calibre extra y primera, color verde uniforme y frutos libres de cicatrices o daños mecánicos. La organización dispone de una oferta anual de 2.500 toneladas, con una productividad promedio de 50 toneladas por hectárea. Su pico de producción se concentra entre noviembre y agosto, lo que le permite sostener un abastecimiento regular durante gran parte del año. El acompañamiento de Agromercado, agente comercial del Midagri, incluye asesoría de un gestor comercial especializado en calidad, fortalecimiento organizacional, manejo de marca de agricultura familiar y cumplimiento de los requisitos fitosanitarios que exige el comercio mayorista. Este soporte ha permitido que la organización ordene su oferta, mejore su presentación comercial y logre estandarizar lotes aptos para negociación directa. Articulación oferta-demanda de pequeños productoresEl acceso al mercado de Santa Anita supone un cambio estructural para los productores de limón de San Jacinto, que por primera vez colocan su producto sin intermediarios en un mercado de alto volumen y precios más competitivos. El vínculo con los operadores limeños se concretó tras la intermediación comercial de Agromercado, que evaluó la demanda y conectó a la organización con compradores interesados en abastecimiento sostenido. La consolidación de estos envíos de limón semanales abre una ruta comercial que podría expandirse durante la campaña 2025-2026, validando la capacidad de los productores para abastecer de manera continua y con estándares uniformes.",agraria.pe/negocios,https://agraria.pe/noticias/productores-de-tumbes-inician-envios-de-limon-sutil-al-merca-41254
2025-10-29,"La Stevia impulsa el desarrollo agrícola en Lancones, Piura","(Agraria.pe)La parcela demostrativa de Stevia instalada en el distrito de Lancones, provincia de Sullana (Piiura), ha iniciado con éxito su primera cosecha desde mediados de este mes, evidenciando un sobresaliente desarrollo vegetativo y una producción estimada de 2,5 toneladas por hectárea de hojas secas durante este primer corte. Se prevé que, a partir de la segunda cosecha, la producción alcance las tres toneladas por hectárea, con ciclos vegetativos de tres meses entre cortes y una vida útil del cultivo de hasta siete años. Estos resultados prometen ingresos continuos y sostenibles para los productores que apuesten por el agronegocio de la Stevia en la zona. Juan Castillo Ocaña, jefe de Agromercado en Piura, destacó la importancia de este avance: “La Stevia, reconocida mundialmente por su alto poder endulzante natural y su creciente demanda internacional, se perfila como una alternativa productiva, adaptable, rentable y sostenible para la pequeña y mediana agricultura en Lancones, el valle del Chira y la parte baja del alto Piura. Los resultados obtenidos en la parcela piloto son alentadores y marcan el camino hacia una agricultura más innovadora y competitiva en la región”. La implementación del cultivo de Stevia en la zona responde a un enfoque de innovación productiva, incorporando sistemas de riego tecnificado de bajo consumo de agua, manejo especializado de suelos y aplicación de nutrientes mediante análisis, además de la gestión integrada de plagas. Estas prácticas permiten optimizar recursos, establecer costos de producción competitivos y garantizar una elevada calidad del producto y una productividad sostenida. Según Castillo Ocaña, “En diciembre comenzaremos la instalación de las primeras 100 hectáreas de Stevia, de un total de 300 proyectadas para trabajar de forma articulada con pequeños y medianos productores de agricultura familiar antes del año 2030, junto a la empresa Paita Ingredients”. Añadió que el proyecto se realiza mediante la colaboración entre Agromercado del Midagri, la Municipalidad provincial de Sullana, la Municipalidad distrital de Lancones, la empresa Paita Ingredients y la Asociación de productores Don Diego de Lancones. Esta propuesta de diversificación productiva, con cultivo alternativo y mercado asegurado, representa una oportunidad estratégica para el desarrollo rural, la generación de empleo y el impulso de la economía agrícola en Piura y sus provincias.",agraria.pe/negocios,https://agraria.pe/noticias/la-stevia-impulsa-el-desarrollo-agricola-en-lancones-piura-41069
2025-10-13,Murcia ratifica una reducción de cosecha de limón Fino entre un 40 y 45%,"(Agraria.pe)La organización profesional agraria ASAJA Murcia ha advertido que “el inicio de la actual campaña 2025-2026, está marcado por una reducción de cosecha de entre un 40% - 45%, según los datos facilitados por nuestros agricultores y los servicios técnicos de esta asociación. Según ha explicado el Presidente de ASAJA Murcia, Juan de Dios Hernández, “las causas de esta reducción, han sido la climatología inestable, con especial incidencia de las lluvias del pasado mes de marzo, la fuerte presencia de plagas y enfermedades (trips, araña roja, piojo...) con escasa eficacia de los tratamientos fitosanitarios por la prohibición de materias activas, así como también la mala calidad de aguas de riego en determinadas zonas y la superproducción de la campaña anterior, sin la adecuada recolección en la época óptima o no recolección”. Al mismo tiempo, Juan de Dios Hernández puntualiza que “desde ASAJA, queremos resaltar que el inicio de campaña en cuanto a precios está siendo muy buena para los agricultores productores. Asimismo, nos gustaría matizar que al tener un alto porcentaje de merma de producción pues la rentabilidad no es satisfactoria por los elevados gastos de producción”. Además, Juan de Dios ha resaltado que “la oscilación de merma de cosecha hasta el 45% va a depender de la evolución de la plaga de araña”. Fuentes de ASAJA Murcia también han señalado que “los precios de las primeras semanas de la campaña oscilan entre 0,65 €-0,70 €/kg todo limón y 0,80€- 0,85 €/Kg un corte”.",agraria.pe/negocios,https://agraria.pe/noticias/murcia-ratifica-una-reduccion-de-cosecha-de-limon-fino-entre-40986
2025-10-07,Producción peruana de arándanos derrota la estacionalidad con ayuda de la genética y la innovación tecnológica,"(Agraria.pe)El arándano se ha convertido en el rostro indiscutible de la potencia agroexportadora del Perú, un símbolo de la ingeniería agrícola y la visión empresarial que reescribió las reglas del comercio global de frutas frescas. Perú superó los US$ 2.270 millones en valor exportado de esta fruta en la última campaña (2024/2025), una cifra nunca antes alcanzada por producto agrícola alguno, lo cual no es un simple récord estadístico.  Es la manifestación tangible de una apuesta estratégica y audaz por la innovación permanente El Perú se mantiene como el principal exportador mundial de arándanos, ostentando el más alto rendimiento global con 19 toneladas por hectárea, señala artículo publicado en el Suplemento Económika del Diario El Peruano. EstacionalidadSin embargo, la perspectiva más novedosa y menos comentada de este liderazgo no reside en la cantidad máxima producida, sino en la gestión estratégica de la estacionalidad mediante la reconversión genética, una táctica interna de alta sofisticación conocida como el plan para elevar los valles de la producción. La narrativa tradicional de la agroexportación siempre se centró en la magnitud de sus picos de venta, los momentos álgidos de la cosecha. Para el arándano peruano, el grueso de las exportaciones se concentraba históricamente entre los meses de agosto y diciembre.  Esta compresión temporal generaba una vulnerabilidad gemela que amenaza la estabilidad a largo plazo. Por un lado, la concentración masiva de volumen en este periodo produce una inevitable saturación en los mercados globales (principalmente Estados Unidos, la Unión Europea y China). Esta sobreoferta obliga a los productores a competir agresivamente a la baja, presionando los precios unitarios y erosionando los márgenes de rentabilidad de toda la industria. Por otro lado, esta dependencia de un periodo corto expone al sector a un riesgo logístico y climático intolerable, ya que cualquier shock (un paro de transporte, un bloqueo de puerto o un fenómeno climático) puede diezmar la cosecha más valiosa del año. La madurez sectorial exige, por lo tanto, un cambio de enfoque estratégico. La verdadera medida de la fortaleza económica del arándano peruano no es qué tan alto se eleve su pico anual, sino qué tan estable y robusta sea la base de su producción durante los valles productivos –los meses de menor actividad, específicamente de junio-julio y enero-abril. Objetivo estratégicoEs aquí donde el concepto de “elevación de los valles” adquiere una importancia crítica. Este objetivo estratégico, respaldado por análisis del Ministerio de Desarrollo Agrario y Riego (Midagri), busca explícitamente “disminuir los picos y ampliar las exportaciones mediante  los demás meses que comprende una campaña”. La consecución de esta continuidad no es un factor meramente técnico, es el fundamento operativo que asegura la resiliencia sistémica y la sostenibilidad financiera a largo plazo. El instrumento central para lograr esta desestacionalización y, por ende, la estabilidad de precios, es la revolución varietal impulsada por la industria. La evolución en el portafolio genético de los arándanos peruanos es una de las transformaciones agrícolas más rápidas jamás vistas en el mundo. Hace menos de una década, la variedad Biloxi era el eje de la producción, representando más del 58% de las hectáreas certificadas en el 2016. Esta variedad, si bien productiva, tenía una estacionalidad muy marcada, atando al sector al periodo de pico. VariedadesEn la actualidad, la Biloxi fue estratégicamente relegada a un rol secundario (cercano al 16% de la superficie), siendo reemplazada por un mix de genéticas más sofisticadas y versátiles. La variedad Ventura ha tomado el liderazgo (cerca del 26% de la superficie), pero el cambio más profundo se manifiesta en el auge de las variedades de club licenciadas, como la Sekoya Pop (que ya supera el 14% de la superficie). La proliferación de más de 60 variedades distintas en el campo peruano, un stock genético sin parangón, no es una coincidencia botánica. Es el resultado de una decisión empresarial consciente de diversificar los ciclos fenológicos y de dispersar el riesgo productivo. Los productores peruanos invierten anualmente millones de dólares en la adquisición de licencias de estas nuevas genéticas El valor de estas variedades de club reside precisamente en su plasticidad fenológica: su capacidad de adaptación. Mediante el sofisticado manejo agronómico (ajuste de poda, riego y nutrición) y la explotación de la diversidad de microclimas a lo largo de la costa peruana, los productores pueden inducir o extender intencionalmente los periodos de floración y fructificación. Este control sobre la biología de la planta permitió al Perú estirar su ventana de suministro a las 52 semanas del año. El premio a la continuidadEsta capacidad única de abastecimiento continuo es la que otorga al Perú su principal ventaja comercial estructural frente a competidores hemisféricos como Chile, Argentina o Sudáfrica. Los grandes supermercados y cadenas minoristas internacionales, que operan bajo un modelo de logística just-in-time, no buscan proveedores estacionales; buscan socios comerciales permanentes. La capacidad del Perú para garantizar entregas de arándanos frescos de alta calidad durante los 12 meses del año permite al sector firmar contratos de suministro anuales y negociar precios premium en los periodos de baja oferta global (enero a abril, y junio a julio), compensando así la presión que sufren los precios en los meses de pico. Además, la elevación de los valles tiene un efecto directo y positivo en la optimización logística. Las navieras y los cargadores aéreos requieren volúmenes estables y predecibles para justificar rutas frecuentes y eficientes. Al suavizar la curva de exportación y evitar el shock logístico del pico, el sector asegura un flujo de carga más regular y, por ende, más seguro y más económico. Esto reduce las demoras, disminuye el riesgo de pérdida de la fruta y mantiene la calidad en el anaquel, fortaleciendo la imagen del Perú como un proveedor de calidad. Se trata de un cambio paradigmático: pasar de ser un “proveedor de cosecha masiva” a un “proveedor de solución continua”. Resiliencia climática y desafíos EstructuralesEsta diversificación genética no solo estabiliza los precios, sino que actúa como el seguro biológico más efectivo contra la principal amenaza del sector: el cambio climático y fenómenos como El Niño o La Niña. Las variedades antiguas y uniformes eran extremadamente susceptibles a las condiciones climáticas extremas. Hoy, al tener un portafolio de más de 60 variedades con diferentes umbrales de resistencia y la producción dispersa en diversas latitudes y altitudes, la afectación de una zona o una variedad específica puede ser compensada por la resiliencia de otras. La rápida capacidad de reponer volúmenes y proyectar una fuerte recuperación para la campaña 2024/2025, tras la severa crisis de El Niño en el 2023, es la prueba de fuego de esta estrategia de estabilidad vertical. Esta inversión en genética es, en esencia, una inversión en adaptación climática. Para sostener esta compleja operación de 52 semanas, el sector también necesita un apoyo institucional y de infraestructura acorde a su liderazgo. InfraestructuraLa expansión productiva, que impulsa el IBO Report 2024 y que posiciona al Perú para liderar la expansión mundial de la producción en el 2025, exige la mejora continua de la infraestructura de apoyo: desde la eficiencia en los puertos y la facilitación de trámites aduaneros hasta la inversión pública en investigación y desarrollo (I+D) que garantice el acceso a las últimas tecnologías de manejo hídrico y genético. La tarea del Estado es asegurar que la sofisticación lograda en el campo se refleje en la fluidez de la cadena de exportación. La perspectiva de futuro para el arándano peruano, por lo tanto, no se detiene en los 2,270 millones de dólares. Reside en la capacidad inigualable de garantizar el suministro estable del berry durante todos los meses del año, transformando un producto inherentemente estacional en una fuente constante de valor. Esta verticalización de la oferta es el modelo que define la nueva era del agro nacional, una donde la resiliencia y la rentabilidad definitiva se construyen en la elevación de los valles, asegurando que el liderazgo peruano en arándanos sea inmutable. Profesionalización del campoLas cifras de exportación son geniales, pero el impacto más importante del boom del arándano se está sintiendo en la gente y sus comunidades. Esta agroindustria de alta tecnología ha transformado por completo el rol del trabajador agrícola. No basta con la mano de obra estacional; la demanda real es de especialistas técnicos. Manejar los sofisticados sistemas de riego por goteo, usar tecnología de selección óptica para calibrar la fruta, y cumplir con certificaciones internacionales son tareas que exigen nuevas capacidades. Esto está obligando a nuestros jóvenes a buscar formación técnica y especializada. Al hacerlo, su valor en el mercado aumenta dramáticamente, mejorando su calidad de vida y estabilidad económica. Este salto cualitativo combate la migración rural, pues ahora existen oportunidades de carrera y salarios dignos justo donde viven. Al final, la industria del arándano no solo está vendiendo fruta: está cultivando capital humano calificado. Lo que realmente estamos construyendo es una nueva clase media rural, anclada en el conocimiento, la técnica y la innovación agrícola. Datos .A pesar de ser el líder mundial en volumen y rendimiento, la industria del arándano debe superar el desafío de la concentración de sus ventas. .El hecho de que Estados Unidos, la Unión Europea y China concentren la mayoría de las exportaciones es la principal vulnerabilidad geopolítica del sector. .La madurez exige ahora un esfuerzo enfocado en la apertura y consolidación de mercados secundarios. .Los crecimientos en destinos como Japón, Rusia y Argentina, aunque incipientes, son el termómetro del apetito global más allá de los socios tradicionales y deben convertirse en el foco de la inversión para garantizar una menor dependencia. Fuente: Andina",agraria.pe/negocios,https://agraria.pe/noticias/produccion-peruana-de-arandanos-derrota-la-estacionalidad-co-40940
2025-09-30,"Perú exportó 72.962 toneladas de espárragos por US$ 256 millones entre enero y julio de 2025, mostrando un aumento de 20% en volumen y 1% en valor","(Agraria.pe)El modelo de exportación de espárrago por parte de Perú  se distingue por su capacidad única de producir y cosechar esta hortaliza durante los doce meses del año, lo que constituye una ventaja estratégica decisiva. Mientras países europeos como España, Italia o Grecia tienen campañas limitadas a los meses de marzo a mayo, el Perú puede abastecer los mercados internacionales cuando la oferta local disminuye, aprovechando de manera inteligente las llamadas “ventanas comerciales”. Esta estrategia de contraestación ha sido clave para consolidar la presencia en Europa y otros destinos, aunque requiere un alto nivel de inteligencia comercial y un respaldo institucional sólido que permita identificar y capitalizar estas oportunidades de forma anticipada y eficaz. Actualmente, el Perú se ha consolidado como el segundo exportador mundial de espárragos, con presencia en más de 80 países y un rendimiento por hectárea destacable. Durante la campaña del 2025, los resultados de enero a agosto han reflejado un panorama complejo. Los envíos alcanzaron aproximadamente 72.962 toneladas, con un valor cercano a US$ 256 millones, lo que significó un crecimiento de 20% en volumen pero apenas 1% en valor. Esta disparidad obedece a una caída del precio promedio de alrededor de -16% en el periodo, situándose en US$ 3.5 por kilogramo. El aumento en volumen respondió a condiciones climáticas favorables que impulsaron la productividad. Pese a los precios bajos, el sector encontró cierto alivio en la reducción de la campaña europea, particularmente en España, donde las lluvias persistentes disminuyeron la producción local, lo que permitió a Perú sostener sus envíos y cubrir la demanda insatisfecha. Actualmente, el cultivo de espárragos en Perú se desarrolla en unas 28.000 hectáreas, concentradas principalmente en La Libertad, que representa alrededor del 50% del total; seguida de Lambayeque, con el 21%; e Ica, con el 20%. Aunque en Perú existe una tendencia general a reducir las áreas cultivadas debido a la caída de precios y a la búsqueda de cultivos alternativos más rentables en un contexto de cambio climático, aún hay empresas que mantienen su apuesta por el crecimiento, proyectando incorporar entre 100 y 150 hectáreas adicionales en el 2025. Se estima que, con ello, el volumen de producción para dicho año podría superar en más del 25% lo alcanzado en el 2024. El sector enfrenta desafíos significativos. El principal es la presión sobre los precios, producto de la sobreoferta en mercados donde los productores locales gozan de ventajas logísticas, sumada al incremento de competidores que ajustan severamente los márgenes de rentabilidad. A esta situación se añaden los altos costos logísticos, en particular del transporte marítimo, que en ciertos meses puede llegar a encarecer hasta en US$ 2 cada kilogramo exportado. La competencia de México en Norteamérica y de España en Europa sigue siendo un factor determinante que limita la capacidad de expansión del espárrago peruano. A pesar de ello, existen oportunidades notables que permiten vislumbrar un futuro prometedor. La adopción de tecnologías sostenibles, como el uso de energía solar en campos y plantas de procesamiento, no solo genera ahorros operativos, sino que constituye un diferenciador apreciado por los compradores internacionales. La diversificación hacia mercados emergentes —como Brasil, donde los envíos se han triplicado en algunas empresas— muestra un gran potencial. Asimismo, la apuesta por certificaciones de alto valor —como la de “Cero Residuos de Pesticidas” (ZRP)— fortalece la competitividad al abrir puertas a mercados exigentes y consolidar una imagen de calidad superior. En el escenario competitivo, México y España representan los principales retos para el Perú. El primero domina el mercado norteamericano gracias a menores costos de producción y una capacidad de suministro constante; mientras que el segundo refuerza su posicionamiento en Europa con una fuerte estrategia de promoción de sus variedades verdes y blancas, a través de campañas de gran impacto como “Te quiero Verde”. De esta manera, la industria del espárrago peruano atraviesa un punto de inflexión: logra incrementar su volumen de exportación pero enfrenta una rentabilidad limitada por la caída de precios y los altos costos de transporte. Asegurar un futuro sostenible exige fortalecer la inteligencia comercial para anticipar con precisión las ventanas de mercado y diseñar estrategias de precios más efectivas; invertir en tecnología y sostenibilidad como vía para reducir costos y diferenciar el producto; diversificar de manera decidida los destinos de exportación, especialmente en Sudamérica y Asia-Pacífico; y fomentar una mayor coordinación entre productores, exportadores y autoridades con el fin de consolidar una estrategia comercial unificada que estimule la demanda global y mantenga al espárrago peruano en un lugar protagónico dentro del exigente escenario internacional. Fuente: Fresh Fruit",agraria.pe/negocios,https://agraria.pe/noticias/peru-exporto-72-962-toneladas-de-esparragos-por-us-256-millo-40855
2025-09-30,Caída global del arroz podría impactar a productores peruanos ante mayor ingreso de grano extranjero,"(Agraria.pe)El precio del arroz alcanzó su punto más bajo desde el 2017, con una cotización de US$ 304 por tonelada. Esta baja se debe al aumento de cosechas globales y al levantamiento de restricciones de exportación en India, principal productor mundial. En el Perú, la preocupación gira en torno a las importaciones, que entre enero y agosto ya sumaron US$ 81.8 millones, con mayor volumen proveniente de Uruguay y Brasil. Aunque el 90% del arroz consumido en el país es nacional, los gremios advierten riesgos si se habilitan protocolos fitosanitarios que permitan el ingreso libre del arroz indio, altamente subsidiado. Por ahora, el mecanismo de franja de precios ha dado respiro: el saco nacional se estabilizó en S/ 120 – S/ 130, frente a los S/ 105 del importado.",agraria.pe/negocios,https://agraria.pe/noticias/caida-global-del-arroz-podria-impactar-a-productores-peruano-40854
2025-09-18,Grupo Novalty lanza la campaña “Cosechando Joyas” para destacar la excelencia agrícola del Perú,"(Agraria.pe)Grupo Novalty, empresa dedicada a la investigación y comercialización de soluciones agrícolas innovadoras y sostenibles, anunció el lanzamiento de la campaña “Cosechando Joyas”, una propuesta que resalta la calidad, el valor y la competitividad internacional de los productos agrícolas peruanos, así como el rol de la innovación sostenible en el futuro del agro. Cosechando Joyas nace como un homenaje a las manos expertas y corazones comprometidos con el campo: cosechadores, técnicos, ingenieros y organizaciones que cultivan con propósito y en armonía con la naturaleza. Cada fruto es concebido como una joya viva que encierra el alma del Perú y el legado de quienes lo hacen posible. Al respecto, Carlos Bocanegra, gerente de operaciones de Novalty, señaló: “Cosechando Joyas busca visibilizar y difundir el enorme aporte de la agroindustria peruana al desarrollo del país. Muchas veces no se dimensiona la magnitud de este sector en ciudades como Chiclayo, Piura, Trujillo e Ica, donde la agricultura ha marcado la pauta en tecnología, infraestructura y oportunidades para miles de familias”. Asimismo, agregó: “Con esta campaña queremos que la gente valore e identifique los frutos que nacen de nuestras tierras, reconocidos en el mundo por su alta calidad y por ser productos cero residuos. Al fortalecer ese orgullo e identidad cultural, reafirmamos que el Perú no solo es un gran exportador, sino también un referente en el agro”. Más allá de Cosechando Joyas, Grupo Novalty reafirma su compromiso con la sostenibilidad ambiental en todas las regiones donde opera. La empresa trabaja de manera constante en la búsqueda de soluciones agrícolas más eficientes y responsables, con el propósito de impulsar una producción que cuide tanto la tierra como a quienes la cultivan. Su compromiso no se limita al desarrollo y comercialización de productos cero residuos, sino que busca generar un impacto positivo y sostenible a largo plazo. Actualmente, la compañía cuenta con un portafolio cercano a 100 productos cero residuos, y continúa incorporando nuevas alternativas que enfrentan de manera efectiva las plagas y enfermedades que afectan los cultivos, contribuyendo al progreso de una agricultura más saludable, competitiva y sostenible. La calidad y sostenibilidad de sus productos se respaldan en alianzas con socios estratégicos que la acompañan desde hace más de 15 años, entre ellos TRICHODEX, parte del grupo español Fertiberia, y Miller Company, del grupo norteamericano Huber Company, ambos reconocidos por su innovación y tecnología en el sector agrícola. Además, Novalty cuenta con la certificación de CAAE, una de las entidades más prestigiosas del mundo en materia de producción orgánica y sostenible. Con miras al mercado interno, la empresa trabaja en ampliar su alcance hacia productos de consumo masivo con el objetivo de trasladar al consumo nacional, los mismos estándares de calidad aplicados en la exportación. “Creemos que los consumidores peruanos también merecen alimentos de la más alta calidad, libres de químicos y producidos de manera responsable”, subrayó Bocanegra. De esta manera, Novalty reafirma su visión de una agricultura que une innovación, sostenibilidad y orgullo nacional, posicionando al Perú como un referente agroindustrial de clase mundial.",agraria.pe/negocios,https://agraria.pe/noticias/grupo-novalty-lanza-la-campana-cosechando-joyas-para-destaca-40745
2025-09-16,El limón peruano: ¿se abre camino en el mundo?,"(Agraria.pe)La producción global de limón para la campaña se estima en 10.2 millones de toneladas, lo que supone una caída del 6% frente a la campaña anterior, explicada por descensos en Turquía, la Unión Europea y Argentina. México se consolida como el principal productor mundial con el 34% de la producción, seguido por Turquía (16%), la Unión Europea (15%), Argentina (14%), Estados Unidos (10%) y Sudáfrica (8%). En el caso de España, la producción se calcula en 1’260,000 toneladas, lo que representa una reducción del 21%, originada por la variabilidad productiva y las condiciones climáticas adversas, como sequías, que afectaron el desarrollo del fruto y redujeron los calibres. Pese a esta menor producción, las exportaciones españolas de limón registraron un ligero aumento en volumen (1.2%) y un crecimiento significativo en valor durante el primer semestre de la campaña productiva 2024/2025. En contraste, terceros países como Turquía y Sudáfrica incrementaron sus envíos a la Unión Europea en 5.8% y 29.4%, respectivamente; mientras que Argentina redujo drásticamente sus exportaciones en -65.4%. Para el mercado estadounidense, se proyecta una mayor disponibilidad de limón local, lo que podría limitar el espacio para las importaciones del hemisferio sur, en un contexto además marcado por la imposición de nuevos aranceles. En el caso del Perú, la campaña 2025 presenta un panorama mixto. Hasta agosto de este año, las exportaciones sumaron 78,501 toneladas, un incremento cercano al 19% en volumen respecto al mismo periodo del 2024. No obstante, pese a este mayor dinamismo en volumen, el valor exportado se redujo en 17%, alcanzando alrededor de US$ 134 millones. El precio promedio cayó en 30% frente al año previo, situándose en US$ 1.71 por kilogramo, debido principalmente a los bajos precios en Estados Unidos, donde la abundante campaña doméstica presionó el mercado. Entre las variedades que el Perú destina a la exportación destacan la lima Tahití, el limón Eureka y el limón sutil. La lima Tahití ha sido un motor clave del crecimiento, con perspectivas de superar las 50,000 toneladas en el 2025 gracias a la alta productividad en Piura y al ingreso de nuevas áreas en producción. El limón Eureka también muestra un desempeño notable, con un incremento de 143% en sus envíos hasta la semana 33 del 2025; mientras que el limón sutil retrocede alrededor de 20%. La crisis global de los cítricos provocada por fenómenos climáticos, plagas como el Huanglongbing (HLB) en Florida y Brasil, y barreras comerciales abre nuevas oportunidades para el Perú. A ello se suma la creciente preferencia mundial por productos saludables y orgánicos, que refuerza la competitividad de la oferta peruana. Si bien Estados Unidos ha sido el destino tradicional, la imposición de un arancel del 10% ha impulsado a los exportadores a diversificar mercados. Un hito relevante fue el acuerdo con Brasil en septiembre del 2024 para el ingreso de cítricos frescos peruanos —naranjas, limones, limas y toronjas— a un mercado potencial de 212 millones de consumidores, cuyo impacto aún está por medirse. Sin embargo, persisten desafíos importantes. La principal amenaza es la detección en el Perú de la subespecie pauca de la bacteriaXylella fastidiosa, que podría reducir la producción de cítricos entre 25% y 30% en las zonas más vulnerables. A nivel estructural, como ocurre con el resto de los cítricos, las nuevas inversiones se han ralentizado, lo que plantea el riesgo de un estancamiento de los volúmenes hacia el 2030. (freshfruit.pe)",agraria.pe/negocios,https://agraria.pe/noticias/el-limon-peruano-se-abre-camino-en-el-mundo-40717
