-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2025 in LST
Location: Latitude  -5.9   Longitude -78.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2112.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA        CERES SYN1deg All Sky Surface UVA Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2021,14.94,14.92,14.31,14.97,13.93,13.07,13.92,15.29,17.03,17.01,16.64,16.09,15.17
ALLSKY_SFC_SW_DWN,2022,16.94,13.06,15.76,13.76,13.27,14.74,13.94,15.65,17.77,18.69,18.27,17.64,15.81
ALLSKY_SFC_SW_DWN,2023,15.5,11.75,14.82,13.91,13.85,13.3,14.38,16.97,17.3,17.75,16.19,13.15,14.93
ALLSKY_SFC_SW_DWN,2024,12.55,15.48,14.55,14.36,14.37,14.72,13.7,16.03,15.39,17.56,17.17,15.24,15.09
ALLSKY_SFC_SW_DWN,2025,14.47,14.0,13.73,15.38,13.95,13.04,14.21,15.08,14.92,17.09,15.65,-999.0,-999.0
ALLSKY_SFC_UVA,2021,0.98,0.95,0.94,0.96,0.89,0.83,0.87,0.94,1.07,1.1,1.09,1.06,0.97
ALLSKY_SFC_UVA,2022,1.08,0.85,1.03,0.92,0.87,0.93,0.89,0.95,1.06,1.17,1.14,1.12,1.0
ALLSKY_SFC_UVA,2023,1.01,0.79,0.96,0.91,0.91,0.85,0.91,1.05,1.08,1.13,1.05,0.9,0.97
ALLSKY_SFC_UVA,2024,0.84,1.01,0.92,0.94,0.94,0.92,0.86,0.94,0.82,1.11,1.09,1.0,0.95
ALLSKY_SFC_UVA,2025,0.96,0.94,0.91,1.01,0.91,0.84,0.9,0.96,0.98,1.11,1.04,-999.0,-999.0
PRECTOTCORR,2021,0.93,1.16,2.0,0.69,0.19,1.07,0.18,0.26,0.66,0.94,0.81,1.1,0.83
PRECTOTCORR,2022,0.67,2.17,1.96,1.52,0.71,0.56,0.23,0.23,0.81,0.5,0.42,0.47,0.84
PRECTOTCORR,2023,2.73,1.86,3.48,1.07,0.45,0.04,0.06,0.08,0.15,0.81,0.89,2.27,1.16
PRECTOTCORR,2024,0.82,1.0,0.46,0.49,0.38,0.27,0.23,0.18,0.37,1.13,0.71,0.65,0.56
PRECTOTCORR,2025,1.14,1.37,1.42,1.29,0.6,1.42,0.09,0.09,0.32,3.7,4.65,0.38,1.37
RH2M,2021,77.64,73.92,79.43,77.32,71.08,73.4,68.88,66.19,68.79,72.46,72.75,75.05,73.07
RH2M,2022,68.62,76.93,79.94,79.84,75.62,72.57,70.7,65.36,65.71,67.53,62.46,66.94,70.98
RH2M,2023,74.37,79.01,81.25,79.83,75.8,72.05,68.38,64.71,62.86,68.12,70.83,78.51,72.94
RH2M,2024,74.69,72.48,69.43,74.73,70.66,68.3,67.55,65.19,63.3,67.21,65.84,73.02,69.36
RH2M,2025,74.2,77.84,78.33,77.4,73.19,74.86,67.78,66.95,68.21,77.02,82.41,69.34,73.91
T2M,2021,17.06,18.22,16.64,17.56,17.78,16.73,16.55,17.92,17.9,18.58,17.84,18.14,17.57
T2M,2022,18.05,17.31,16.69,16.91,17.32,16.34,17.19,17.61,18.45,18.45,19.15,18.14,17.64
T2M,2023,17.09,17.02,16.65,17.01,18.11,17.56,18.36,19.0,19.73,19.34,18.94,18.43,18.11
T2M,2024,18.89,19.15,19.5,19.08,19.46,18.51,17.94,18.73,19.52,19.3,18.54,18.71,18.94
T2M,2025,17.79,17.9,17.51,17.79,17.86,16.86,16.77,18.15,18.38,17.56,17.23,17.78,17.63
T2M_MAX,2021,25.96,28.36,25.98,26.93,28.12,27.57,26.77,29.87,28.93,29.99,26.35,29.7,29.99
T2M_MAX,2022,28.92,28.69,24.54,26.32,27.13,27.23,27.75,28.01,29.29,30.05,29.6,29.62,30.05
T2M_MAX,2023,27.29,24.69,25.04,25.29,27.97,27.2,27.75,30.48,30.3,29.59,30.22,26.83,30.48
T2M_MAX,2024,28.9,29.54,30.78,28.78,28.95,29.64,28.46,29.45,30.29,29.6,29.55,28.92,30.78
T2M_MAX,2025,27.33,26.78,26.44,27.13,27.69,26.81,27.59,29.07,28.83,28.18,25.38,27.49,29.07
T2M_MIN,2021,11.11,12.06,10.41,11.39,9.57,9.15,7.25,8.28,9.74,12.42,11.36,10.91,7.25
T2M_MIN,2022,9.08,10.7,10.14,10.98,10.36,7.45,8.13,7.22,9.35,9.2,10.25,9.53,7.22
T2M_MIN,2023,10.94,11.22,10.07,10.67,11.1,8.24,10.54,9.62,11.94,12.04,12.44,13.03,8.24
T2M_MIN,2024,12.12,12.02,12.87,13.53,11.46,9.4,8.71,9.95,10.52,11.3,10.95,12.7,8.71
T2M_MIN,2025,11.12,12.69,11.57,12.04,10.41,7.98,6.16,9.22,9.84,10.95,11.21,8.89,6.16
WS2M,2021,1.9,1.96,1.71,1.8,2.02,1.89,2.46,2.36,2.24,1.87,1.73,1.97,1.99
WS2M,2022,2.07,1.88,1.7,1.69,1.88,1.82,2.19,2.48,2.07,1.87,2.1,2.02,1.98
WS2M,2023,1.84,1.83,1.68,1.56,1.9,2.3,2.45,2.39,2.48,2.04,2.03,1.93,2.04
WS2M,2024,2.08,2.2,2.04,1.86,2.05,2.05,2.59,2.4,2.44,2.07,1.82,1.98,2.13
WS2M,2025,1.98,1.84,1.72,1.71,2.11,2.07,2.64,2.45,2.44,1.81,1.54,1.86,2.02
