departamento,provincia,lat,lon,fuente
AMAZONAS,BAGUA,-5.63888888888889,-78.5311111111111,provincia_exacta
AMAZONAS,CHACHAPOYAS,-6.22944444444445,-77.8727777777777,provincia_exacta
AMAZONAS,LUYA,-6.13916666666667,-77.9522222222222,provincia_exacta
AMAZONAS,UTCUBAMBA,-5.75472222222222,-78.4427777777778,provincia_exacta
ANCASH,CARHUAZ,-9.5261,-77.5289,departamento_fallback
ANCASH,CASMA,-9.47583333333334,-78.3063888888889,provincia_exacta
ANCASH,HUARMEY,-10.0688888888889,-78.1516666666667,provincia_exacta
ANCASH,HUAYLAS,-9.04861111111111,-77.8047222222222,provincia_exacta
ANCASH,SANTA,-9.04166666666667,-78.6077777777778,provincia_exacta
ANCASH,YUNGAY,-9.5261,-77.5289,departamento_fallback
APURIMAC,ABANCAY,-13.6288888888889,-72.8861111111111,provincia_exacta
APURIMAC,ANDAHUAYLAS,-13.6561111111111,-73.3897222222222,provincia_exacta
APURIMAC,AYMARAES,-14.2944444444444,-73.2447222222222,provincia_exacta
APURIMAC,CHINCHEROS,-13.5183333333333,-73.7227777777778,provincia_exacta
APURIMAC,GRAU,-14.105,-72.7077777777778,provincia_exacta
AREQUIPA,CARAVELI,-15.7725,-73.3658333333333,provincia_exacta
AREQUIPA,LA UNION,-15.2127777777778,-72.88944444444449,provincia_exacta
AYACUCHO,HUAMANGA,-13.1602777777778,-74.2252777777778,provincia_exacta
AYACUCHO,HUANTA,-12.9394444444444,-74.2480555555556,provincia_exacta
AYACUCHO,LA MAR,-13.0127777777778,-73.9811111111111,provincia_exacta
AYACUCHO,LUCANAS,-14.6941666666667,-74.1244444444444,provincia_exacta
AYACUCHO,PARINACOCHAS,-15.0169444444444,-73.7813888888889,provincia_exacta
AYACUCHO,PAUCAR DEL SARA SARA,-15.2786111111111,-73.3441666666667,provincia_exacta
AYACUCHO,SUCRE,-14.0116666666667,-73.8386111111111,provincia_exacta
AYACUCHO,VILCAS HUAMAN,-13.6525,-73.9538888888889,provincia_exacta
CAJAMARCA,CAJABAMBA,-7.62305555555555,-78.0461111111111,provincia_exacta
CAJAMARCA,CHOTA,-6.55972222222222,-78.6469444444445,provincia_exacta
CAJAMARCA,CUTERVO,-6.37722222222222,-78.8180555555555,provincia_exacta
CAJAMARCA,JAEN,-5.70888888888889,-78.8091666666667,provincia_exacta
CAJAMARCA,SAN IGNACIO,-5.14611111111111,-79.0047222222222,provincia_exacta
CAJAMARCA,SAN MARCOS,-7.33583333333333,-78.17,provincia_exacta
CAJAMARCA,SAN MIGUEL,-7.0,-78.85,provincia_exacta
CAJAMARCA,SANTA CRUZ,-6.62583333333333,-78.9441666666667,provincia_exacta
CUSCO,LA CONVENCION,-12.8627777777778,-72.6933333333333,provincia_exacta
HUANCAVELICA,ACOBAMBA,-12.8430555555556,-74.5691666666667,provincia_exacta
HUANCAVELICA,ANGARAES,-12.9827777777778,-74.7183333333333,provincia_exacta
HUANCAVELICA,CASTROVIRREYNA,-13.2833333333333,-75.3183333333333,provincia_exacta
HUANCAVELICA,CHURCAMPA,-12.7391666666667,-74.3872222222222,provincia_exacta
HUANCAVELICA,HUAYTARA,-13.6047222222222,-75.3530555555555,provincia_exacta
HUANCAVELICA,TAYACAJA,-12.3991666666667,-74.8683333333333,provincia_exacta
HUANUCO,HUACAYBAMBA,-9.03805555555555,-76.9525,provincia_exacta
HUANUCO,HUAMALIES,-9.54972222222222,-76.8186111111111,provincia_exacta
HUANUCO,HUANUCO,-9.93,-76.2397222222222,provincia_exacta
HUANUCO,LEONCIO PRADO,-9.29805555555555,-76.0005555555556,provincia_exacta
HUANUCO,MARAÑON,-9.9306,-76.2422,departamento_fallback
HUANUCO,PUERTO INCA,-9.37888888888889,-74.9658333333333,provincia_exacta
ICA,CHINCHA,-13.4183333333333,-76.1325,provincia_exacta
ICA,ICA,-14.0636111111111,-75.7291666666667,provincia_exacta
ICA,NASCA,-14.0678,-75.7286,departamento_fallback
ICA,PALPA,-14.5338888888889,-75.185,provincia_exacta
ICA,PISCO,-13.71,-76.2016666666667,provincia_exacta
JUNIN,CHANCHAMAYO,-11.0566666666667,-75.3275,provincia_exacta
JUNIN,HUANCAYO,-12.0708333333333,-75.2088888888889,provincia_exacta
JUNIN,SATIPO,-11.2538888888889,-74.6361111111111,provincia_exacta
LA LIBERTAD,ASCOPE,-8.1091,-79.0285,departamento_fallback
LA LIBERTAD,BOLIVAR,-7.15388888888889,-77.7022222222222,provincia_exacta
LA LIBERTAD,CHEPEN,-7.2275,-79.4294444444444,provincia_exacta
LA LIBERTAD,GRAN CHIMU,-7.47944444444445,-78.8197222222222,provincia_exacta
LA LIBERTAD,OTUZCO,-7.90222222222222,-78.5655555555555,provincia_exacta
LA LIBERTAD,PATAZ,-8.275,-77.2961111111111,provincia_exacta
LA LIBERTAD,SANCHEZ CARRION,-7.81111111111111,-78.0466666666667,provincia_exacta
LA LIBERTAD,VIRU,-8.41444444444445,-78.7527777777778,provincia_exacta
LAMBAYEQUE,CHICLAYO,-6.7711,-79.8441,departamento_fallback
LAMBAYEQUE,FERREÑAFE,-6.63888888888889,-79.7883333333333,provincia_exacta
LAMBAYEQUE,LAMBAYEQUE,-6.70694444444445,-79.8952777777778,provincia_exacta
LIMA,CAÑETE,-12.0464,-77.0428,departamento_fallback
LIMA,HUAURA,-11.1080555555556,-77.6102777777778,provincia_exacta
LIMA,LIMA,-12.0464,-77.0428,departamento_fallback
LORETO,ALTO AMAZONAS,-5.88416666666667,-76.1280555555555,provincia_exacta
LORETO,DATEM DEL MARAÑON,-3.7491,-73.2538,departamento_fallback
LORETO,LORETO,-4.50138888888889,-73.5694444444444,provincia_exacta
LORETO,MARISCAL RAMON CASTILLA,-3.90611111111111,-70.5169444444445,provincia_exacta
LORETO,MAYNAS,-3.74805555555556,-73.2441666666667,provincia_exacta
LORETO,PUTUMAYO,-2.44694444444444,-72.6680555555555,provincia_exacta
LORETO,REQUENA,-5.06388888888889,-73.8566666666667,provincia_exacta
LORETO,UCAYALI,-7.35055555555555,-75.0097222222222,provincia_exacta
MADRE DE DIOS,MANU,-12.8372222222222,-71.3652777777778,provincia_exacta
MADRE DE DIOS,TAHUAMANU,-10.945,-69.5766666666667,provincia_exacta
MADRE DE DIOS,TAMBOPATA,-12.5936111111111,-69.1766666666667,provincia_exacta
MOQUEGUA,GENERAL SANCHEZ CERRO,-16.6736111111111,-70.9705555555555,provincia_exacta
MOQUEGUA,MARISCAL NIETO,-17.1941666666667,-70.9333333333333,provincia_exacta
PASCO,OXAPAMPA,-10.575,-75.4047222222222,provincia_exacta
PIURA,AYABACA,-4.64055555555555,-79.7152777777778,provincia_exacta
PIURA,HUANCABAMBA,-5.23861111111111,-79.4502777777778,provincia_exacta
PIURA,MORROPON,-5.09722222222222,-80.1602777777778,provincia_exacta
PIURA,PAITA,-5.09305555555555,-81.0994444444444,provincia_exacta
PIURA,PIURA,-5.1525,-80.6577777777778,provincia_exacta
PIURA,SECHURA,-5.55722222222222,-80.8222222222222,provincia_exacta
PIURA,SULLANA,-4.89055555555555,-80.6877777777778,provincia_exacta
PIURA,TALARA,-5.1945,-80.6328,departamento_fallback
PUNO,CARABAYA,-14.0686111111111,-70.4311111111111,provincia_exacta
PUNO,SANDIA,-14.3222222222222,-69.4663888888889,provincia_exacta
SAN MARTIN,BELLAVISTA,-7.05222222222222,-76.5897222222222,provincia_exacta
SAN MARTIN,EL DORADO,-6.61388888888889,-76.6952777777778,provincia_exacta
SAN MARTIN,HUALLAGA,-6.93666666666667,-76.7722222222222,provincia_exacta
SAN MARTIN,LAMAS,-6.42388888888889,-76.5233333333333,provincia_exacta
SAN MARTIN,MARISCAL CACERES,-7.17666666666667,-76.7238888888889,provincia_exacta
SAN MARTIN,MOYOBAMBA,-6.03472222222222,-76.9741666666667,provincia_exacta
SAN MARTIN,PICOTA,-6.92,-76.3302777777778,provincia_exacta
SAN MARTIN,RIOJA,-6.0625,-77.1683333333333,provincia_exacta
SAN MARTIN,SAN MARTIN,-6.48944444444445,-76.3602777777778,provincia_exacta
SAN MARTIN,TOCACHE,-8.18833333333333,-76.5094444444444,provincia_exacta
TUMBES,CONTRALMIRANTE VILLAR,-3.6775,-80.6680555555555,provincia_exacta
TUMBES,TUMBES,-3.57111111111111,-80.4591666666667,provincia_exacta
TUMBES,ZARUMILLA,-3.50111111111111,-80.2755555555555,provincia_exacta
UCAYALI,ATALAYA,-10.7297222222222,-73.7552777777778,provincia_exacta
UCAYALI,CORONEL PORTILLO,-8.36805555555556,-74.5433333333333,provincia_exacta
UCAYALI,PADRE ABAD,-9.03361111111111,-75.5075,provincia_exacta
UCAYALI,PURUS,-9.77222222222223,-70.7097222222222,provincia_exacta
