anio,mes,departamento,provincia,num_emergencias,personas_afectadas,personas_damnificadas,total_afectados,hectareas_cultivo_perdidas,hectareas_cultivo_afectadas
2016,1,AMAZONAS,BAGUA,2,86,96,182,0.0,0.0
2016,2,AMAZONAS,BAGUA,1,0,0,0,0.0,0.0
2016,3,AMAZONAS,BAGUA,2,0,0,0,0.0,0.0
2016,4,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2016,5,AMAZONAS,BAGUA,2,5,22,27,0.0,0.0
2016,6,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2016,7,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2016,8,AMAZONAS,BAGUA,2,0,94,94,0.0,0.0
2016,9,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2016,10,AMAZONAS,BAGUA,4,0,32,32,0.0,0.0
2016,11,AMAZONAS,BAGUA,1,0,10,10,0.0,0.0
2016,12,AMAZONAS,BAGUA,4,0,0,0,1636.0,4456.0
2017,1,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2017,2,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2017,3,AMAZONAS,BAGUA,2,3,4,7,0.0,0.0
2017,4,AMAZONAS,BAGUA,6,15,5,20,0.0,0.0
2017,5,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2017,6,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2017,7,AMAZONAS,BAGUA,1,0,4,4,0.0,0.0
2017,8,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2017,9,AMAZONAS,BAGUA,8,13,9,22,0.0,0.0
2017,10,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2017,11,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2017,12,AMAZONAS,BAGUA,3,86,102,188,0.0,0.0
2018,1,AMAZONAS,BAGUA,1,0,0,0,0.0,0.0
2018,2,AMAZONAS,BAGUA,2,42,111,153,0.0,0.0
2018,3,AMAZONAS,BAGUA,1,0,18,18,0.0,0.0
2018,4,AMAZONAS,BAGUA,1,0,2,2,0.0,0.0
2018,5,AMAZONAS,BAGUA,4,126,14,140,0.0,0.0
2018,6,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
2018,7,AMAZONAS,BAGUA,1,0,6,6,0.0,0.0
2018,8,AMAZONAS,BAGUA,0,0,0,0,0.0,0.0
