año,mes,produccion_t_nacional,precio_chacra_kg_nacional,n_provincias_reportando
2016,01,242.400,0.756464,15
2016,02,335.228,0.721431,17
2016,03,426.750,0.665954,19
2016,04,545.599,0.604319,20
2016,05,608.389,0.592168,18
2016,06,598.620,0.622157,16
2016,07,462.117,0.616900,15
2016,08,350.018,0.706923,15
2016,09,334.550,0.665706,12
2016,10,259.930,0.688262,12
2016,11,195.550,0.836988,12
2016,12,135.700,0.903147,13
2017,01,256.050,0.791365,14
2017,02,361.820,0.699472,16
2017,03,426.879,0.614323,18
2017,04,585.089,0.547464,19
2017,05,571.519,0.551473,15
2017,06,630.728,0.571873,16
2017,07,477.570,0.601782,16
2017,08,390.490,0.655081,17
2017,09,386.060,0.764573,14
2017,10,334.080,0.709767,13
2017,11,254.950,0.753354,12
2017,12,199.100,0.870341,14
2018,01,279.000,0.742254,16
2018,02,379.910,0.663245,17
2018,03,468.430,0.517637,17
2018,04,616.059,0.489825,20
2018,05,608.329,0.475949,18
2018,06,605.630,0.445971,16
2018,07,490.710,0.497766,16
2018,08,414.129,0.483987,17
2018,09,390.439,0.488905,15
2018,10,311.920,0.514183,12
2018,11,192.500,0.678494,8
2018,12,164.900,0.824955,11
2019,01,265.800,0.721114,15
2019,02,370.130,0.635512,16
2019,03,520.220,0.579556,18
2019,04,614.860,0.507563,20
2019,05,581.640,0.518290,18
2019,06,523.800,0.557356,17
2019,07,455.300,0.620070,17
2019,08,362.820,0.602093,16
2019,09,333.009,0.616681,13
2019,10,300.250,0.647667,12
2019,11,181.500,0.813664,9
2019,12,166.300,0.847480,11
2020,01,250.050,0.749746,15
2020,02,361.089,0.667954,17
2020,03,529.730,0.657646,18
2020,04,560.589,0.604845,18
2020,05,573.589,0.591632,17
2020,06,541.168,0.623202,17
2020,07,426.159,0.624401,15
2020,08,334.819,0.667444,14
2020,09,322.480,0.620643,13
2020,10,291.559,0.682223,12
2020,11,182.220,0.761470,9
2020,12,180.680,0.891986,10
2021,01,266.330,0.728046,15
2021,02,379.860,0.677531,17
2021,03,542.569,0.638026,18
2021,04,600.290,0.614901,19
2021,05,596.040,0.625679,18
2021,06,537.030,0.597972,15
2021,07,413.230,0.581416,14
2021,08,353.319,0.634988,12
2021,09,333.160,0.679398,13
2021,10,283.819,0.704070,11
2021,11,213.940,0.778784,9
2021,12,205.930,0.833783,10
2022,01,299.570,0.765541,15
2022,02,408.910,0.739977,17
2022,03,574.790,0.715455,16
2022,04,636.740,0.735096,19
2022,05,619.300,0.748896,18
2022,06,552.960,0.715693,15
2022,07,420.220,0.713897,14
2022,08,349.540,0.706832,14
2022,09,301.210,0.728216,13
2022,10,284.080,0.727432,12
2022,11,205.780,0.797600,10
2022,12,223.690,0.901109,10
2023,01,296.480,0.794848,15
2023,02,420.539,0.708602,17
2023,03,577.940,0.667238,17
2023,04,663.150,0.653122,19
2023,05,602.790,0.691231,16
2023,06,567.439,0.671246,13
2023,07,414.809,0.696350,12
2023,08,328.310,0.713332,12
2023,09,315.879,0.690677,11
2023,10,259.770,0.708504,11
2023,11,206.380,0.802674,10
2023,12,224.300,0.902853,11
2024,01,322.410,0.778034,16
2024,02,444.660,0.751959,17
2024,03,626.200,0.698946,17
2024,04,675.798,0.688442,18
2024,05,650.529,0.689431,16
2024,06,616.329,0.667907,13
2024,07,454.679,0.727478,12
2024,08,382.099,0.764093,12
2024,09,439.590,0.751623,11
2024,10,294.140,0.790324,10
2024,11,229.400,0.839276,10
2024,12,243.650,0.893249,11
2025,01,337.940,0.875309,16
2025,02,474.590,0.811800,17
2025,03,658.420,0.764973,17
2025,04,730.430,0.749662,19
2025,05,684.600,0.719588,17
2025,06,655.170,0.676205,15
2025,07,495.030,0.715652,13
2025,08,415.320,0.759872,13
2025,09,374.230,0.730512,12
2025,10,302.720,0.743361,11
2025,11,228.650,0.800842,10
2025,12,256.500,0.899103,12
