año,mes,departamento,provincia,produccion_t,verde_actual_ha,precio_chacra_kg,precio_es_fallback
2016,01,AMAZONAS,BAGUA,3.800,12.000,1.000000,0
2016,01,AMAZONAS,LUYA,2.900,5.600,1.000000,0
2016,01,AMAZONAS,UTCUBAMBA,19.500,42.000,0.600000,0
2016,01,ANCASH,CARHUAZ,11.000,7.000,1.520000,0
2016,01,ANCASH,CASMA,7.000,3.000,1.500000,0
2016,01,ANCASH,HUARMEY,5.000,2.000,1.600000,0
2016,01,ANCASH,SANTA,10.000,8.000,1.650000,0
2016,01,ANCASH,YUNGAY,4.000,8.000,1.680000,0
2016,01,CAJAMARCA,CHOTA,12.000,32.000,1.000000,0
2016,01,CAJAMARCA,CUTERVO,0.000,14.000,0.000000,1
2016,01,CAJAMARCA,JAEN,0.000,23.000,0.000000,1
2016,01,CAJAMARCA,SAN IGNACIO,0.000,28.000,0.000000,1
2016,01,HUANCAVELICA,CHURCAMPA,0.000,3.000,0.000000,1
2016,01,HUANCAVELICA,TAYACAJA,0.000,6.000,0.000000,1
2016,01,JUNIN,CHANCHAMAYO,102.600,257.000,0.680994,0
2016,01,JUNIN,SATIPO,34.600,119.000,0.380549,0
2016,01,LAMBAYEQUE,CHICLAYO,0.000,7.000,0.000000,1
2016,01,LAMBAYEQUE,FERREÑAFE,0.000,2.000,0.000000,1
2016,01,LORETO,ALTO AMAZONAS,1.000,1.000,0.390000,0
2016,01,LORETO,MAYNAS,23.000,32.000,0.366957,0
2016,01,LORETO,REQUENA,5.000,36.000,0.412000,0
2016,01,PIURA,AYABACA,0.000,2.000,0.000000,1
2016,01,PIURA,HUANCABAMBA,0.000,5.000,0.000000,1
2016,01,SAN MARTIN,LAMAS,0.000,16.300,0.000000,1
2016,01,SAN MARTIN,MARISCAL CACERES,1.000,3.500,0.600000,0
2016,01,SAN MARTIN,SAN MARTIN,0.000,2.700,0.000000,1
2016,02,AMAZONAS,BAGUA,3.500,12.000,1.000000,0
2016,02,AMAZONAS,LUYA,1.700,5.600,1.000000,0
2016,02,AMAZONAS,UTCUBAMBA,26.300,42.000,0.567681,0
2016,02,ANCASH,CARHUAZ,12.000,7.000,1.600000,0
2016,02,ANCASH,CASMA,8.000,3.000,1.600000,0
2016,02,ANCASH,HUARMEY,6.000,2.000,1.620000,0
2016,02,ANCASH,SANTA,12.000,8.000,1.650000,0
2016,02,ANCASH,YUNGAY,4.000,8.000,1.700000,0
2016,02,CAJAMARCA,CHOTA,10.000,27.000,0.800000,0
2016,02,CAJAMARCA,CUTERVO,0.000,14.000,0.000000,1
2016,02,CAJAMARCA,JAEN,0.828,23.000,0.600000,0
2016,02,CAJAMARCA,SAN IGNACIO,3.400,28.000,0.450000,0
2016,02,HUANCAVELICA,CHURCAMPA,0.000,3.000,0.000000,1
2016,02,HUANCAVELICA,TAYACAJA,0.000,6.000,0.000000,1
2016,02,JUNIN,CHANCHAMAYO,132.800,257.000,0.779367,0
2016,02,JUNIN,SATIPO,81.700,120.000,0.330196,0
2016,02,LAMBAYEQUE,CHICLAYO,0.000,7.000,0.000000,1
2016,02,LAMBAYEQUE,FERREÑAFE,0.000,2.000,0.000000,1
2016,02,LORETO,ALTO AMAZONAS,1.000,1.000,0.390000,0
2016,02,LORETO,MAYNAS,23.000,32.000,0.366087,0
2016,02,LORETO,REQUENA,7.000,36.000,0.411429,0
2016,02,PIURA,AYABACA,0.000,2.000,0.000000,1
2016,02,PIURA,HUANCABAMBA,0.000,5.000,0.000000,1
2016,02,SAN MARTIN,LAMAS,0.000,16.300,0.000000,1
2016,02,SAN MARTIN,MARISCAL CACERES,2.000,3.500,0.600000,0
2016,02,SAN MARTIN,SAN MARTIN,0.000,2.700,0.000000,1
2016,03,AMAZONAS,BAGUA,4.000,12.000,1.000000,0
2016,03,AMAZONAS,LUYA,1.600,5.600,1.000000,0
2016,03,AMAZONAS,UTCUBAMBA,21.000,42.000,0.600000,0
2016,03,ANCASH,CARHUAZ,12.000,7.000,1.700000,0
2016,03,ANCASH,CASMA,8.000,3.000,1.700000,0
2016,03,ANCASH,HUARMEY,5.000,2.000,1.500000,0
2016,03,ANCASH,SANTA,12.000,8.000,1.650000,0
2016,03,ANCASH,YUNGAY,5.000,8.000,1.800000,0
2016,03,CAJAMARCA,CHOTA,15.000,27.000,0.900000,0
2016,03,CAJAMARCA,CUTERVO,6.000,14.000,0.800000,0
2016,03,CAJAMARCA,JAEN,9.150,23.000,0.600000,0
2016,03,CAJAMARCA,SAN IGNACIO,18.050,28.000,0.486870,0
2016,03,HUANCAVELICA,CHURCAMPA,0.000,3.000,0.000000,1
2016,03,HUANCAVELICA,TAYACAJA,1.000,6.000,0.500000,0
2016,03,JUNIN,CHANCHAMAYO,150.650,257.000,0.722350,0
2016,03,JUNIN,SATIPO,130.300,121.000,0.327828,0
2016,03,LAMBAYEQUE,CHICLAYO,0.000,7.000,0.000000,1
