año,mes,produccion_t_nacional,precio_chacra_kg_nacional,n_provincias_reportando
2016,01,21087.238,0.671928,70
2016,02,26667.599,0.613540,73
2016,03,29075.854,0.606226,82
2016,04,29557.581,0.850034,89
2016,05,26308.062,0.694837,93
2016,06,19563.201,0.870956,90
2016,07,19004.429,0.807669,87
2016,08,20689.074,1.042621,78
2016,09,17913.787,1.184285,73
2016,10,20532.169,0.785739,62
2016,11,21609.215,0.684983,63
2016,12,16714.142,0.793470,62
2017,01,18255.799,0.751700,70
2017,02,19416.765,0.766588,74
2017,03,16544.593,0.786984,81
2017,04,19077.381,0.708256,89
2017,05,18000.841,0.627203,93
2017,06,15051.842,0.881232,91
2017,07,8452.017,2.393017,84
2017,08,4951.691,4.889718,76
2017,09,4851.691,4.054880,72
2017,10,6007.346,2.777446,61
2017,11,10117.125,1.306112,63
2017,12,22283.255,0.589344,63
2018,01,28808.101,0.501774,72
2018,02,29894.931,0.656243,75
2018,03,28418.099,0.707008,80
2018,04,26397.253,0.674604,88
2018,05,25443.757,0.543181,94
2018,06,24513.487,0.539869,90
2018,07,17554.156,0.842294,86
2018,08,17956.934,0.892150,78
2018,09,13247.538,1.047858,73
2018,10,12761.937,1.205817,60
2018,11,13177.120,1.763596,62
2018,12,19931.351,0.909035,63
2019,01,27584.049,0.575167,71
2019,02,30881.452,0.676281,73
2019,03,33259.076,0.713093,82
2019,04,31419.438,0.690938,89
2019,05,31249.520,0.647441,93
2019,06,27073.952,0.643754,91
2019,07,18112.825,0.899805,87
2019,08,12990.996,1.503360,79
2019,09,16132.229,1.047230,71
2019,10,17684.539,0.870299,63
2019,11,21926.512,1.385853,62
2019,12,22144.552,0.880316,61
2020,01,24717.906,0.744805,74
2020,02,28863.261,0.611889,74
2020,03,31899.279,0.855404,84
2020,04,31472.253,0.762802,88
2020,05,35010.363,0.639604,91
2020,06,26948.624,0.770617,89
2020,07,15387.758,1.128537,89
2020,08,14809.668,1.427085,77
2020,09,18989.793,1.478577,72
2020,10,20949.041,1.410027,65
2020,11,22423.059,1.450999,67
2020,12,30110.522,1.209980,64
2021,01,30304.336,0.911629,75
2021,02,33363.635,0.794262,76
2021,03,35179.894,0.922755,88
2021,04,32291.676,0.886234,90
2021,05,29436.556,0.818905,93
2021,06,23089.077,0.959011,92
2021,07,22952.692,1.095860,88
2021,08,22838.582,1.047198,77
2021,09,23106.276,1.349473,70
2021,10,27096.294,1.190732,66
2021,11,27012.657,1.206462,66
2021,12,29093.796,1.031999,64
2022,01,39496.045,1.095152,76
2022,02,41867.719,1.011694,76
2022,03,41704.528,1.072537,90
2022,04,36706.031,1.124351,92
2022,05,35495.464,0.991134,92
2022,06,26355.126,1.039799,91
2022,07,23436.447,1.197001,89
2022,08,22935.999,1.480193,78
2022,09,23892.230,1.792062,68
2022,10,20729.512,2.901305,63
2022,11,24026.967,2.348948,64
2022,12,30051.027,2.063850,65
2023,01,31563.267,1.420764,71
2023,02,36552.314,1.534725,76
2023,03,30900.933,1.552490,85
2023,04,25524.136,1.137538,89
2023,05,22049.585,1.229499,92
2023,06,19365.541,1.470719,91
2023,07,15716.459,2.116019,88
2023,08,9388.396,4.456282,76
2023,09,13778.474,7.209685,67
2023,10,17002.337,2.609586,60
2023,11,24158.060,1.123938,64
2023,12,30799.027,0.985850,64
2024,01,36531.883,1.032721,73
2024,02,43992.447,0.870948,77
2024,03,44161.843,0.971507,87
2024,04,43176.231,0.951362,90
2024,05,39200.488,1.028712,94
2024,06,30460.085,1.135323,93
2024,07,24936.369,1.256905,89
2024,08,25176.553,1.208139,79
2024,09,24222.320,1.331986,69
2024,10,23811.288,1.532875,63
2024,11,24280.547,1.528684,65
2024,12,26555.144,1.423271,64
2025,01,38325.524,0.892767,72
2025,02,40092.876,1.110693,77
2025,03,42119.744,1.280049,85
2025,04,41178.818,1.266887,89
2025,05,37552.279,1.015319,92
2025,06,34500.774,0.996830,92
2025,07,23417.927,1.560815,91
2025,08,18017.175,2.924529,77
2025,09,18304.830,2.978348,71
2025,10,21230.276,2.480949,65
2025,11,33357.521,1.569976,65
2025,12,34801.521,1.090885,60
