año,mes,departamento,provincia,produccion_t,verde_actual_ha,precio_chacra_kg,precio_es_fallback
2016,01,AMAZONAS,BAGUA,12.100,22.000,1.466942,0
2016,01,AMAZONAS,CHACHAPOYAS,21.000,43.000,0.829524,0
2016,01,AMAZONAS,LUYA,24.200,30.000,2.109091,0
2016,01,AMAZONAS,UTCUBAMBA,443.000,572.000,0.600000,0
2016,01,ANCASH,CASMA,33.000,53.000,1.615152,0
2016,01,ANCASH,HUARMEY,5.000,4.000,1.600000,0
2016,01,ANCASH,HUAYLAS,14.000,12.000,1.725000,0
2016,01,ANCASH,SANTA,6.000,5.000,1.700000,0
2016,01,APURIMAC,ABANCAY,15.000,29.500,1.073333,0
2016,01,APURIMAC,ANDAHUAYLAS,9.200,17.500,0.559783,0
2016,01,APURIMAC,AYMARAES,1.500,7.000,0.700000,0
2016,01,APURIMAC,CHINCHEROS,6.550,27.500,1.346183,0
2016,01,APURIMAC,GRAU,1.000,2.000,0.800000,0
2016,01,AREQUIPA,CARAVELI,0.000,3.000,0.000000,1
2016,01,AREQUIPA,LA UNION,0.000,10.000,0.000000,1
2016,01,AYACUCHO,HUAMANGA,2.670,4.330,2.000000,0
2016,01,AYACUCHO,HUANTA,0.000,10.000,0.000000,1
2016,01,AYACUCHO,LA MAR,5.000,19.500,1.000000,0
2016,01,AYACUCHO,LUCANAS,0.000,30.000,0.000000,1
2016,01,AYACUCHO,PARINACOCHAS,0.000,2.000,0.000000,1
2016,01,AYACUCHO,PAUCAR DEL SARA SARA,0.000,9.000,0.000000,1
2016,01,AYACUCHO,SUCRE,0.000,5.000,0.000000,1
2016,01,AYACUCHO,VILCAS HUAMAN,3.000,8.500,1.750000,0
2016,01,CAJAMARCA,CAJABAMBA,11.300,16.000,1.081416,0
2016,01,CAJAMARCA,CHOTA,3.000,32.250,1.200000,0
2016,01,CAJAMARCA,CUTERVO,0.000,4.000,0.000000,1
2016,01,CAJAMARCA,JAEN,18.329,16.000,0.737362,0
2016,01,CAJAMARCA,SAN IGNACIO,0.000,10.000,0.000000,1
2016,01,CAJAMARCA,SAN MARCOS,1.850,10.000,1.600000,0
2016,01,CAJAMARCA,SAN MIGUEL,25.000,30.000,2.000000,0
2016,01,CAJAMARCA,SANTA CRUZ,0.000,5.500,0.000000,1
2016,01,CUSCO,LA CONVENCION,298.000,205.000,0.766980,0
2016,01,HUANCAVELICA,ACOBAMBA,0.000,4.000,0.000000,1
2016,01,HUANCAVELICA,ANGARAES,0.000,3.000,0.000000,1
2016,01,HUANCAVELICA,CASTROVIRREYNA,0.000,1.000,0.000000,1
2016,01,HUANCAVELICA,CHURCAMPA,0.000,7.000,0.000000,1
2016,01,HUANCAVELICA,HUAYTARA,0.000,3.000,0.000000,1
2016,01,HUANCAVELICA,TAYACAJA,0.000,16.000,0.000000,1
2016,01,HUANUCO,HUACAYBAMBA,0.000,9.000,0.000000,1
2016,01,HUANUCO,HUAMALIES,4.200,18.000,0.980000,0
2016,01,HUANUCO,HUANUCO,1.000,13.250,1.200000,0
2016,01,HUANUCO,LEONCIO PRADO,32.000,103.000,0.710625,0
2016,01,HUANUCO,MARAÑON,1.800,4.000,0.930000,0
2016,01,HUANUCO,PUERTO INCA,0.000,16.000,0.000000,1
2016,01,ICA,ICA,0.000,20.720,0.000000,1
2016,01,ICA,NASCA,0.000,12.590,0.000000,1
2016,01,ICA,PALPA,0.000,2.859,0.000000,1
2016,01,ICA,PISCO,0.000,7.400,0.000000,1
2016,01,JUNIN,CHANCHAMAYO,102.550,197.000,0.850000,0
2016,01,JUNIN,HUANCAYO,8.000,16.000,0.900000,0
2016,01,JUNIN,SATIPO,104.000,162.000,0.683942,0
2016,01,LA LIBERTAD,BOLIVAR,16.650,15.500,0.780000,0
2016,01,LA LIBERTAD,GRAN CHIMU,0.630,2.500,0.780000,0
2016,01,LA LIBERTAD,OTUZCO,1.840,2.000,0.780000,0
2016,01,LA LIBERTAD,PATAZ,4.529,11.250,0.761365,0
2016,01,LA LIBERTAD,SANCHEZ CARRION,10.860,11.500,0.751869,0
2016,01,LA LIBERTAD,VIRU,1.150,1.000,0.740000,0
2016,01,LAMBAYEQUE,CHICLAYO,0.000,8.000,0.000000,1
2016,01,LAMBAYEQUE,FERREÑAFE,0.000,14.000,0.000000,1
2016,01,LAMBAYEQUE,LAMBAYEQUE,3061.000,1992.000,0.439938,0
2016,01,LIMA,CAÑETE,0.000,3.000,0.000000,1
2016,01,LIMA,HUAURA,0.000,6.000,0.000000,1
2016,01,LORETO,ALTO AMAZONAS,317.000,479.000,0.890410,0
2016,01,LORETO,DATEM DEL MARAÑON,30.000,50.000,0.919000,0
2016,01,LORETO,LORETO,62.000,92.000,0.938226,0
2016,01,LORETO,MARISCAL RAMON CASTILLA,30.000,69.000,0.886667,0
2016,01,LORETO,MAYNAS,505.000,932.000,0.970970,0
2016,01,LORETO,PUTUMAYO,8.000,26.000,0.932500,0
2016,01,LORETO,REQUENA,34.000,63.000,0.925000,0
2016,01,LORETO,UCAYALI,95.000,183.000,0.953579,0
2016,01,MADRE DE DIOS,MANU,4.200,19.250,1.961905,0
2016,01,MADRE DE DIOS,TAHUAMANU,4.600,17.000,2.163043,0
2016,01,MADRE DE DIOS,TAMBOPATA,16.900,75.500,2.464497,0
2016,01,MOQUEGUA,GENERAL SANCHEZ CERRO,0.000,3.000,0.000000,1
2016,01,MOQUEGUA,MARISCAL NIETO,0.000,5.000,0.000000,1
2016,01,PASCO,OXAPAMPA,0.000,10.000,0.000000,1
2016,01,PIURA,AYABACA,25.000,86.000,0.932000,0
2016,01,PIURA,HUANCABAMBA,28.000,44.000,0.700000,0
2016,01,PIURA,MORROPON,1314.000,1465.000,0.420776,0
2016,01,PIURA,PAITA,0.000,4.000,0.000000,1
2016,01,PIURA,PIURA,5651.000,10570.000,0.463316,0
2016,01,PIURA,SECHURA,2.000,3.000,1.400000,0
2016,01,PIURA,SULLANA,4422.000,4108.000,0.598507,0
2016,01,PUNO,CARABAYA,0.000,1.000,0.000000,1
2016,01,PUNO,SANDIA,0.000,5.000,0.000000,1
2016,01,SAN MARTIN,BELLAVISTA,17.000,31.400,0.905882,0
2016,01,SAN MARTIN,EL DORADO,8.500,13.000,0.394118,0
2016,01,SAN MARTIN,HUALLAGA,42.000,45.500,1.185714,0
2016,01,SAN MARTIN,LAMAS,23.000,51.000,0.460870,0
2016,01,SAN MARTIN,MARISCAL CACERES,21.000,30.000,1.041667,0
2016,01,SAN MARTIN,MOYOBAMBA,5.500,92.000,1.054545,0
2016,01,SAN MARTIN,PICOTA,34.000,82.500,1.255882,0
2016,01,SAN MARTIN,RIOJA,7.000,20.000,0.728571,0
2016,01,SAN MARTIN,SAN MARTIN,20.200,87.000,0.619802,0
2016,01,SAN MARTIN,TOCACHE,9.000,22.000,0.500000,0
2016,01,TUMBES,CONTRALMIRANTE VILLAR,16.800,114.000,0.800000,0
2016,01,TUMBES,TUMBES,540.340,270.700,0.870437,0
2016,01,TUMBES,ZARUMILLA,2729.240,1343.600,1.411142,0
2016,01,UCAYALI,ATALAYA,132.020,181.000,0.499745,0
2016,01,UCAYALI,CORONEL PORTILLO,463.150,1421.140,0.445904,0
2016,01,UCAYALI,PADRE ABAD,145.580,381.990,0.459397,0
2016,01,UCAYALI,PURUS,14.300,31.000,0.700000,0
2016,02,AMAZONAS,BAGUA,11.750,22.000,1.467660,0
2016,02,AMAZONAS,CHACHAPOYAS,22.000,43.000,0.832727,0
2016,02,AMAZONAS,LUYA,15.000,30.000,2.000000,0
2016,02,AMAZONAS,UTCUBAMBA,497.000,572.000,0.405231,0
2016,02,ANCASH,CASMA,36.000,53.000,1.610000,0
2016,02,ANCASH,HUARMEY,6.000,4.000,1.640000,0
2016,02,ANCASH,HUAYLAS,14.000,12.000,1.614286,0
2016,02,ANCASH,SANTA,7.000,5.000,1.800000,0
2016,02,APURIMAC,ABANCAY,3.000,29.500,0.700000,0
2016,02,APURIMAC,ANDAHUAYLAS,20.190,17.500,0.830708,0
2016,02,APURIMAC,AYMARAES,1.500,7.000,0.700000,0
2016,02,APURIMAC,CHINCHEROS,23.450,28.500,0.863518,0
2016,02,APURIMAC,GRAU,0.000,2.000,0.000000,1
2016,02,AREQUIPA,CARAVELI,0.000,3.000,0.000000,1
2016,02,AREQUIPA,LA UNION,0.000,10.000,0.000000,1
2016,02,AYACUCHO,HUAMANGA,3.200,5.000,2.000000,0
2016,02,AYACUCHO,HUANTA,1.000,10.000,1.200000,0
2016,02,AYACUCHO,LA MAR,9.000,19.500,0.966667,0
2016,02,AYACUCHO,LUCANAS,0.000,16.000,0.000000,1
2016,02,AYACUCHO,PARINACOCHAS,0.000,2.000,0.000000,1
2016,02,AYACUCHO,PAUCAR DEL SARA SARA,3.000,9.000,1.266667,0
2016,02,AYACUCHO,SUCRE,0.000,18.500,0.000000,1
2016,02,AYACUCHO,VILCAS HUAMAN,4.000,8.500,1.562500,0
2016,02,CAJAMARCA,CAJABAMBA,11.000,16.000,1.180909,0
2016,02,CAJAMARCA,CHOTA,8.000,32.250,1.125000,0
2016,02,CAJAMARCA,CUTERVO,0.000,4.000,0.000000,1
2016,02,CAJAMARCA,JAEN,14.849,16.000,0.718582,0
2016,02,CAJAMARCA,SAN IGNACIO,0.000,10.000,0.000000,1
2016,02,CAJAMARCA,SAN MARCOS,7.150,10.000,1.600000,0
2016,02,CAJAMARCA,SAN MIGUEL,20.000,30.000,2.000000,0
2016,02,CAJAMARCA,SANTA CRUZ,0.000,5.500,0.000000,1
2016,02,CUSCO,LA CONVENCION,352.000,205.000,0.984773,0
2016,02,HUANCAVELICA,ACOBAMBA,0.000,4.000,0.000000,1
2016,02,HUANCAVELICA,ANGARAES,0.000,3.000,0.000000,1
2016,02,HUANCAVELICA,CASTROVIRREYNA,0.000,1.000,0.000000,1
2016,02,HUANCAVELICA,CHURCAMPA,0.000,7.000,0.000000,1
2016,02,HUANCAVELICA,HUAYTARA,0.000,2.000,0.000000,1
2016,02,HUANCAVELICA,TAYACAJA,0.000,16.000,0.000000,1
2016,02,HUANUCO,HUACAYBAMBA,0.000,9.000,0.000000,1
2016,02,HUANUCO,HUAMALIES,11.000,18.000,0.850000,0
2016,02,HUANUCO,HUANUCO,1.400,13.250,0.900000,0
2016,02,HUANUCO,LEONCIO PRADO,55.000,103.000,0.635273,0
2016,02,HUANUCO,MARAÑON,2.000,4.000,0.900000,0
2016,02,HUANUCO,PUERTO INCA,0.000,16.000,0.000000,1
2016,02,ICA,ICA,28.500,20.720,1.800000,0
2016,02,ICA,NASCA,0.000,12.590,0.000000,1
2016,02,ICA,PALPA,0.000,2.859,0.000000,1
2016,02,ICA,PISCO,0.000,7.400,0.000000,1
2016,02,JUNIN,CHANCHAMAYO,130.000,197.000,0.900000,0
2016,02,JUNIN,HUANCAYO,5.600,16.000,0.850000,0
2016,02,JUNIN,SATIPO,157.400,164.000,0.627046,0
2016,02,LA LIBERTAD,BOLIVAR,19.110,15.500,0.750000,0
2016,02,LA LIBERTAD,GRAN CHIMU,0.700,2.500,0.750000,0
2016,02,LA LIBERTAD,OTUZCO,1.000,2.000,0.780000,0
2016,02,LA LIBERTAD,PATAZ,10.848,11.250,0.747548,0
2016,02,LA LIBERTAD,SANCHEZ CARRION,8.570,11.500,0.739382,0
2016,02,LA LIBERTAD,VIRU,1.290,1.000,0.750000,0
2016,02,LAMBAYEQUE,CHICLAYO,0.000,8.000,0.000000,1
2016,02,LAMBAYEQUE,FERREÑAFE,0.000,14.000,0.000000,1
2016,02,LAMBAYEQUE,LAMBAYEQUE,4151.000,2029.000,0.370670,0
2016,02,LIMA,CAÑETE,0.000,3.000,0.000000,1
2016,02,LIMA,HUAURA,0.000,6.000,0.000000,1
2016,02,LORETO,ALTO AMAZONAS,271.000,479.000,0.902804,0
2016,02,LORETO,DATEM DEL MARAÑON,38.000,50.000,0.900263,0
2016,02,LORETO,LORETO,59.000,92.000,0.928814,0
2016,02,LORETO,MARISCAL RAMON CASTILLA,39.000,69.000,0.905641,0
2016,02,LORETO,MAYNAS,479.000,932.000,0.957766,0
2016,02,LORETO,PUTUMAYO,10.000,26.000,0.914000,0
2016,02,LORETO,REQUENA,37.000,63.000,0.924324,0
2016,02,LORETO,UCAYALI,105.000,183.000,0.954286,0
2016,02,MADRE DE DIOS,MANU,3.400,19.250,1.735294,0
2016,02,MADRE DE DIOS,TAHUAMANU,3.100,17.000,2.000000,0
2016,02,MADRE DE DIOS,TAMBOPATA,21.300,75.500,2.406103,0
2016,02,MOQUEGUA,GENERAL SANCHEZ CERRO,5.059,3.000,2.000000,0
2016,02,MOQUEGUA,MARISCAL NIETO,0.000,5.000,0.000000,1
2016,02,PASCO,OXAPAMPA,0.000,10.000,0.000000,1
2016,02,PIURA,AYABACA,37.000,86.000,0.902703,0
2016,02,PIURA,HUANCABAMBA,17.000,44.000,0.700000,0
2016,02,PIURA,MORROPON,1314.000,1465.000,0.401522,0
2016,02,PIURA,PAITA,0.000,4.000,0.000000,1
2016,02,PIURA,PIURA,8532.000,10570.000,0.433474,0
2016,02,PIURA,SECHURA,2.000,3.000,1.200000,0
2016,02,PIURA,SULLANA,4531.000,4108.000,0.896248,0
2016,02,PUNO,CARABAYA,0.000,1.000,0.000000,1
2016,02,PUNO,SANDIA,0.000,5.000,0.000000,1
2016,02,SAN MARTIN,BELLAVISTA,33.000,31.400,0.893939,0
2016,02,SAN MARTIN,EL DORADO,14.000,13.000,0.360714,0
2016,02,SAN MARTIN,HUALLAGA,34.000,45.500,1.285294,0
2016,02,SAN MARTIN,LAMAS,38.500,58.000,0.448052,0
2016,02,SAN MARTIN,MARISCAL CACERES,32.000,30.000,0.959375,0
