año,mes,avg_sentiment,n_noticias
2016,1,0.0,0
2016,2,0.0,0
2016,3,-0.159,6
2016,4,0.047,30
2016,5,0.0621,24
2016,6,-0.1251,21
2016,7,0.2295,14
2016,8,0.2344,20
2016,9,0.1723,31
2016,10,0.2301,26
2016,11,0.086,25
2016,12,-0.2092,22
2017,1,-0.2464,16
2017,2,-0.0659,36
2017,3,-0.1232,42
2017,4,-0.2017,33
2017,5,0.1306,53
2017,6,0.1383,29
2017,7,0.0226,31
2017,8,0.0736,34
2017,9,0.0713,39
2017,10,0.0624,29
2017,11,0.1775,31
2017,12,0.1317,31
2018,1,0.2431,31
2018,2,0.0165,26
2018,3,0.0505,25
2018,4,0.0877,23
2018,5,0.0227,26
2018,6,0.0866,18
2018,7,-0.1665,17
2018,8,0.1084,26
2018,9,0.2745,20
2018,10,0.2326,22
2018,11,0.1474,20
2018,12,0.1796,20
2019,1,0.0846,33
2019,2,0.0034,31
2019,3,0.0198,23
2019,4,0.2209,22
2019,5,0.0958,23
2019,6,0.119,9
2019,7,0.2805,15
2019,8,0.3547,14
2019,9,0.2335,15
2019,10,0.2691,12
2019,11,0.0087,8
2019,12,0.0861,18
2020,1,0.1904,17
2020,2,0.1154,15
2020,3,0.0337,15
2020,4,-0.0336,12
2020,5,0.1358,16
2020,6,0.0552,19
2020,7,0.177,13
2020,8,-0.0208,6
2020,9,0.0121,13
2020,10,0.2178,9
2020,11,0.1826,11
2020,12,0.182,15
2021,1,0.0698,13
2021,2,0.0593,19
2021,3,0.1328,21
2021,4,0.136,19
2021,5,0.0378,23
2021,6,0.2552,23
2021,7,0.2466,11
2021,8,0.2062,19
2021,9,0.0838,21
2021,10,0.1508,11
2021,11,0.104,14
2021,12,0.2177,16
2022,1,0.1485,18
2022,2,0.1212,17
2022,3,0.0169,26
2022,4,0.1029,11
2022,5,0.0422,24
2022,6,0.0514,18
2022,7,0.15,16
2022,8,0.0539,16
2022,9,0.193,23
2022,10,-0.0394,18
2022,11,0.1874,21
2022,12,-0.2075,20
2023,1,0.0819,27
2023,2,0.085,33
2023,3,-0.0202,41
2023,4,0.1596,28
2023,5,0.0875,27
2023,6,0.0473,21
2023,7,-0.0548,27
2023,8,-0.0313,32
2023,9,-0.1336,29
2023,10,0.1047,19
2023,11,-0.0729,26
2023,12,-0.0558,28
2024,1,-0.2176,42
2024,2,-0.0091,35
2024,3,0.1739,30
2024,4,0.1449,33
2024,5,0.1368,36
2024,6,0.1853,30
2024,7,0.2425,29
2024,8,0.0643,37
2024,9,0.1815,32
2024,10,0.0639,28
2024,11,0.1562,44
2024,12,0.0627,40
2025,1,0.0014,41
2025,2,0.1534,39
2025,3,0.2221,42
2025,4,0.0438,34
2025,5,0.2216,28
2025,6,0.2106,48
2025,7,0.1837,42
2025,8,0.2639,40
2025,9,0.2483,29
2025,10,0.2223,21
2025,11,0.1775,16
2025,12,0.1823,30
