fecha,titular,score,label,año,mes
2016-12-28,Cooperación alemana reafirmó su compromiso de apoyar al sector agrario peruano,0.5272,POS,2016,12
2016-12-28,“Hemos heredado una grave crisis de diálogo entre el Estado y el sector agrario”,-0.9479,NEG,2016,12
2016-12-23,Bonistas aprueban transferencia de Odebrecht a Brookfield y Suez en Proyecto Olmos,-0.0833,NEU,2016,12
2016-12-22,Piura Agro Export: Sobreproducción de mangos inestabiliza el mercado,-0.7616,NEG,2016,12
2016-12-22,PromPerú lanzará tres marcas sectoriales el 2017,0.4757,POS,2016,12
2016-12-22,Cultivos de uvas instalados en zonas eriazas de Piura consumen más agua que el arroz,-0.2514,NEU,2016,12
2016-12-20,Falta agilidad en temas logísticos para responder a cambios de la demanda,-0.9055,NEG,2016,12
2016-12-19,Productores de banano orgánico en el  valle del Chira dejan de exportar más de US$ 275 mil a la semana por menor producción,-0.6949,NEG,2016,12
2016-12-15,Piura pierde cerca de S/ 200 millones por falta de lluvias,-0.7181,NEG,2016,12
2016-12-15,Exportación peruana de espárragos frescos supera los US$ 355 millones a noviembre de este año,0.2024,NEU,2016,12
2016-12-13,El Tambo: arroceros solo han sembrado 500 hectáreas de un total de 6 mil por falta de lluvias,-0.8356,NEG,2016,12
2016-12-13,“Siembra de arroz en campaña grande en Piura comienza en enero y febrero porque ahí se presenta el  periodo lluvioso actualmente”,-0.0718,NEU,2016,12
2016-12-12,Cerca de 400 alcaldes de la Macro Región Norte participan en IV Premio Nacional Alcalde Productivo,0.4079,NEU,2016,12
2016-12-12,Serfor decomisa más de 900 kilos de carbón vegetal de algarrobo de procedencia ilegal,-0.1081,NEU,2016,12
2016-12-12,Agroexportaciones crecieron 9% en primeros diez meses del 2016,0.2442,NEU,2016,12
2016-12-09,Agroexportaciones crecieron 8% durante enero – octubre del presente año,0.158,NEU,2016,12
2016-12-09,Agro en Piura perdería este mes alrededor de S/ 67 millones por falta de agua,-0.9111,NEG,2016,12
2016-12-07,Argentina: se quedan dos millones de kilos de arándanos sin cosechar,-0.8388,NEG,2016,12
2016-12-07,Envíos aéreos de mangos crecerán en la presente campaña,0.389,NEU,2016,12
2016-12-02,La palta congelada es una buena alternativa para consumidores que están conociendo el fruto,0.9187,POS,2016,12
2016-12-02,Crisis hídrica podría acabar con el 15% del mango piurano,-0.79,NEG,2016,12
2016-12-02,Apega propone la creación de un Sistema Nacional de Distribución de Alimentos,-0.0079,NEU,2016,12
2016-11-30,Empresa española colaborará en la formación de agrónomos en nuestro país,0.2846,NEU,2016,11
2016-11-30,"Desde del censo agropecuario del 2012, la mirada del Minagri está en el desarrollo de la sierra y la selva",0.0813,NEU,2016,11
2016-11-29,Brookfield y Suez son los nuevos accionistas del proyecto Olmos tras la venta de Odebrecht,0.0593,NEU,2016,11
2016-11-25,Agroexportación en contenedores refrigerados crece un 38% en puerto del Callao,0.0593,NEU,2016,11
2016-11-25,Ica: índices de competitividad mejoraron a través del sector agroexportador,0.5957,POS,2016,11
2016-11-25,Piden que programa Agrojoven incluya a jóvenes rurales no universitarios,-0.1187,NEU,2016,11
2016-11-24,"Aguaymanto, dátiles, granadillas y sandía entre los llamados a ser próximos protagonistas de la agroexportación peruana",0.5035,POS,2016,11
2016-11-23,¿Cuáles son los productos de agroexportación que ya despachamos a China?,0.5515,POS,2016,11
2016-11-21,Sector agrario captaría US$ 2.000 millones como resultado de APEC,0.2444,NEU,2016,11
2016-11-18,Cultivos de cerezas deben instalarse en zonas de inviernos fríos y primaveras cálidas y sin lluvias,0.1279,NEU,2016,11
2016-11-17,Exportación de arándanos y sus derivados crece 162%,0.117,NEU,2016,11
2016-11-17,“Tenemos que desplazar cada vez más la oferta de países competidores  en función a costos”,-0.0917,NEU,2016,11
2016-11-15,"“Si se destraban los proyectos de irrigación, inversión en el sector ascendería a US$ 3.300 millones al 2023”",0.5404,POS,2016,11
2016-11-14,“Meta es otorgar créditos al 90% de pequeños agricultores al 2021”,0.0228,NEU,2016,11
