año,mes,produccion_t_dulce,precio_chacra_kg_dulce,n_provincias_dulce,T2M,T2M_MAX,WS2M,PRECTOTCORR,RH2M,num_emergencias,personas_afectadas,personas_damnificadas,total_afectados,hectareas_cultivo_perdidas,hectareas_cultivo_afectadas,avg_sentiment,n_noticias
2016,1,242.4,0.756464,15,26.2558,35.3764,2.9665,0.8882,67.2071,0.7463,75.3756,16.0345,91.41,1.1992,4.954,0.0,0
2016,2,335.228,0.721431,17,26.8087,35.4469,2.7413,2.5765,69.8196,3.9111,1964.8194,74.2994,2039.1188,3.9843,101.863,0.0,0
2016,3,426.75,0.665954,19,26.7437,35.7455,2.2531,2.3753,70.044,7.6282,14609.0565,560.1963,15169.2528,8.9187,2026.9863,-0.159,6
2016,4,545.599,0.604319,20,26.2342,34.8904,2.6056,1.0543,66.8462,0.74,408.7909,9.8242,418.6151,44.5413,1.1935,0.047,30
2016,5,608.389,0.592168,18,25.1599,34.3807,2.7183,0.5953,66.0302,0.5752,21.8909,0.4145,22.3055,0.1056,0.473,0.0621,24
2016,6,598.62,0.622157,16,23.4248,33.4924,2.8594,0.5111,67.308,0.7328,250.0837,5.6405,255.7242,0.7151,46.1379,-0.1251,21
2016,7,462.117,0.6169,15,22.9467,32.3046,3.0358,0.4239,67.5634,0.3061,335.6664,18.7754,354.4418,9.5131,1.3906,0.2295,14
2016,8,350.018,0.706923,15,23.2524,34.3649,3.5172,0.2278,65.8259,0.8391,36.7793,4.9614,41.7407,0.0031,0.0126,0.2344,20
2016,9,334.55,0.665706,12,23.4028,32.6829,3.3397,0.4145,65.1972,0.796,32.7043,47.8994,80.6037,1.2911,6.7912,0.1723,31
2016,10,259.93,0.688262,12,23.2427,32.6143,3.3734,0.5305,65.4168,0.248,7.9304,8.6107,16.5411,0.3455,1.1662,0.2301,26
2016,11,195.55,0.836988,12,23.5337,33.0876,3.2128,0.3788,64.1295,0.4288,12.6091,5.3401,17.9491,1.6485,8.1092,0.086,25
2016,12,135.7,0.903147,13,24.1751,32.2621,2.684,1.1153,68.7376,0.6854,11.3636,0.1336,11.4973,23.3692,75.6365,-0.2092,22
2017,1,256.05,0.791365,14,24.6897,32.5976,2.3372,2.7222,72.2593,6.0209,4847.1916,688.0986,5535.2901,4.7961,119.9579,-0.2464,16
2017,2,361.82,0.699472,16,25.0457,32.3224,1.9881,4.845,77.2941,11.3496,11067.5352,2066.8343,13134.3695,30.0043,148.4996,-0.0659,36
2017,3,426.879,0.614323,18,24.038,30.6888,1.6156,9.3278,83.619,23.6466,23036.6438,12554.5537,35591.1975,565.6003,757.1534,-0.1232,42
2017,4,585.089,0.547464,19,23.9028,30.6549,1.8596,1.8769,79.8815,4.2346,3188.2552,1045.8432,4234.0984,57.5299,146.7784,-0.2017,33
2017,5,571.519,0.551473,15,22.9788,30.2694,2.0664,1.6234,78.4184,1.6771,2992.2277,281.8171,3274.0449,16.8853,46.6127,0.1306,53
2017,6,630.728,0.571873,16,22.0033,29.7583,2.2538,0.7465,75.5595,0.3585,184.9746,0.6565,185.6311,0.3031,7.1361,0.1383,29
2017,7,477.57,0.601782,16,21.4864,30.4145,2.1915,0.2963,71.2018,0.2959,157.7373,2.1448,159.8821,0.2876,1.5427,0.0226,31
2017,8,390.49,0.655081,17,22.4229,30.977,2.3254,0.9433,69.5746,0.8733,38.6361,5.5674,44.2034,0.006,1.1157,0.0736,34
2017,9,386.06,0.764573,14,22.9105,31.756,2.3958,1.2326,68.8421,1.0645,13.921,14.6773,28.5983,0.0161,0.0,0.0713,39
2017,10,334.08,0.709767,13,23.3569,33.0211,2.6512,1.7425,67.7124,0.5441,9.1888,0.5653,9.7541,0.1232,0.639,0.0624,29
2017,11,254.95,0.753354,12,22.86,31.5176,2.9118,1.3805,67.0757,0.4223,44.7121,6.1054,50.8175,1.3223,1.45,0.1775,31
2017,12,199.1,0.870341,14,24.5563,33.3237,3.2082,0.7379,66.3501,0.9222,4.3275,0.8365,5.1639,0.0045,0.1031,0.1317,31
2018,1,279.0,0.742254,16,24.9544,33.594,2.9257,1.1665,67.2758,1.8444,16.13,1.7891,17.9191,0.0458,0.507,0.2431,31
2018,2,379.91,0.663245,17,25.4728,33.6579,2.5311,1.6645,67.6484,0.9578,126.8546,0.778,127.6326,0.1524,0.3862,0.0165,26
2018,3,468.43,0.517637,17,25.6954,33.7685,2.4261,1.2699,64.8946,1.2695,114.2091,11.1819,125.3911,0.192,1.0797,0.0505,25
2018,4,616.059,0.489825,20,25.0707,33.7793,2.3145,1.1365,66.3508,1.8446,42.5359,16.1887,58.7246,0.7238,5.3682,0.0877,23
2018,5,608.329,0.475949,18,23.9298,33.1527,2.7212,1.0015,67.7404,0.8467,65.5851,6.2721,71.8572,0.0038,0.0888,0.0227,26
2018,6,605.63,0.445971,16,22.7343,33.2683,3.1216,0.3385,67.7617,1.8549,205.8731,1.1271,207.0003,0.0405,10.9343,0.0866,18
2018,7,490.71,0.497766,16,22.2228,31.347,2.9825,0.3265,68.2315,0.7114,14.6702,0.2311,14.9013,0.0002,0.3733,-0.1665,17
2018,8,414.129,0.483987,17,22.4702,32.4514,3.3685,0.4671,67.7177,0.9886,32.2944,2.1435,34.4378,0.0,0.0,0.1084,26
2018,9,390.439,0.488905,15,22.6372,31.4186,3.2025,0.3576,67.3154,0.8524,7.8289,0.4009,8.2298,0.0,0.0,0.2745,20
2018,10,311.92,0.514183,12,22.4726,30.9453,2.9708,0.8461,68.9323,1.5115,25.1047,2.1896,27.2943,0.0,0.2985,0.2326,22
2018,11,192.5,0.678494,8,23.8453,31.9931,3.022,0.969,69.3637,2.0104,4.0543,7.1158,11.17,0.7087,1.4799,0.1474,20
2018,12,164.9,0.824955,11,24.9305,33.6341,3.215,1.3039,67.0463,0.6223,19.6226,6.4886,26.1112,0.6659,1.0616,0.1796,20
2019,1,265.8,0.721114,15,25.8352,34.4905,2.9961,1.4839,68.2354,0.5585,8.2667,2.5434,10.8101,0.0092,0.0086,0.0846,33
2019,2,370.13,0.635512,16,26.294,34.6195,2.5229,2.3302,72.6669,6.418,1143.5575,170.6675,1314.225,90.3254,98.8837,0.0034,31
2019,3,520.22,0.579556,18,26.4735,34.872,2.329,2.4591,69.3445,2.145,175.1396,18.6497,193.7893,0.951,3.7003,0.0198,23
2019,4,614.86,0.507563,20,25.9378,34.3417,2.6206,1.2787,66.3842,0.7941,86.5542,1.8758,88.4299,1.0177,17.9495,0.2209,22
2019,5,581.64,0.51829,18,25.2422,33.8728,2.9748,0.5134,66.8091,0.172,20.6181,0.1632,20.7813,7.4286,6.1339,0.0958,23
2019,6,523.8,0.557356,17,24.1973,36.4891,3.3805,0.4598,65.5441,0.1572,6.913,0.1167,7.0297,0.1679,0.2319,0.119,9
