año,mes,produccion_t_sutil,precio_chacra_kg_sutil,n_provincias_sutil,T2M,T2M_MAX,WS2M,PRECTOTCORR,RH2M,num_emergencias,personas_afectadas,personas_damnificadas,total_afectados,hectareas_cultivo_perdidas,hectareas_cultivo_afectadas,avg_sentiment,n_noticias,mes_sin,mes_cos,produccion_t_sutil_lag1,produccion_t_sutil_lag3,produccion_t_sutil_lag6,T2M_lag1,T2M_lag3,T2M_lag6,WS2M_lag1,WS2M_lag3,WS2M_lag6,PRECTOTCORR_lag1,PRECTOTCORR_lag3,PRECTOTCORR_lag6
2016,7,19004.429,0.807669,87,22.9467,32.3046,3.0358,0.4239,67.5634,0.3061,335.6664,18.7754,354.4418,9.5131,1.3906,0.2295,14,-0.4999999999999997,-0.8660254037844388,19563.201,29557.581,21087.238,23.4248,26.2342,26.2558,2.8594,2.6056,2.9665,0.5111,1.0543,0.8882
2016,8,20689.074,1.042621,78,23.2524,34.3649,3.5172,0.2278,65.8259,0.8391,36.7793,4.9614,41.7407,0.0031,0.0126,0.2344,20,-0.8660254037844385,-0.5000000000000004,19004.429,26308.062,26667.599,22.9467,25.1599,26.8087,3.0358,2.7183,2.7413,0.4239,0.5953,2.5765
2016,9,17913.787,1.184285,73,23.4028,32.6829,3.3397,0.4145,65.1972,0.796,32.7043,47.8994,80.6037,1.2911,6.7912,0.1723,31,-1.0,-1.8369701987210297e-16,20689.074,19563.201,29075.854,23.2524,23.4248,26.7437,3.5172,2.8594,2.2531,0.2278,0.5111,2.3753
2016,10,20532.169,0.785739,62,23.2427,32.6143,3.3734,0.5305,65.4168,0.248,7.9304,8.6107,16.5411,0.3455,1.1662,0.2301,26,-0.8660254037844386,0.5000000000000001,17913.787,19004.429,29557.581,23.4028,22.9467,26.2342,3.3397,3.0358,2.6056,0.4145,0.4239,1.0543
2016,11,21609.215,0.684983,63,23.5337,33.0876,3.2128,0.3788,64.1295,0.4288,12.6091,5.3401,17.9491,1.6485,8.1092,0.086,25,-0.5000000000000004,0.8660254037844384,20532.169,20689.074,26308.062,23.2427,23.2524,25.1599,3.3734,3.5172,2.7183,0.5305,0.2278,0.5953
2016,12,16714.142,0.79347,62,24.1751,32.2621,2.684,1.1153,68.7376,0.6854,11.3636,0.1336,11.4973,23.3692,75.6365,-0.2092,22,-2.4492935982947064e-16,1.0,21609.215,17913.787,19563.201,23.5337,23.4028,23.4248,3.2128,3.3397,2.8594,0.3788,0.4145,0.5111
2017,1,18255.799,0.7517,70,24.6897,32.5976,2.3372,2.7222,72.2593,6.0209,4847.1916,688.0986,5535.2901,4.7961,119.9579,-0.2464,16,0.49999999999999994,0.8660254037844387,16714.142,20532.169,19004.429,24.1751,23.2427,22.9467,2.684,3.3734,3.0358,1.1153,0.5305,0.4239
2017,2,19416.765,0.766588,74,25.0457,32.3224,1.9881,4.845,77.2941,11.3496,11067.5352,2066.8343,13134.3695,30.0043,148.4996,-0.0659,36,0.8660254037844386,0.5000000000000001,18255.799,21609.215,20689.074,24.6897,23.5337,23.2524,2.3372,3.2128,3.5172,2.7222,0.3788,0.2278
2017,3,16544.593,0.786984,81,24.038,30.6888,1.6156,9.3278,83.619,23.6466,23036.6438,12554.5537,35591.1975,565.6003,757.1534,-0.1232,42,1.0,6.123233995736766e-17,19416.765,16714.142,17913.787,25.0457,24.1751,23.4028,1.9881,2.684,3.3397,4.845,1.1153,0.4145
2017,4,19077.381,0.708256,89,23.9028,30.6549,1.8596,1.8769,79.8815,4.2346,3188.2552,1045.8432,4234.0984,57.5299,146.7784,-0.2017,33,0.8660254037844387,-0.4999999999999998,16544.593,18255.799,20532.169,24.038,24.6897,23.2427,1.6156,2.3372,3.3734,9.3278,2.7222,0.5305
2017,5,18000.841,0.627203,93,22.9788,30.2694,2.0664,1.6234,78.4184,1.6771,2992.2277,281.8171,3274.0449,16.8853,46.6127,0.1306,53,0.49999999999999994,-0.8660254037844387,19077.381,19416.765,21609.215,23.9028,25.0457,23.5337,1.8596,1.9881,3.2128,1.8769,4.845,0.3788
2017,6,15051.842,0.881232,91,22.0033,29.7583,2.2538,0.7465,75.5595,0.3585,184.9746,0.6565,185.6311,0.3031,7.1361,0.1383,29,1.2246467991473532e-16,-1.0,18000.841,16544.593,16714.142,22.9788,24.038,24.1751,2.0664,1.6156,2.684,1.6234,9.3278,1.1153
2017,7,8452.017,2.393017,84,21.4864,30.4145,2.1915,0.2963,71.2018,0.2959,157.7373,2.1448,159.8821,0.2876,1.5427,0.0226,31,-0.4999999999999997,-0.8660254037844388,15051.842,19077.381,18255.799,22.0033,23.9028,24.6897,2.2538,1.8596,2.3372,0.7465,1.8769,2.7222
2017,8,4951.691,4.889718,76,22.4229,30.977,2.3254,0.9433,69.5746,0.8733,38.6361,5.5674,44.2034,0.006,1.1157,0.0736,34,-0.8660254037844385,-0.5000000000000004,8452.017,18000.841,19416.765,21.4864,22.9788,25.0457,2.1915,2.0664,1.9881,0.2963,1.6234,4.845
2017,9,4851.691,4.05488,72,22.9105,31.756,2.3958,1.2326,68.8421,1.0645,13.921,14.6773,28.5983,0.0161,0.0,0.0713,39,-1.0,-1.8369701987210297e-16,4951.691,15051.842,16544.593,22.4229,22.0033,24.038,2.3254,2.2538,1.6156,0.9433,0.7465,9.3278
2017,10,6007.346,2.777446,61,23.3569,33.0211,2.6512,1.7425,67.7124,0.5441,9.1888,0.5653,9.7541,0.1232,0.639,0.0624,29,-0.8660254037844386,0.5000000000000001,4851.691,8452.017,19077.381,22.9105,21.4864,23.9028,2.3958,2.1915,1.8596,1.2326,0.2963,1.8769
2017,11,10117.125,1.306112,63,22.86,31.5176,2.9118,1.3805,67.0757,0.4223,44.7121,6.1054,50.8175,1.3223,1.45,0.1775,31,-0.5000000000000004,0.8660254037844384,6007.346,4951.691,18000.841,23.3569,22.4229,22.9788,2.6512,2.3254,2.0664,1.7425,0.9433,1.6234
2017,12,22283.255,0.589344,63,24.5563,33.3237,3.2082,0.7379,66.3501,0.9222,4.3275,0.8365,5.1639,0.0045,0.1031,0.1317,31,-2.4492935982947064e-16,1.0,10117.125,4851.691,15051.842,22.86,22.9105,22.0033,2.9118,2.3958,2.2538,1.3805,1.2326,0.7465
2018,1,28808.101,0.501774,72,24.9544,33.594,2.9257,1.1665,67.2758,1.8444,16.13,1.7891,17.9191,0.0458,0.507,0.2431,31,0.49999999999999994,0.8660254037844387,22283.255,6007.346,8452.017,24.5563,23.3569,21.4864,3.2082,2.6512,2.1915,0.7379,1.7425,0.2963
2018,2,29894.931,0.656243,75,25.4728,33.6579,2.5311,1.6645,67.6484,0.9578,126.8546,0.778,127.6326,0.1524,0.3862,0.0165,26,0.8660254037844386,0.5000000000000001,28808.101,10117.125,4951.691,24.9544,22.86,22.4229,2.9257,2.9118,2.3254,1.1665,1.3805,0.9433
2018,3,28418.099,0.707008,80,25.6954,33.7685,2.4261,1.2699,64.8946,1.2695,114.2091,11.1819,125.3911,0.192,1.0797,0.0505,25,1.0,6.123233995736766e-17,29894.931,22283.255,4851.691,25.4728,24.5563,22.9105,2.5311,3.2082,2.3958,1.6645,0.7379,1.2326
2018,4,26397.253,0.674604,88,25.0707,33.7793,2.3145,1.1365,66.3508,1.8446,42.5359,16.1887,58.7246,0.7238,5.3682,0.0877,23,0.8660254037844387,-0.4999999999999998,28418.099,28808.101,6007.346,25.6954,24.9544,23.3569,2.4261,2.9257,2.6512,1.2699,1.1665,1.7425
2018,5,25443.757,0.543181,94,23.9298,33.1527,2.7212,1.0015,67.7404,0.8467,65.5851,6.2721,71.8572,0.0038,0.0888,0.0227,26,0.49999999999999994,-0.8660254037844387,26397.253,29894.931,10117.125,25.0707,25.4728,22.86,2.3145,2.5311,2.9118,1.1365,1.6645,1.3805
2018,6,24513.487,0.539869,90,22.7343,33.2683,3.1216,0.3385,67.7617,1.8549,205.8731,1.1271,207.0003,0.0405,10.9343,0.0866,18,1.2246467991473532e-16,-1.0,25443.757,28418.099,22283.255,23.9298,25.6954,24.5563,2.7212,2.4261,3.2082,1.0015,1.2699,0.7379
2018,7,17554.156,0.842294,86,22.2228,31.347,2.9825,0.3265,68.2315,0.7114,14.6702,0.2311,14.9013,0.0002,0.3733,-0.1665,17,-0.4999999999999997,-0.8660254037844388,24513.487,26397.253,28808.101,22.7343,25.0707,24.9544,3.1216,2.3145,2.9257,0.3385,1.1365,1.1665
2018,8,17956.934,0.89215,78,22.4702,32.4514,3.3685,0.4671,67.7177,0.9886,32.2944,2.1435,34.4378,0.0,0.0,0.1084,26,-0.8660254037844385,-0.5000000000000004,17554.156,25443.757,29894.931,22.2228,23.9298,25.4728,2.9825,2.7212,2.5311,0.3265,1.0015,1.6645
2018,9,13247.538,1.047858,73,22.6372,31.4186,3.2025,0.3576,67.3154,0.8524,7.8289,0.4009,8.2298,0.0,0.0,0.2745,20,-1.0,-1.8369701987210297e-16,17956.934,24513.487,28418.099,22.4702,22.7343,25.6954,3.3685,3.1216,2.4261,0.4671,0.3385,1.2699
2018,10,12761.937,1.205817,60,22.4726,30.9453,2.9708,0.8461,68.9323,1.5115,25.1047,2.1896,27.2943,0.0,0.2985,0.2326,22,-0.8660254037844386,0.5000000000000001,13247.538,17554.156,26397.253,22.6372,22.2228,25.0707,3.2025,2.9825,2.3145,0.3576,0.3265,1.1365
2018,11,13177.12,1.763596,62,23.8453,31.9931,3.022,0.969,69.3637,2.0104,4.0543,7.1158,11.17,0.7087,1.4799,0.1474,20,-0.5000000000000004,0.8660254037844384,12761.937,17956.934,25443.757,22.4726,22.4702,23.9298,2.9708,3.3685,2.7212,0.8461,0.4671,1.0015
2018,12,19931.351,0.909035,63,24.9305,33.6341,3.215,1.3039,67.0463,0.6223,19.6226,6.4886,26.1112,0.6659,1.0616,0.1796,20,-2.4492935982947064e-16,1.0,13177.12,13247.538,24513.487,23.8453,22.6372,22.7343,3.022,3.2025,3.1216,0.969,0.3576,0.3385
2019,1,27584.049,0.575167,71,25.8352,34.4905,2.9961,1.4839,68.2354,0.5585,8.2667,2.5434,10.8101,0.0092,0.0086,0.0846,33,0.49999999999999994,0.8660254037844387,19931.351,12761.937,17554.156,24.9305,22.4726,22.2228,3.215,2.9708,2.9825,1.3039,0.8461,0.3265
2019,2,30881.452,0.676281,73,26.294,34.6195,2.5229,2.3302,72.6669,6.418,1143.5575,170.6675,1314.225,90.3254,98.8837,0.0034,31,0.8660254037844386,0.5000000000000001,27584.049,13177.12,17956.934,25.8352,23.8453,22.4702,2.9961,3.022,3.3685,1.4839,0.969,0.4671
2019,3,33259.076,0.713093,82,26.4735,34.872,2.329,2.4591,69.3445,2.145,175.1396,18.6497,193.7893,0.951,3.7003,0.0198,23,1.0,6.123233995736766e-17,30881.452,19931.351,13247.538,26.294,24.9305,22.6372,2.5229,3.215,3.2025,2.3302,1.3039,0.3576
2019,4,31419.438,0.690938,89,25.9378,34.3417,2.6206,1.2787,66.3842,0.7941,86.5542,1.8758,88.4299,1.0177,17.9495,0.2209,22,0.8660254037844387,-0.4999999999999998,33259.076,27584.049,12761.937,26.4735,25.8352,22.4726,2.329,2.9961,2.9708,2.4591,1.4839,0.8461
2019,5,31249.52,0.647441,93,25.2422,33.8728,2.9748,0.5134,66.8091,0.172,20.6181,0.1632,20.7813,7.4286,6.1339,0.0958,23,0.49999999999999994,-0.8660254037844387,31419.438,30881.452,13177.12,25.9378,26.294,23.8453,2.6206,2.5229,3.022,1.2787,2.3302,0.969
2019,6,27073.952,0.643754,91,24.1973,36.4891,3.3805,0.4598,65.5441,0.1572,6.913,0.1167,7.0297,0.1679,0.2319,0.119,9,1.2246467991473532e-16,-1.0,31249.52,33259.076,19931.351,25.2422,26.4735,24.9305,2.9748,2.329,3.215,0.5134,2.4591,1.3039
2019,7,18112.825,0.899805,87,22.6997,32.4973,3.2355,0.5777,66.2873,0.375,132.7422,0.3761,133.1182,22.4839,0.664,0.2805,15,-0.4999999999999997,-0.8660254037844388,27073.952,31419.438,27584.049,24.1973,25.9378,25.8352,3.3805,2.6206,2.9961,0.4598,1.2787,1.4839
2019,8,12990.996,1.50336,79,22.37,32.4186,3.1269,0.3287,65.4759,0.4718,3.8966,7.6814,11.578,0.6041,0.9439,0.3547,14,-0.8660254037844385,-0.5000000000000004,18112.825,31249.52,30881.452,22.6997,25.2422,26.294,3.2355,2.9748,2.5229,0.5777,0.5134,2.3302
2019,9,16132.229,1.04723,71,22.592,32.0343,3.3897,0.4391,66.3873,0.2493,4.2482,1.0946,5.3428,0.1169,0.0062,0.2335,15,-1.0,-1.8369701987210297e-16,12990.996,27073.952,33259.076,22.37,24.1973,26.4735,3.1269,3.3805,2.329,0.3287,0.4598,2.4591
2019,10,17684.539,0.870299,63,22.6974,31.3033,3.3184,0.832,66.9702,0.3702,11.0743,5.9731,17.0474,0.0437,0.159,0.2691,12,-0.8660254037844386,0.5000000000000001,16132.229,18112.825,31419.438,22.592,22.6997,25.9378,3.3897,3.2355,2.6206,0.4391,0.5777,1.2787
2019,11,21926.512,1.385853,62,23.7237,33.0544,3.2197,1.1511,67.9816,0.8452,7.1498,0.2079,7.3577,0.0234,0.017,0.0087,8,-0.5000000000000004,0.8660254037844384,17684.539,12990.996,31249.52,22.6974,22.37,25.2422,3.3184,3.1269,2.9748,0.832,0.3287,0.5134
2019,12,22144.552,0.880316,61,24.8867,33.3294,3.2737,1.31,69.5234,0.4718,5.6359,0.3999,6.0357,0.02,0.0148,0.0861,18,-2.4492935982947064e-16,1.0,21926.512,16132.229,27073.952,23.7237,22.592,24.1973,3.2197,3.3897,3.3805,1.1511,0.4391,0.4598
2020,1,24717.906,0.744805,74,25.6377,34.2526,2.9701,1.2332,69.0152,1.9688,38.1897,3.4903,41.68,1.3135,2.1703,0.1904,17,0.49999999999999994,0.8660254037844387,22144.552,17684.539,18112.825,24.8867,22.6974,22.6997,3.2737,3.3184,3.2355,1.31,0.832,0.5777
2020,2,28863.261,0.611889,74,26.1394,34.3853,2.7732,2.2322,70.53,3.0308,32.3882,3.7078,36.096,1.3989,4.5081,0.1154,15,0.8660254037844386,0.5000000000000001,24717.906,21926.512,12990.996,25.6377,23.7237,22.37,2.9701,3.2197,3.1269,1.2332,1.1511,0.3287
2020,3,31899.279,0.855404,84,26.3503,34.5316,2.5401,1.4461,69.3097,0.9943,11.8544,0.4454,12.2998,0.7435,1.2822,0.0337,15,1.0,6.123233995736766e-17,28863.261,22144.552,16132.229,26.1394,24.8867,22.592,2.7732,3.2737,3.3897,2.2322,1.31,0.4391
2020,4,31472.253,0.762802,88,25.9601,34.9013,2.6011,0.7915,66.423,1.0072,9.7801,2.8392,12.6193,13.5893,7.7541,-0.0336,12,0.8660254037844387,-0.4999999999999998,31899.279,24717.906,17684.539,26.3503,25.6377,22.6974,2.5401,2.9701,3.3184,1.4461,1.2332,0.832
2020,5,35010.363,0.639604,91,25.1432,34.9333,3.0091,0.5961,66.9669,0.1244,0.8812,0.7404,1.6216,0.8435,0.7228,0.1358,16,0.49999999999999994,-0.8660254037844387,31472.253,28863.261,21926.512,25.9601,26.1394,23.7237,2.6011,2.7732,3.2197,0.7915,2.2322,1.1511
2020,6,26948.624,0.770617,89,23.2286,32.3942,3.0454,0.8273,67.6707,0.1057,10.9506,0.3378,11.2884,2.1725,3.0965,0.0552,19,1.2246467991473532e-16,-1.0,35010.363,31899.279,22144.552,25.1432,26.3503,24.8867,3.0091,2.5401,3.2737,0.5961,1.4461,1.31
