departamento,provincia,DATE,T2M,T2M_MAX,WS2M,PRECTOTCORR,RH2M,month_sin,month_cos,lat,lon
AMAZONAS,BAGUA,2016-01-01,24.49,34.78,1.71,1.16,63.85,0.49999999999999994,0.8660254037844387,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-02-01,23.44,32.12,2.12,1.62,71.06,0.8660254037844386,0.5000000000000001,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-03-01,23.2,32.87,1.84,2.07,73.52,1.0,6.123233995736766e-17,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-04-01,22.9,32.7,1.88,1.79,73.04,0.8660254037844387,-0.4999999999999998,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-05-01,22.62,31.92,2.26,0.8,70.17,0.49999999999999994,-0.8660254037844387,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-06-01,20.61,29.3,2.53,0.85,71.87,1.2246467991473532e-16,-1.0,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-07-01,21.36,30.03,2.54,0.59,69.2,-0.4999999999999997,-0.8660254037844388,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-08-01,22.58,32.02,2.67,0.12,62.15,-0.8660254037844385,-0.5000000000000004,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-09-01,22.97,33.54,2.38,0.85,64.13,-1.0,-1.8369701987210297e-16,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-10-01,23.54,36.02,1.9,0.84,61.56,-0.8660254037844386,0.5000000000000001,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-11-01,24.41,35.82,1.94,0.29,53.26,-0.5000000000000004,0.8660254037844384,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2016-12-01,22.31,31.1,1.59,2.05,70.4,-2.4492935982947064e-16,1.0,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-01-01,21.52,31.62,1.69,2.16,73.36,0.49999999999999994,0.8660254037844387,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-02-01,21.87,32.13,1.36,2.87,71.81,0.8660254037844386,0.5000000000000001,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-03-01,21.33,30.17,1.45,3.57,77.58,1.0,6.123233995736766e-17,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-04-01,21.57,31.14,1.88,1.76,76.06,0.8660254037844387,-0.4999999999999998,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-05-01,21.58,30.2,1.75,1.26,75.04,0.49999999999999994,-0.8660254037844387,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-06-01,21.22,30.76,2.02,0.61,71.05,1.2246467991473532e-16,-1.0,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-07-01,20.66,30.86,2.79,0.28,69.13,-0.4999999999999997,-0.8660254037844388,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-08-01,22.42,32.8,2.24,0.63,66.04,-0.8660254037844385,-0.5000000000000004,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-09-01,22.79,32.66,2.4,0.23,64.55,-1.0,-1.8369701987210297e-16,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-10-01,23.28,33.4,2.12,1.35,65.11,-0.8660254037844386,0.5000000000000001,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-11-01,22.78,34.56,1.46,1.9,65.64,-0.5000000000000004,0.8660254037844384,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2017-12-01,22.76,33.49,1.69,1.53,68.45,-2.4492935982947064e-16,1.0,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-01-01,21.74,33.08,1.72,1.41,72.13,0.49999999999999994,0.8660254037844387,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-02-01,22.24,32.1,1.51,3.25,71.35,0.8660254037844386,0.5000000000000001,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-03-01,21.69,29.69,1.78,1.56,76.0,1.0,6.123233995736766e-17,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-04-01,21.18,30.19,1.74,2.66,74.84,0.8660254037844387,-0.4999999999999998,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-05-01,21.41,30.3,1.92,0.95,74.49,0.49999999999999994,-0.8660254037844387,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-06-01,20.8,29.23,2.47,0.35,69.97,1.2246467991473532e-16,-1.0,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-07-01,20.95,30.5,2.58,0.16,67.23,-0.4999999999999997,-0.8660254037844388,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-08-01,21.5,30.58,2.75,0.39,66.28,-0.8660254037844385,-0.5000000000000004,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-09-01,23.0,32.54,2.41,0.31,62.47,-1.0,-1.8369701987210297e-16,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-10-01,23.29,34.96,1.73,0.58,61.97,-0.8660254037844386,0.5000000000000001,-5.63888888888889,-78.5311111111111
AMAZONAS,BAGUA,2018-11-01,22.9,33.2,1.59,2.15,68.92,-0.5000000000000004,0.8660254037844384,-5.63888888888889,-78.5311111111111
