fecha,titular,cuerpo_completo,fuente,url
2025-12-31,Puerto de Paita exportó más de 22.000 TEU de arándanos en 2025," En el 2025 se exportaron más de 22.000 TEU de arándanos desde el Puerto de Paita (Piura), informó Terminales Portuarios Euroandino. Indicó que dicho volumen representó el 44% del volumen de arándanos exportados por Perú, posicionando a este fruta como un producto estratégico de la agroexportación peruana. Los principales destinos del arándanos procedente del Puerto de Paita en 2025 fueron: Estados Unidos, Países Bajos, Reino Unido, Canadá y España.",agraria.pe/agronegocios,https://agraria.pe/noticias/puerto-de-paita-exporto-mas-de-22-000-teu-de-arandanos-en-20-41404
2025-12-30,Macro Región Norte representa el 73.69% de las exportaciones peruanas de uva de mesa," Desde la semana 27 hasta la semana 51 de la campaña 2025/2026, Perú exportó 48.647.078 cajas de uva de mesa (de 8.2 kilos cada caja), informó la Asociación de Productores de Uva de Mesa del Perú (Provid). El gerente general de Provid, Luis Miguel Vegas Arias Stella, detalló que, en el periodo analizado, la Macro Región Norte (Piura, Lambayeque, La Libertad, Áncash) exportó 35.849.138 cajas, lo que representa el 73.69% del volumen total. Por su parte, los despachos de uva de mesa de la Macro Región Sur (Lima, Ica, Arequipa, Moquegua) sumaron 12.797.939 cajas, que representa el 26.31% del total. Resaltó que Paita (Piura) fue el principal punto de salida de la uva de mesa peruana, con el 73% del total. Asimismo, dijo que la región Ica exportó 10.702.357 cajas de uva de mesa, lo que representa el 22% del total. Luis Miguel Vegas, señaló que la White Seedless (blanca si pepa) continúa posicionándose como la variedad más relevante en el norte, evidenciando un crecimiento de 5 % frente a la campaña anterior; mientras que, en la zona sur, esta misma variedad también lidera los envíos, sobresaliendo con un aumento de 18% en comparación con los resultados de la temporada pasada. El principal destino de la uva de mesa procedente de Perú en el periodo analizado de la campaña 2025/2026 fue Estados Unidos, a donde se dirigieron 21.543.737 cajas, mostrando un incremento de +2% en comparación al mismo periodo de la campaña anterior, y concentrando el 44.29% del total.",agraria.pe/agronegocios,https://agraria.pe/noticias/macro-region-norte-representa-el-73-69-de-las-exportaciones--41391
2025-12-29,Agroexportación concentra el 24% de las exportaciones piuranas," Entre enero y septiembre de 2025, las exportaciones de Piura alcanzaron los US$ 2.633 millones, mostrando un incremento de 17 % respecto al mismo periodo de 2024, informó el Área de Estudios Económicos de la Cámara de Comercio de Piura. En los primeros nueve meses del año, la pesca se mantiene como el principal rubro exportador de la región, al concentrar el 44 % del valor total exportado. Le siguen la agroexportación (24 %) y minería no metálica (13 %), actividades clave no solo por su aporte en divisas, sino también por su impacto en la generación de empleo directo. En el rubro agroindustrial destacan productos de alta demanda internacional como mangos, bananas y uvas frescas, mientras que en pesca sobresalen la pota, langostinos y la harina de pescado, que evidencian una recuperación significativa tras periodos marcados por la volatilidad climática. En cuanto a destinos, Estados Unidos se consolida como el principal socio comercial de Piura, al concentrar el 31% de los envíos, seguido de China con el 15%, lo que refuerza la presencia de la región en mercados estratégicos.",agraria.pe/agronegocios,https://agraria.pe/noticias/agroexportacion-concentra-el-24-de-las-exportaciones-piurana-41389
2025-12-29,El cacao peruano marca un hito con la primera barra de chocolate 100% trazable conforme a la EUDR," Desde las fértiles tierras de San Martín y Piura, en Perú, hasta las estanterías de comercios en Países Bajos y Bélgica, el cacao peruano ha dado un salto cualitativo en la trazabilidad y la sostenibilidad. Gracias al proyecto MiCacao, liderado por Open Food Chain y Helvetas Perú y financiado por el I4AgFund de Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH, se ha lanzado al mercado la primera barra de chocolate 100% trazable y completamente alineada con la normativa europea EUDR. El corazón de esta revolución reside en una plataforma digital de código abierto que permite a los productores cumplir con los exigentes requisitos de la Unión Europea y, al mismo tiempo, ofrecer a los consumidores información fiable y verificable sobre la procedencia y el recorrido del cacao. Agricultores de Norandino y la Cooperativa Agraria Acopagro Ltda., en Perú, emplean la aplicación Identi para registrar los datos de cada paso y mantener la titularidad sobre ellos, garantizando así la transparencia y la autenticidad del producto. El chocolate, elaborado por Chocolatemakers | B Corp en Países Bajos y Belvas en Bélgica, ya está disponible en los supermercados Udea (Ekoplaza), marcando el inicio de una cadena de suministro completamente trazable de extremo a extremo, la primera de su tipo, con el objetivo de que otras muchas sigan su ejemplo. Este ecosistema digital asegura que toda la información —desde la finca hasta la tableta de chocolate— permanezca bajo control de los productores, anclada en la blockchain pública de Open Food Chain y verificada por Global Forest Watch. Al escanear el código QR impreso en el envase, los consumidores pueden descubrir la historia completa del producto: transparente, responsable y con el sello de calidad del cacao peruano. El proyecto cuenta, además, con el respaldo del Ministerio Federal de Cooperación Económica y Desarrollo (BMZ) de Alemania, consolidando así una alianza internacional en favor de la sostenibilidad y la digitalización de las cadenas de valor. Este avance no solo representa un gran logro para el cacao peruano, sino que también señala el camino hacia un futuro en el que la trazabilidad, la responsabilidad social y el empoderamiento digital de los productores sean la norma y no la excepción.",agraria.pe/agronegocios,https://agraria.pe/noticias/el-cacao-peruano-marca-un-hito-con-la-primera-barra-de-choco-41386
2025-12-26,Exportaciones peruanas de chocolate sumaron US$ 62 millones," Entre enero y octubre del 2025, las exportaciones peruanas de chocolate –incluidos los de taza–, tanto orgánicos como convencionales, superaron los US$ 62 millones , mostrando un incremento de +12% frente a los US$ 55.549.000 reportados en el mismo periodo del año anterior. Así informó la Gerencia de Agroexportaciones de la Asociación de Exportadores (ADEX), que detalló que en el periodo analizado de este año, los envíos de chocolates orgánicos ascendieron a US$ 33.766.000 registrando un alza de +31% (concentrando el 54.5% del total) y los convencionales ascendieron a US$ 28.348.000, reflejando una caída de -5% (participando con el 45.5%). En los diez primeros meses del presente año, Estados Unidos se consolidó como el principal destino del chocolate procedente de Perú con US$28.182.000, lo que representó un incremento de +28% respecto a los US$ 22 millones registrados en similares meses del 2024, alcanzando una participación del 45% del total. Le siguió Canadá con US$ 11.118.000, Chile US$ 5.129.000, Ecuador US$ 3.517.000, Bolivia US$ 3.357.000, México, Australia, Colombia, Brasil y Países Bajos. Se debe precisar que, si bien en valor FOB los envíos de chocolates entre enero y octubre de este año crecieron 12%, el volumen cayó -26%. Esto se explica por los elevados precios del cacao y sus derivados, impulsados por la menor producción en los principales países productores. Chocolate para taza Respecto a la exportación de chocolate para taza, producto consumido en la Navidad, ADEX señaló que entre enero y octubre del 2025, el monto fue de US$ 374 mil, representando una evolución de +166% frente al mismo periodo del 2024 (US$ 140 mil). Se despachó en barra, tableta y en polvo, llegando principalmente a Reino Unido (US$ 73 mil) y Estados Unidos (US$ 59.124). Otros fueron Costa Rica, Japón, Chile, Italia, Países Bajos, Australia, Suiza y Cuba. Las empresas más relevantes fueron Arawak Ecosourcing, Importadora y Exportadora Doña Isabel, CV Eximp, Industrias Alimenticias Cusco, Fusion Foods, Corporación Gerónimo, Fábrica de Chocolates La Ibérica, Impor Export Magnate Internacional, Agro Mi Perú Foods y Marilia Distribuciones. El chocolate para taza (US$ 374 mil) representó el 0.6% del total de los envíos a los mercados internacionales de los chocolates peruanos entre enero y octubre del 2025 (US$ 62 millones).",agraria.pe/agronegocios,https://agraria.pe/noticias/exportaciones-peruanas-de-chocolate-sumaron-us-62-millones-41375
2025-12-22,Agroexportaciones crecieron en 15 regiones del país," En los primeros diez meses del año (enero-octubre), las regiones de sierra y selva se convirtieron en las principales proveedores de alimentos a los mercados, lo que permite proyectar que las exportaciones agrarias llegarían a alrededor de US$ 15.000 millones al cierre de este año, según informó el Ministerio de Desarrollo Agrario y Riego (Midagri). En el reporte se señala que, al mes de octubre, 15 de los 24 departamentos del país registraron un importante crecimiento económico, dinamismo agroexportador y comercial, destacando las zonas productoras de la selva, cuya exportación se incrementó de 57.1%, la costa con un alza de 15.8% y la sierra con 37.0%. En la región selva, se registró un crecimiento de las agroexportaciones en los departamentos de Amazonas (+56.3%) con productos como café sin tostar sin descafeinar, cacao en grano, tara en polvo; Madre de Dios (+37.9%) con productos como nueces del Brasil, maderas tropicales, maderas en bruto; San Martín (+103.8%) resaltó las colocaciones de cacao en grano, aceite de palma, café sin tostar sin descafeinar. Respecto a la región sierra, se obtuvo un aumento de las agroexportaciones de Apurímac (+221.5%) destacando artículos como la quinua, habas, frijoles de la especie vigna mungo; Cajamarca (+49.3%) con el café sin tostar sin descafeinar, tara en polvo, cacao en grano; Huánuco (+88.1%) con la pasta de cacao, manteca de cacao, cacao en grano; Junín (+44.9%) con el café sin tostar sin descafeinar, cacao en grano, jengibre sin triturar ni pulverizar. En relación a la región costa, se registró el crecimiento de las ventas de Áncash (+3.2%) con la colocación de rojos frescos, paltas, mangos frescos; Arequipa (+1.9%) con las alcachofas, uvas frescas, paltas; La Libertad (+11.1%) con los arándanos rojos frescos, paltas, espárragos frescos; Lambayeque (+39.2%) con los arándanos rojos frescos, paltas, café sin tostar sin descafeinar; Lima (+14.7%) con la colocación de paltas, carmín de cochinilla, arándanos rojos frescos; Piura (+11.6%) con las ventas de uvas frescas, mangos frescos, bananas incluidos los plátanos; Tacna (+46.0%) con las aceitunas conservadas, orégano, aceitunas conservadas todavía impropias para el consumo. De otro lado, los diez principales países de destino de las exportaciones agrarias peruanas fueron: Estados Unidos, Holanda, España, China, Inglaterra, Chile, Alemania, México, Canadá, Ecuador. Este grupo de países concentraron el 76.5% del total del valor FOB exportado en el periodo de estudio. De esta manera, el Perú se consolida como uno de los principales proveedores de alimentos (frutas y hortalizas) en el mundo, por el acceso de productos a más de 130 mercados.",agraria.pe/agronegocios,https://agraria.pe/noticias/agroexportaciones-crecieron-en-15-regiones-del-pais-41358
2025-12-22,39 productos agropecuarios lograron acceder a nuevos mercados internacionales este año," Gracias a la labor que realiza el Servicio Nacional de Sanidad Agraria (Senasa), 39 productos agropecuarios de Perú lograron acceder a nuevos mercados internacionales en el 2025. Así lo señaló el titular de la Dirección General de Desarrollo Agrícola y Agroecología (DGDAA) del Ministerio de Desarrollo Agrario y Riego (Midagri), Franklin Suárez Gómez, quien destacó que estos alimentos son producidos principalmente por productores familiares agrarios. Detalló que algunos de los productos que lograron ingresar a nuevos mercados en el 2025 fueron: Brasil (papa y fresa), China (plátano, granada y fibra de alpaca), Gabón (carne de pollo), México (granada), Israel (uva), Filipinas (palta), Panamá (carne de pavo), Indonesia (arándanos), República Dominicana (arándanos), Haití (carne de ave), entre otros. Indicó que en Puno hay un pequeño emprendimiento que produce fresa con alta tecnología y que atiende el mercado brasileño. En el caso de la palta, destacó que más del 70% de la producción nacional de esta fruta es de los pequeños productores. Sobre arándanos, dijo que a través del Programa de Compensaciones para la Competitividad (Agroideas) se financió 4 planes de negocios para que pequeños agricultores produzcan esta fruta con miras al mercado internacional.",agraria.pe/agronegocios,https://agraria.pe/noticias/39-productos-agropecuarios-lograron-acceder-a-nuevos-mercado-41350
2025-12-19,Exportaciones peruanas de carne de pavo sumaron US$ 2.196.000," Las exportaciones peruanas de carne de pavo sumaron US$ 2.196.000 entre enero y octubre del presente año, informó la Gerencia de Agroexportaciones de la Asociación de Exportadores (ADEX). Detalló que, en los primeros diez meses del presente año, los envíos de pavita (conocida comercialmente como pavo bebé) alcanzaron los US$ 2.126.000, concentrando el 96.8% del total; mientras que los despachos de pavo entero ascendieron a US$ 69.441.000. Estos productos se trasladaron desde Lima y se transportaron principalmente vía aérea (US$ 2.126.000), pero también vía marítima (US$ 69.441). Se debe recordar que en años anteriores los compradores internacionales requerían pechuga de pavo y jamón de pierna. Con una participación de 90.2%, Ecuador lideró el ranking con US$ 1.981.000, registrando una contracción de -31.5% respecto al mismo periodo del año anterior. Desde hace varios años este país promueve su industria avícola, desarrollando su propia genética de pavo para engorde. En el segundo lugar se posicionó Bolivia con US$ 144.749, presentando una caída de -48.4%. Le siguió Haití, a donde se despachó pavo por primera vez en octubre del 2025 a través de la empresa Redondos S.A. Según cifras del Sistema de Inteligencia Comercial ADEX Data Trade, las compañías que vendieron pavos en el exterior fueron San Fernando S.A., Corporación Granjas del Perú S.A.C. y Redondos S.A. Consumo mundial The Poultry Site, portal internacional de información técnica y noticias especializado en la industria avícola, refirió que la demanda mundial de carne de pavo es estable en Europa, Norteamérica y Latinoamérica; sin embargo, el consumo per cápita varía influenciado por la estacionalidad, especialmente por la temporada navideña. De acuerdo con Bloomberg Línea, entre los países con mayor consumo de esta ave se puede mencionar a Israel, Hungría, Estados Unidos, Irlanda, Francia, Portugal, Túnez, Canadá, Alemania, Austria, entre otros. Se estima que Israel consume más de 13 kilos al año, Hungría 9 kilos, Estados Unidos 7.3 kilos, Irlanda 6.3 kilos, Francia 5.6 kilos, Canadá 4.2 kilos. En la región resaltan Chile (entre 2.7 y 3.7 kilos), Brasil (2 kilos) y México (1.2 kilos) en promedio, concentrado sus pedidos en fechas festivas (Navidad y Acción de Gracias, costumbre adoptada de Estados Unidos). No forma parte de su dieta cotidiana. En Perú, el consumo per cápita de pavo alcanzaría 1.45 kilos este año, un incremento de 25.5% respecto al 2024, según el Ministerio de Desarrollo Agrario y Riego (Midagri). Aunque el nivel de compra se concentra principalmente en la temporada navideña, en años previos se promovió la campaña ‘Jueves de pavita’, orientada a fomentar su ingesta semanal y posicionarla como una alternativa habitual en la dieta, más allá de las celebraciones de fin de año. Dato . En abril del presente año, la Organización Mundial de Sanidad Animal (OMSA) declaró al Perú como país libre de Influenza Aviar de Alta Patogenicidad (IAAP) en aves de corral.",agraria.pe/agronegocios,https://agraria.pe/noticias/exportaciones-peruanas-de-carne-de-pavo-sumaron-us-2-196-000-41348
2025-12-18,Más de S/. 769 millones en créditos fueron otorgados mediante AgroPerú," El Ministerio de Desarrollo Agrario y Riego (Midagri) aprobó la entrega de 47 mil créditos, por un monto de más de S/ 769 millones, mediante el fondo AgroPerú. “Las cifras de este año representan un crecimiento del 30% del monto aprobado en comparación con el período del 2024. Estos créditos han beneficiado a 43,830 usuarios de todo el país, impulsando el desarrollo de sus cultivos como el café, vacuno-carne, cacao, arroz y papa”, detalló el titular del Midagri, Vladimir Cuno. Estos créditos permiten que los productores agrarios (agrícolas, pecuarios y forestales) puedan financiar sus campañas productivas y potenciarlas, mediante la adquisición de maquinaria, insumos, entre otros. Los mecanismos de financiamiento del Fondo Agroperú se entregan a través del Banco Agropecuario (Agrobanco), cuyas agencias/oficinas se encuentran presentes en todas las regiones del país; beneficiando a usuarios individuales y organizados. Fortaleciendo el agro con warrant El 2025 también fue el año de proyectos innovadores en beneficio del fácil acceso al financiamiento y la asociatividad. El Consejo Directivo del Fondo AgroPerú aprobó una modificación clave en su Programa de Financiamiento Directo para Acopio, Transformación y Comercialización Agrícola: la incorporación de los warrants como un nuevo mecanismo de garantía. Gracias a esta iniciativa, las organizaciones agrarias pueden acceder a financiamientos superiores al medio millón de soles, respaldados por productos agrícolas no perecibles acopiados por sus propios socios y resguardados en almacenes certificados. Los primeros desembolsos garantizados con warrants se concretaron en Jaén, Amazonas y Piura, marcando un hito en la historia reciente de los instrumentos financieros del sector agrario con el Fondo AgroPerú.",agraria.pe/agronegocios,https://agraria.pe/noticias/mas-de-s-769-millones-en-creditos-fueron-otorgados-mediante--41341
2025-12-18,“Espero que en diez años lleguemos a los 25 mil millones de dólares en agroexportaciones”," El balance del año agroexportador otorga un saldo bastante positivo, a pesar de los momentos de tensión vividos a partir de hechos como la imposición de aranceles en el mercado de Estados Unidos, uno de los más importantes. Mario Salazar, presidente del Comité de Agroindustrias, Alimentos y Bebidas de la Asociación de Exportadores (ADEX) hace en esta entrevista una revisión de los puntos clave del año que se va y sus perspectivas para el 2026, donde grandes retos como la innovación, apertura de nuevos mercados y la promoción serán fundmentales para el crecimiento de las grandes y pequeñas empresas del sector. ¿Cuál es su proyección a nivel de valor de las agroexportaciones peruanas para el cierre de 2025 y cómo estima que evolucionará el desempeño en 2026? Este año de todas maneras habrá crecimiento de las agroexportaciones. Si el año pasado estuvimos cerca de los 12.000 millones de dólares, este año deberíamos bordear los 15.000 millones. La mayor cantidad de productos como la palta, arándano, los buenos precios del cacao, el café, impulsaron este crecimiento. Ese ha sido un crecimiento natural porque muchos cultivos han tenido mayor producción con plantaciones de años pasados, y esto se ha conjugado con la apertura del mercado de Asia y la facilidad para llegar en menos tiempo a través del Puerto de Chancay. Para 2026 creo que vamos a crecer, no sé si a dos dígitos, pero hay que recordar que este año ha sido frío, entonces hubo mucha floración y producciones retrasadas. Esto afectó al mango, que en el último trimestre de este año tuvo menores exportaciones que las del último trimestre del año pasado, entonces se corren las campañas, y lo que tenía que salir en el último trimestre de 2025 saldrá en el primero de 2026. El año frío ha retrasado algunas cosechas y eso favorecerá el crecimiento de las agroexportaciones. ¿Cuáles son nuestros productos con mejores perspectivas para el 2026? Creo que los productos con valor agregado como el cacao, chocolate, café, granos, los productos deshidratados, congelados, y los productos tradicionales en fresco, van a crecer. Recordemos que los productos con valor agregado son jalados por la producción de los frescos. Uno interesante que veo crecer es el aceite de palta, y es positivo porque toda la palta chica que se quedaba en campo o estaba sobremadura, ahora pasa a la industria del aceite y permite que se exporte con valor agregado. Son productos interesantes que van a ir creciendo en los próximos años como consecuencia de los frescos. Veo también con buena perspectiva a la granada, que en los últimos años ha tenido buen desempeño y creo que la presentación que se hace en clamshell , listo para consumo en fresco, es interesante. Entonces hay crecimiento en valor agregado también, y estos son productos de tercera o cuarta gama. Y hay que fijarse que estos crecimientos están enfocados en la pequeña y mediana agroindustria, y así sucede con la chía y el yacón, con pequeños y medianos agricultores que dan valor agregado a los descartes o el exceso. Ya hay mercados clave abiertos en Asia como China y Japón, pero también se prevé que India pueda abrirse en 2026, ¿cómo debe enfrentar la agroindustria estos nuevos retos? Creo que hay dos escenarios para los agentes comerciales, el primero es con los mercados abiertos y de facilidades logísticas, básicamente Asia. Ahí la labor de las empresas agroexportadoras peruanas es la penetración del mercado, cómo los conquistamos, con nuestro sabor. Por ejemplo, estuve en China meses atrás en una feria de Shanghái, y se pedía mucho la palta congelada, y no es que los chinos la coman, sino que en grandes metrópolis existe demanda por parte de los turistas. Entonces hay que ir enamorando a los chinos, porque nunca han comido palta, para que prueben el producto congelado. Es una labor de años, requiere mandar muestras, hacer promociones en supermercados de China, y que lo relacionen con la salud, esa es la gran tarea. De otro lado, los países sin TLC como India, es donde la primera labor recae en el Estado con el Ministerio de Comercio Exterior para una buena negociación, con participación de entidades como Senasa para ver si nuestros productos llegan con o sin tratamiento cuarentenario a ese destino, algo que debe trabajarse también con los privados. Y cuando se abra el mercado, ver sus necesidades, su tipo de consumo en lo que coincide con nuestros productos, penetrar mercados, hacer promociones. Está además en estos destinos el desafío logístico para llegar con la fruta en condiciones, los agroindustriales deben ver los sabores y demás factores. Vemos que los japoneses quieren uva con mayor brix, mientras los europeos con menos brix. Hay que analizar cómo a este mercado le gusta consumir el producto, su presentación visual, esto toma años. Por eso el agro no es un negocio de corto plazo, es de largo plazo. Si el próximo año se abre el mercado de India, nos tomará unos cuatro años alcanzar volúmenes de exportación importantes, por eso ahí tiene sentido la Ley Agraria, para promocionar la industria, porque las inversiones en los mercados son de largo plazo. ¿Y cómo se han desempeñado los mercados principales como Estados Unidos, Europa? ¿Puede crecer la relevancia de Latinoamérica para los productos peruanos? En Estados Unidos hemos tenido momentos de tensión con los aranceles, pero mirándolo en retrospectiva ha sido un buen año pues hemos podido colocar a buenos precios productos como la palta, con mayor volumen aun con el arancel. En Europa hubo también crecimiento de la demanda. Asia está consumiendo mucho nuestros productos. En general los productos peruanos tienen buena demanda, y creciente. En Perú cada vez crecemos más en inversiones en el agro y eso favorece que se creen esos volúmenes. En cuanto a Latinoamérica, creo que los cambios de gobierno en Chile, Argentina, Ecuador, Bolivia, van a ayudar a un mayor consumo. Uno de los principales compradores de palta peruana es Chile; ahora estoy en Tambogrande, Piura, y veo que hay mango que toman para Chile y Ecuador, son mercados que consumen nuestros productos. Imaginen el mercado grande de Argentina si sale de la inflación y el consumidor recupera su nivel de compra, sería un mercado importante. Y lo mismo diríamos con Bolivia, donde también tienen ganas con el nuevo gobierno de recuperar el tiempo perdido. Soy positivo en que, con los cambios de gobierno en pro de la libertad y empresa, muchos consumidores de Latinoamérica van a poder gozar también de los productos peruanos que son de primer nivel. Creo finalmente que este ha sido un buen año para el agro, y nos debemos seguir enfocando en la tecnología, productividad, y con ello nuestro país realmente promete. En los próximos diez años duplicaremos las exportaciones en el Perú y espero para entonces estemos en los 25.000 millones de agroexportaciones, siendo los números uno y ejemplo para el mundo.",agraria.pe/agronegocios,https://agraria.pe/noticias/espero-que-en-diez-anos-lleguemos-a-los-25-mil-millones-de-d-41340
