fecha,real_t,predicho_t,particion,shock_test
2016-01,21087.24,,buffer,False
2016-02,26667.6,21087.24,buffer,False
2016-03,29075.85,26667.6,buffer,False
2016-04,29557.58,29075.85,buffer,False
2016-05,26308.06,29557.58,buffer,False
2016-06,19563.2,26308.06,buffer,False
2016-07,19004.43,19563.2,train,False
2016-08,20689.07,19004.43,train,False
2016-09,17913.79,20689.07,train,False
2016-10,20532.17,17913.79,train,False
2016-11,21609.22,20532.17,train,False
2016-12,16714.14,21609.22,train,False
2017-01,18255.8,16714.14,train,False
2017-02,19416.76,18255.8,train,False
2017-03,16544.59,19416.76,train,False
2017-04,19077.38,16544.59,train,False
2017-05,18000.84,19077.38,train,False
2017-06,15051.84,18000.84,train,False
2017-07,8452.02,15051.84,train,False
2017-08,4951.69,8452.02,train,False
2017-09,4851.69,4951.69,train,False
2017-10,6007.35,4851.69,train,False
2017-11,10117.12,6007.35,train,False
2017-12,22283.26,10117.12,train,False
2018-01,28808.1,22283.26,train,False
2018-02,29894.93,28808.1,train,False
2018-03,28418.1,29894.93,train,False
2018-04,26397.25,28418.1,train,False
2018-05,25443.76,26397.25,train,False
2018-06,24513.49,25443.76,train,False
2018-07,17554.16,24513.49,train,False
2018-08,17956.93,17554.16,train,False
2018-09,13247.54,17956.93,train,False
2018-10,12761.94,13247.54,train,False
2018-11,13177.12,12761.94,train,False
2018-12,19931.35,13177.12,train,False
2019-01,27584.05,19931.35,train,False
2019-02,30881.45,27584.05,train,False
2019-03,33259.08,30881.45,train,False
2019-04,31419.44,33259.08,train,False
2019-05,31249.52,31419.44,train,False
2019-06,27073.95,31249.52,train,False
2019-07,18112.82,27073.95,train,False
2019-08,12991.0,18112.82,train,False
2019-09,16132.23,12991.0,train,False
2019-10,17684.54,16132.23,train,False
2019-11,21926.51,17684.54,train,False
2019-12,22144.55,21926.51,train,False
2020-01,24717.91,22144.55,train,False
2020-02,28863.26,24717.91,train,False
2020-03,31899.28,28863.26,train,False
2020-04,31472.25,31899.28,train,False
2020-05,35010.36,31472.25,train,False
2020-06,26948.62,35010.36,train,False
2020-07,15387.76,26948.62,train,False
2020-08,14809.67,15387.76,train,False
2020-09,18989.79,14809.67,train,False
2020-10,20949.04,18989.79,train,False
2020-11,22423.06,20949.04,train,False
2020-12,30110.52,22423.06,train,False
2021-01,30304.34,30110.52,train,False
2021-02,33363.64,30304.34,train,False
2021-03,35179.89,33363.64,train,False
2021-04,32291.68,35179.89,train,False
2021-05,29436.56,32291.68,train,False
2021-06,23089.08,29436.56,train,False
2021-07,22952.69,23089.08,train,False
2021-08,22838.58,22952.69,train,False
2021-09,23106.28,22838.58,train,False
2021-10,27096.29,23106.28,train,False
2021-11,27012.66,27096.29,train,False
2021-12,29093.8,27012.66,train,False
2022-01,39496.04,29093.8,train,False
2022-02,41867.72,39496.04,train,False
2022-03,41704.53,41867.72,train,False
2022-04,36706.03,41704.53,train,False
2022-05,35495.46,36706.03,train,False
2022-06,26355.13,35495.46,train,False
2022-07,23436.45,26355.13,train,False
2022-08,22936.0,23436.45,train,False
2022-09,23892.23,22936.0,train,False
2022-10,20729.51,23892.23,train,False
2022-11,24026.97,20729.51,train,False
2022-12,30051.03,24026.97,train,False
2023-01,31563.27,30051.03,train,False
2023-02,36552.31,31563.27,train,False
2023-03,30900.93,36552.31,train,False
2023-04,25524.14,30900.93,train,False
2023-05,22049.58,25524.14,train,False
2023-06,19365.54,22049.58,train,False
2023-07,15716.46,19365.54,train,False
2023-08,9388.4,15716.46,train,False
2023-09,13778.47,9388.4,train,False
2023-10,17002.34,13778.47,train,False
2023-11,24158.06,17002.34,train,False
2023-12,30799.03,24158.06,train,False
2024-01,36531.88,30799.03,val,False
2024-02,43992.45,36531.88,val,False
2024-03,44161.84,43992.45,val,False
2024-04,43176.23,44161.84,val,False
2024-05,39200.49,43176.23,val,False
2024-06,30460.08,39200.49,val,False
2024-07,24936.37,30460.08,val,False
2024-08,25176.55,24936.37,val,False
2024-09,24222.32,25176.55,val,False
2024-10,23811.29,24222.32,val,False
2024-11,24280.55,23811.29,val,False
2024-12,26555.14,24280.55,val,False
2025-01,38325.52,26555.14,test,True
2025-02,40092.88,38325.52,test,False
2025-03,42119.74,40092.88,test,False
2025-04,41178.82,42119.74,test,False
2025-05,37552.28,41178.82,test,False
2025-06,34500.77,37552.28,test,False
2025-07,23417.93,34500.77,test,True
2025-08,18017.18,23417.93,test,False
2025-09,18304.83,18017.18,test,False
2025-10,21230.28,18304.83,test,False
2025-11,33357.52,21230.28,test,True
2025-12,34801.52,33357.52,test,False
