fecha,real_t,predicho_t,particion,shock_test
2016-01,242.4,,buffer,False
2016-02,335.23,,buffer,False
2016-03,426.75,,buffer,False
2016-04,545.6,,buffer,False
2016-05,608.39,,buffer,False
2016-06,598.62,,buffer,False
2016-07,462.12,444.44,train,False
2016-08,350.02,354.8,train,False
2016-09,334.55,340.26,train,False
2016-10,259.93,284.53,train,False
2016-11,195.55,204.18,train,False
2016-12,135.7,182.96,train,False
2017-01,256.05,275.1,train,False
2017-02,361.82,380.51,train,False
2017-03,426.88,520.58,train,False
2017-04,585.09,607.82,train,False
2017-05,571.52,592.57,train,False
2017-06,630.73,561.75,train,False
2017-07,477.57,443.9,train,False
2017-08,390.49,357.57,train,False
2017-09,386.06,338.84,train,False
2017-10,334.08,287.6,train,False
2017-11,254.95,203.16,train,False
2017-12,199.1,185.0,train,False
2018-01,279.0,272.68,train,False
2018-02,379.91,381.7,train,False
2018-03,468.43,517.93,train,False
2018-04,616.06,610.06,train,False
2018-05,608.33,591.14,train,False
2018-06,605.63,564.77,train,False
2018-07,490.71,443.36,train,False
2018-08,414.13,360.33,train,False
2018-09,390.44,337.4,train,False
2018-10,311.92,290.65,train,False
2018-11,192.5,202.13,train,False
2018-12,164.9,187.03,train,False
2019-01,265.8,270.25,train,False
2019-02,370.13,382.9,train,False
2019-03,520.22,515.27,train,False
2019-04,614.86,612.28,train,False
2019-05,581.64,589.7,train,False
2019-06,523.8,567.77,train,False
2019-07,455.3,442.82,train,False
2019-08,362.82,363.1,train,False
2019-09,333.01,335.96,train,False
2019-10,300.25,293.7,train,False
2019-11,181.5,201.11,train,False
2019-12,166.3,189.07,train,False
2020-01,250.05,267.82,train,False
2020-02,361.09,384.1,train,False
2020-03,529.73,524.86,train,False
2020-04,560.59,607.2,train,False
2020-05,573.59,595.69,train,False
2020-06,541.17,560.46,train,False
2020-07,426.16,446.22,train,False
2020-08,334.82,356.64,train,False
2020-09,322.48,342.15,train,False
2020-10,291.56,286.48,train,False
2020-11,182.22,206.19,train,False
2020-12,180.68,185.03,train,False
2021-01,266.33,277.22,train,False
2021-02,379.86,382.69,train,False
2021-03,542.57,522.82,train,False
2021-04,600.29,610.12,train,False
2021-05,596.04,594.93,train,False
2021-06,537.03,564.17,train,False
2021-07,413.23,446.38,train,False
2021-08,353.32,360.11,train,False
2021-09,333.16,341.44,train,False
2021-10,283.82,290.26,train,False
2021-11,213.94,205.89,train,False
2021-12,205.93,187.79,train,False
2022-01,299.57,275.53,train,False
2022-02,408.91,384.62,train,False
2022-03,574.79,520.9,train,False
2022-04,636.74,613.09,train,False
2022-05,619.3,594.23,train,False
2022-06,552.96,567.92,train,False
2022-07,420.22,446.58,train,False
2022-08,349.54,363.61,train,False
2022-09,301.21,340.74,train,False
2022-10,284.08,294.06,train,False
2022-11,205.78,205.6,train,False
2022-12,223.69,190.56,train,False
2023-01,296.48,273.84,train,False
2023-02,420.54,386.55,train,False
2023-03,577.94,518.99,train,False
2023-04,663.15,616.05,train,False
2023-05,602.79,593.53,train,False
2023-06,567.44,571.67,train,False
2023-07,414.81,446.78,train,False
2023-08,328.31,367.12,train,False
2023-09,315.88,340.05,train,False
2023-10,259.77,297.85,train,False
2023-11,206.38,205.32,train,False
2023-12,224.3,193.34,train,False
2024-01,322.41,272.15,val,False
2024-02,444.66,388.49,val,False
2024-03,626.2,529.3,val,False
2024-04,675.8,611.71,val,False
2024-05,650.53,600.2,val,False
2024-06,616.33,564.98,val,False
2024-07,454.68,450.75,val,False
2024-08,382.1,361.17,val,False
2024-09,439.59,346.7,val,False
2024-10,294.14,291.03,val,False
2024-11,229.4,210.74,val,False
2024-12,243.65,189.59,val,False
2025-01,337.94,281.78,test,True
2025-02,474.59,387.25,test,True
2025-03,658.42,527.38,test,True
2025-04,730.43,614.68,test,False
2025-05,684.6,599.5,test,False
2025-06,655.17,568.74,test,False
2025-07,495.03,450.94,test,False
2025-08,415.32,364.67,test,False
2025-09,374.23,346.01,test,False
2025-10,302.72,294.83,test,False
2025-11,228.65,210.45,test,False
2025-12,256.5,192.35,test,False
