fecha_evento,avg_sentiment,n_noticias,n_positivas,n_negativas,n_neutrales
2016-01,0.0,0,0,0,0
2016-02,0.0,0,0,0,0
2016-03,-0.159,6,1,2,3
2016-04,0.047,30,6,6,18
2016-05,0.0621,24,5,4,15
2016-06,-0.1251,21,5,6,10
2016-07,0.2295,14,3,1,10
2016-08,0.2344,20,7,0,13
2016-09,0.1723,31,8,2,21
2016-10,0.2301,26,6,2,18
2016-11,0.086,25,5,3,17
2016-12,-0.2092,22,3,9,10
2017-01,-0.2464,16,0,6,10
2017-02,-0.0659,36,3,9,24
2017-03,-0.1232,42,6,12,24
2017-04,-0.2017,33,1,11,21
2017-05,0.1306,53,9,2,42
2017-06,0.1383,29,5,2,22
2017-07,0.0226,31,5,7,19
2017-08,0.0736,34,5,2,27
2017-09,0.0713,39,8,6,25
2017-10,0.0624,29,4,4,21
2017-11,0.1775,31,11,5,15
2017-12,0.1317,31,4,2,25
2018-01,0.2431,31,9,1,21
2018-02,0.0165,26,3,5,18
2018-03,0.0505,25,5,6,14
2018-04,0.0877,23,2,2,19
2018-05,0.0227,26,2,6,18
2018-06,0.0866,18,3,3,12
2018-07,-0.1665,17,2,8,7
2018-08,0.1084,26,8,5,13
2018-09,0.2745,20,5,1,14
2018-10,0.2326,22,8,3,11
2018-11,0.1474,20,6,3,11
2018-12,0.1796,20,6,1,13
2019-01,0.0846,33,7,5,21
2019-02,0.0034,31,7,6,18
2019-03,0.0198,23,3,3,17
2019-04,0.2209,22,5,0,17
2019-05,0.0958,23,4,3,16
2019-06,0.119,9,2,2,5
2019-07,0.2805,15,5,1,9
2019-08,0.3547,14,7,0,7
2019-09,0.2335,15,4,1,10
2019-10,0.2691,12,3,0,9
2019-11,0.0087,8,0,1,7
2019-12,0.0861,18,3,1,14
2020-01,0.1904,17,3,0,14
2020-02,0.1154,15,1,1,13
2020-03,0.0337,15,0,2,13
2020-04,-0.0336,12,0,2,10
2020-05,0.1358,16,5,2,9
2020-06,0.0552,19,2,3,14
2020-07,0.177,13,4,0,9
2020-08,-0.0208,6,0,1,5
2020-09,0.0121,13,2,2,9
2020-10,0.2178,9,2,0,7
2020-11,0.1826,11,2,1,8
2020-12,0.182,15,4,0,11
2021-01,0.0698,13,1,1,11
2021-02,0.0593,19,1,1,17
2021-03,0.1328,21,6,2,13
2021-04,0.136,19,3,1,15
2021-05,0.0378,23,1,2,20
2021-06,0.2552,23,2,0,21
2021-07,0.2466,11,4,1,6
2021-08,0.2062,19,4,0,15
2021-09,0.0838,21,4,3,14
2021-10,0.1508,11,2,0,9
2021-11,0.104,14,2,1,11
2021-12,0.2177,16,3,1,12
2022-01,0.1485,18,2,1,15
2022-02,0.1212,17,4,1,12
2022-03,0.0169,26,3,4,19
2022-04,0.1029,11,1,1,9
2022-05,0.0422,24,3,4,17
2022-06,0.0514,18,2,1,15
2022-07,0.15,16,3,1,12
2022-08,0.0539,16,0,1,15
2022-09,0.193,23,7,1,15
2022-10,-0.0394,18,2,3,13
2022-11,0.1874,21,5,0,16
2022-12,-0.2075,20,1,7,12
2023-01,0.0819,27,4,2,21
2023-02,0.085,33,5,2,26
2023-03,-0.0202,41,5,9,27
2023-04,0.1596,28,7,2,19
2023-05,0.0875,27,4,3,20
2023-06,0.0473,21,6,5,10
2023-07,-0.0548,27,3,6,18
2023-08,-0.0313,32,5,6,21
2023-09,-0.1336,29,4,8,17
2023-10,0.1047,19,6,3,10
2023-11,-0.0729,26,4,6,16
2023-12,-0.0558,28,3,4,21
2024-01,-0.2176,42,2,18,22
2024-02,-0.0091,35,8,9,18
2024-03,0.1739,30,7,3,20
2024-04,0.1449,33,7,3,23
2024-05,0.1368,36,9,4,23
2024-06,0.1853,30,11,4,15
2024-07,0.2425,29,8,1,20
2024-08,0.0643,37,12,9,16
2024-09,0.1815,32,8,3,21
2024-10,0.0639,28,5,3,20
2024-11,0.1562,44,10,4,30
2024-12,0.0627,40,9,8,23
2025-01,0.0014,41,9,10,22
2025-02,0.1534,39,8,5,26
2025-03,0.2221,42,14,3,25
2025-04,0.0438,34,5,5,24
2025-05,0.2216,28,7,0,21
2025-06,0.2106,48,14,4,30
2025-07,0.1837,42,11,3,28
2025-08,0.2639,40,14,0,26
2025-09,0.2483,29,8,1,20
2025-10,0.2223,21,6,1,14
2025-11,0.1775,16,5,2,9
2025-12,0.1823,30,5,0,25
