cultivo,modelo,particion,mae,rmse,r2,delta_s
SUTIL,Naive,train,3356.884111111111,4330.752376269937,0.7099647456324429,
SUTIL,Naive,val,3078.132916666667,4269.753958426303,0.7279353110167263,
SUTIL,Naive,test,4704.292916666665,6317.411051514885,0.47461619342486394,147.86206003505842
SUTIL,SARIMA,train,3110.400423857198,4350.582437367058,0.7073025826266228,
SUTIL,SARIMA,val,8439.794201248407,9398.85857169464,-0.31830745621222967,
SUTIL,SARIMA,test,8139.29978458174,9128.16224979069,-0.09689514180629555,-1.4225931097219555
SUTIL,Prophet,train,3887.30181157902,4817.182807574174,0.6411521561023958,
SUTIL,Prophet,val,3796.3940455227166,4628.331410518602,0.6803200659210598,
SUTIL,Prophet,test,3682.029717083989,3970.5737938194934,0.7924584982554741,-18.0771775776013
DULCE,Naive,train,73.23724444444444,86.17159200533162,0.6429099840803141,
DULCE,Naive,val,85.594,100.85028373204179,0.5739375893629919,
DULCE,Naive,test,84.70083333333332,97.71208075258656,0.6685541385529272,63.22940545645952
DULCE,SARIMA,train,62.041412504043656,142.6111890562768,0.021959866008737228,
DULCE,SARIMA,val,38.05603392658223,47.06420417348174,0.9072101633162886,
DULCE,SARIMA,test,57.56570059324889,61.52664694805803,0.8685857160589594,-3.032535998447708
DULCE,Prophet,train,22.8972055338066,29.00083783248931,0.959554466884935,
DULCE,Prophet,val,46.889584437413134,55.31064588747832,0.8718447413822082,
DULCE,Prophet,test,64.58365451329246,74.0919011415114,0.8094286745012247,41.69735983970721
